path,bytes,sha256,git_blob_sha1,artifact_class,producer,consumers,baseline_status
data/H1_results.RData,12214928,d274865818cc4a0364dae9a444b9be44be02424daa8ad74b9452840f3115b3dc,518c1ff96aecad1121f142cfcec9b3baedff5e21,model-result workspace,RQ1.qmd:410,"Descriptives.qmd:771; RQ2.qmd:1602",tracked-baseline
data/H1_results_chest.RData,13149377,01f91db675d1aa6ae96b6aa7bbc45b2f86445e851a37020d1fe5335d802de9b5,c96a7022f0beb982d11c2940026c1c3e8d0736f8,model-result workspace,RQ1_chest.qmd:409,RQ2_chest.qmd:1603,tracked-baseline
data/metric_types.xlsx,12466,679eea4df7e92e16b480c992aad42d5f31a2e56e26d5aa552a5f8ca5b990836d,d7bb724a1d6b6f54c53977aee99913b2c2ade477,manual metric metadata,not declared,metric_preparation.qmd:188,tracked-baseline
data/metrics_chest.RData,257469,4498d677a8fc7d47168ab2f03731f2dc67b419102b7c818305925273d57c818c,da90870119dbb329a695e6afb4284e0bc9ee66e6,model-ready workspace,metric_preparation.qmd:246,"Descriptives.qmd:50; RQ1_chest.qmd:62; RQ2_chest.qmd:70; RQ3_chest.qmd:68",tracked-baseline
data/metrics_glasses.RData,245562,9595cb7c574672cf2c8ff89ac3d227f3f7ff11eca57776609e19599561b2d441,6280d7001054224720a35413729aed2a26ea9bc0,model-ready workspace,metric_preparation.qmd:245,"Descriptives.qmd:49; RQ1.qmd:62; RQ2.qmd:70; RQ3.qmd:69",tracked-baseline
data/metrics_separate_chest.RData,855909,f1ab7345966bdaa8705a03745798d99c3d945fe0119f2476a5dd6e9a53f5de2f,996aa2f2361dc47a21fc04ff00584a527cccff84,derived metric workspace,data_preparation.qmd:459-462,"metric_preparation.qmd:51; RQ1_chest.qmd:576; RQ3_chest.qmd:881",tracked-baseline
data/metrics_separate_glasses.RData,782870,f4b8ddfdbd4ee2e577957ed6a89f65a7b44581bba916e786147dcd40c94a234b,d8f74e2a6fed9e9d6b48929ef245787aefe4f772,derived metric workspace,data_preparation.qmd:463-466,"metric_preparation.qmd:50; RQ1.qmd:577; RQ3.qmd:885; Descriptives.qmd:1715",tracked-baseline
data/preprocessed_chest_1.RData,15429747,66e50adc46791205baa8613493b6339b1f8ae4a5095960147426f790d8b393cb,1e36cf4311154e66fe5d714dc55d89734a602f71,preprocessed workspace,data_preparation.qmd:239,Descriptives.qmd:56,tracked-baseline
data/preprocessed_chest_2.RData,11996039,b289c17c64d1bd24166fa3873da9aa8f22a5f57c793a7282ecb201dc77dcd274,b02a93bec2087e39161e580741151e23186d6a74,filtered preprocessed workspace,data_preparation.qmd:276,"metric_preparation.qmd:53; Descriptives.qmd:58; RQ1_chest.qmd:577; RQ2_chest.qmd:71; RQ3_chest.qmd:69,882",tracked-baseline
data/preprocessed_glasses_1.RData,14102826,094c8665719b98152014680978420d36710051d125f9f4c1da47711b84bca223,8f89f66709fca905edb5b496f1e76060b5c3d122,preprocessed workspace,data_preparation.qmd:240,Descriptives.qmd:55,tracked-baseline
data/preprocessed_glasses_2.RData,10949538,0d00bac25d955d45447f74cc9c3ad6a5f5dfa1de1282d8d619c9468f72e0c430,66008e75966e5ba9238e7319a6d39bf3a0dee479,filtered preprocessed workspace,data_preparation.qmd:277,"metric_preparation.qmd:52; Descriptives.qmd:57; RQ1.qmd:578; RQ2.qmd:71; RQ3.qmd:70,886",tracked-baseline
data/tbl1_data.RData,2683,834c250c9018e30b8584d801c05cafccdc908ee65b5f4d47b20d7c84618e8850,464a8c5e6365d7b50aa2ed9b3fa80127c688ea01,orphaned descriptive workspace,not found,not found,tracked-stale-orphan
