"check","pass","detail"
"exact_one_guard_ast_reverse",TRUE,""
"all_frozen_source_members",TRUE,""
"fixture_eligible_complete_prefit_block",TRUE,""
"fixture_eligible_raw_not_prepared",TRUE,""
"fixture_eligible_prepared_exact",TRUE,""
"fixture_eligible_original_guard_rejects",TRUE,""
"fixture_eligible_reject_raw_count",TRUE,""
"fixture_eligible_reject_prepared_count",TRUE,""
"fixture_eligible_reject_row_order",TRUE,""
"fixture_eligible_reject_one_active",TRUE,""
"fixture_eligible_reject_site_levels",TRUE,""
"fixture_eligible_dll_pin_before_skipped_load",TRUE,""
"fixture_eligible_five_full_rank_designs",TRUE,""
"fixture_eligible_one_fixture_call_zero_real_fit",TRUE,""
"fixture_eligible_seven_exact_export_members",TRUE,""
"fixture_eligible_classification_preserved",TRUE,""
"fixture_structural_failure_complete_prefit_block",TRUE,""
"fixture_structural_failure_raw_not_prepared",TRUE,""
"fixture_structural_failure_prepared_exact",TRUE,""
"fixture_structural_failure_original_guard_rejects",TRUE,""
"fixture_structural_failure_reject_raw_count",TRUE,""
"fixture_structural_failure_reject_prepared_count",TRUE,""
"fixture_structural_failure_reject_row_order",TRUE,""
"fixture_structural_failure_reject_one_active",TRUE,""
"fixture_structural_failure_reject_site_levels",TRUE,""
"fixture_structural_failure_dll_pin_before_skipped_load",TRUE,""
"fixture_structural_failure_five_full_rank_designs",TRUE,""
"fixture_structural_failure_one_fixture_call_zero_real_fit",TRUE,""
"fixture_structural_failure_seven_exact_export_members",TRUE,""
"fixture_structural_failure_classification_preserved",TRUE,""
"exact_object_interface_data",TRUE,""
"sole_participant_random_component",TRUE,""
"inactive_components_mapped_only",TRUE,""
"all_fixed_initial_dimensions",TRUE,""
"all_random_initial_dimensions",TRUE,""
"full_exact_chest_design_reproduction",TRUE,""
"downstream_grid_32_cells_8_sites",TRUE,""
"downstream_chest_specific_one_matrix",TRUE,""
"all_frozen_inputs_unchanged",TRUE,""
"no_live_model_or_rank_export",TRUE,""
