"site","Id","raw_state","period_source_start","period_source_end","behavior_source_row","expected_minutes","projected_minutes","valid_minutes","brown_yes","timestamp_and_count_exact"
"BAUA","BAUA_S001","wake",1,2,1,715,715,0,0,TRUE
"BAUA","BAUA_S001","wake",2,3,2,719,719,717,442,TRUE
"BAUA","BAUA_S001","wake",3,4,3,765,765,647,247,TRUE
"BAUA","BAUA_S001","wake",4,5,4,730,730,613,295,TRUE
"BAUA","BAUA_S002","wake",7,8,7,867,867,0,0,TRUE
"BAUA","BAUA_S002","wake",8,9,8,845,845,844,320,TRUE
"BAUA","BAUA_S002","wake",9,10,9,776,776,728,258,TRUE
"BAUA","BAUA_S002","wake",10,11,10,706,706,589,317,TRUE
"BAUA","BAUA_S002","wake",11,12,11,585,585,491,236,TRUE
"BAUA","BAUA_S002","wake",12,13,12,575,575,575,289,TRUE
"BAUA","BAUA_S002","wake",13,14,13,750,750,750,195,TRUE
"BAUA","BAUA_S003","wake",15,16,15,750,750,0,0,TRUE
"BAUA","BAUA_S003","wake",16,17,16,705,705,705,140,TRUE
"BAUA","BAUA_S003","wake",17,18,17,727,727,727,167,TRUE
"BAUA","BAUA_S003","wake",18,19,18,675,675,675,176,TRUE
"BAUA","BAUA_S003","wake",19,20,19,595,595,595,51,TRUE
"BAUA","BAUA_S003","wake",20,21,20,645,645,645,53,TRUE
"BAUA","BAUA_S003","wake",21,22,21,711,711,691,2,TRUE
"BAUA","BAUA_S004","wake",23,24,23,765,765,710,226,TRUE
"BAUA","BAUA_S004","wake",24,25,24,868,868,744,379,TRUE
"BAUA","BAUA_S004","wake",25,26,25,905,905,843,204,TRUE
"BAUA","BAUA_S004","wake",26,27,26,1020,1020,1012,228,TRUE
"BAUA","BAUA_S004","wake",27,28,27,680,680,544,133,TRUE
"BAUA","BAUA_S004","wake",28,29,28,841,841,701,339,TRUE
"BAUA","BAUA_S005","wake",30,31,30,763,763,629,184,TRUE
"BAUA","BAUA_S005","wake",31,32,31,884,884,738,300,TRUE
