"check","pass"
"fourteen_registered_deletions",TRUE
"three_primary_window_contrasts",TRUE
"LOSO-RISE_status",TRUE
"LOSO-RISE_manifest_shape",TRUE
"LOSO-RISE_manifest_exact",TRUE
"LOSO-RISE_exact_output_set",TRUE
"LOSO-RISE_grid",TRUE
"LOSO-RISE_saved_report_covariance",TRUE
"LOSO-RISE_exact_contrast_weights",TRUE
"LOSO-RISE_contrast_variance",TRUE
"LOSO-RISE_contrast_numbers",TRUE
"LOSO-RISE_primary_comparison",TRUE
"LOSO-RISE_stored_quadrature_gate",TRUE
"LOSO-RISE_owner_checks_and_scope",TRUE
"LOSO-RISE_finished_once",TRUE
"LOSO-THUAS_status",TRUE
"LOSO-THUAS_manifest_shape",TRUE
"LOSO-THUAS_manifest_exact",TRUE
"LOSO-THUAS_exact_output_set",TRUE
"LOSO-THUAS_grid",TRUE
"LOSO-THUAS_saved_report_covariance",TRUE
"LOSO-THUAS_exact_contrast_weights",TRUE
"LOSO-THUAS_contrast_variance",TRUE
"LOSO-THUAS_contrast_numbers",TRUE
"LOSO-THUAS_primary_comparison",TRUE
"LOSO-THUAS_stored_quadrature_gate",TRUE
"LOSO-THUAS_owner_checks_and_scope",TRUE
"LOSO-THUAS_finished_once",TRUE
"LOSO-BAUA_status",TRUE
"LOSO-BAUA_manifest_shape",TRUE
"LOSO-BAUA_manifest_exact",TRUE
"LOSO-BAUA_exact_output_set",TRUE
"LOSO-BAUA_grid",TRUE
"LOSO-BAUA_saved_report_covariance",TRUE
"LOSO-BAUA_exact_contrast_weights",TRUE
"LOSO-BAUA_contrast_variance",TRUE
"LOSO-BAUA_contrast_numbers",TRUE
"LOSO-BAUA_primary_comparison",TRUE
"LOSO-BAUA_stored_quadrature_gate",TRUE
"LOSO-BAUA_owner_checks_and_scope",TRUE
"LOSO-BAUA_finished_once",TRUE
"LOSO-MPI_status",TRUE
"LOSO-MPI_manifest_shape",TRUE
"LOSO-MPI_manifest_exact",TRUE
"LOSO-MPI_exact_output_set",TRUE
"LOSO-MPI_grid",TRUE
"LOSO-MPI_saved_report_covariance",TRUE
"LOSO-MPI_exact_contrast_weights",TRUE
"LOSO-MPI_contrast_variance",TRUE
"LOSO-MPI_contrast_numbers",TRUE
"LOSO-MPI_primary_comparison",TRUE
"LOSO-MPI_stored_quadrature_gate",TRUE
"LOSO-MPI_owner_checks_and_scope",TRUE
"LOSO-MPI_finished_once",TRUE
"LOSO-TUM_status",TRUE
"LOSO-TUM_manifest_shape",TRUE
