"sample_id","component","rows","columns","rank","full_rank"
"linkage_b_any_valid","F3",2298,54,54,TRUE
"linkage_b_any_valid","F2",2298,38,38,TRUE
"linkage_b_any_valid","F1",2298,30,30,TRUE
"linkage_b_any_valid","F0",2298,12,12,TRUE
"linkage_b_any_valid","zero_Q2",2298,4,4,TRUE
"linkage_b_any_valid","one_Q1",1537,4,4,TRUE
"linkage_b_any_valid","dispersion_D0",2298,3,3,TRUE
"linkage_b_support_80","F3",2069,54,54,TRUE
"linkage_b_support_80","F2",2069,38,38,TRUE
"linkage_b_support_80","F1",2069,30,30,TRUE
"linkage_b_support_80","F0",2069,12,12,TRUE
"linkage_b_support_80","zero_Q2",2069,4,4,TRUE
"linkage_b_support_80","one_Q1",1351,4,4,TRUE
"linkage_b_support_80","dispersion_D0",2069,3,3,TRUE
