path,sha256,bytes,role,producer,r_version
artifacts/06_model_data/H01/metric_contract.csv,84ce8e9b952ae09c10ab5eb3c3ed301bbc1d54af5bccd62550a2b5949bd3b9d4,4176,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/08_diagnostics/H01/bootstrap_pilot/response_family_change/H01_response_family_bootstrap_pilot_audit.csv,e4a04bbe2db3172e6f713bd9b9714c847226bc724ab2b271cecd10e9b723c4fc,2966,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/08_diagnostics/H01/bootstrap_pilot/response_family_change/H01_response_family_bootstrap_pilot_runtime.csv,3cde3f51901a6e6f4e301d64ce2802a64f3692dfa27b804e052a638a073052b4,6148,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/08_diagnostics/H01/H01_model_diagnostics.csv,240940aeaea41141788d401dfbd86a79d70ecb5d71aeb7a654d53ea8bc9bb34e,53769,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/08_diagnostics/H01/reporting/H01_reporting_provenance.csv,fe497366777c72a8b9a62225928ea5b20ea62b984dd7097c583004f93247f675,1142,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/bootstrap_pilot/response_family_change/H01_response_family_bootstrap_pilot_r2_summaries.csv,bbfde564671690ec7ede194160158cc3e0451c5ae257b3aaadb9f3081c198122,26632,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/H01_exact_samples.csv,b9b8a7f6a7f7603ba621d2fb80ea87e510c33ef164acec8df42712c3da42efe6,33811,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/H01_model_level_tests.csv,35059122789dab11b7461ea523a2a1fedf2853b6d91de73923b6e711375795e6,230877,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/H01_r2_bootstrap_summaries.csv,2931a04ed49fb361677fae344ce5ca528f10a8b839ecbacf7bc6bfe40c19bf2e,357997,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/H01_site_deviations.csv,b7ac5f9e6a89043766414d92d11a425ab4908a3a5d0fe4e090e884c049fd906f,492791,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/H01_site_estimates.csv,9f7d61f1007790dc964395d491aa58a07c5a8c72d32fc9ad77057335728d6da5,445997,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/H01_term_effects.csv,4ca8c6b5f31f04dccb29290b420e755cc05625728f1b173087ada4c894162fe1,105708,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/reporting/H01_reporting_candidate_scorecard.csv,9224e4a2d8fab6e95cec047c0d26bc15ada7255919c426bac8e0ed17669cd252,2964,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/reporting/H01_reporting_candidate_selection.csv,37e38ed7715c3c5e364557a79795c321548ee8f14efcca91204adbf26a1bf0e0,1110,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/reporting/H01_reporting_claim_summary.csv,3d5c0757a925459f4013731ecfe7f2a287008fbc0ce4a2fe035b27a26fc08780,1037,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/reporting/H01_reporting_exact_samples.csv,2c8976c66d19445270d0847a930f8b144e824619dad065ebc620b843b2828501,7172,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/reporting/H01_reporting_model_overview.csv,018e63bed30eee9271ec96543f67c5284e3aeba85bc02ff4214260ae7e3fa1e3,13917,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
artifacts/09_tables/H01/reporting/H01_reporting_pilot_summary.csv,2ac6530e6f07bdde19b56b6524b173304b16c9b4ac592d544cbd0d1b016317ff,539,H01 reporting input,scripts/hypotheses/H01/build_h01_reporting_inputs.R,4.6.1
