run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,random_site_sd,random_site_singular,fixed_site_aic,random_site_aic,random_minus_fixed_aic,status
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,,,180.2961500830158,,,NON_ESTIMABLE
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,,,153.77328163187278,,,NON_ESTIMABLE
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,0.0936517314540836,FALSE,813.29761629413,818.2402462747832,4.942629980653237,DESCRIPTIVE_PASS
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.1300171174285741,FALSE,1720.7703436425184,1725.748003708013,4.9776600654943195,DESCRIPTIVE_PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.09796541654116547,FALSE,158.923782043891,167.15686214971484,8.23308010582383,DESCRIPTIVE_PASS
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,,FALSE,2561.4348962832664,2566.4009512499606,4.966054966694173,DESCRIPTIVE_PASS
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,,FALSE,3304.4560198409213,3310.263525602394,5.807505761472839,DESCRIPTIVE_PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,0,TRUE,2022.07944804573,2020.4471141080935,-1.6323339376363035,DESCRIPTIVE_UNSTABLE
main__chest__all_available,main,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,,FALSE,3516.3216032680666,3521.1914339494524,4.869830681385793,DESCRIPTIVE_PASS
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,0.03242914357097275,FALSE,665.0962801697113,663.5355281239798,-1.5607520457315331,DESCRIPTIVE_PASS
