"table_id","native_gt_count","quarto_caption_count","caption","thead_count","thead_cells","tbody_count","body_rows","body_cells","pass"
"tbl-h01-primary-publication-summary",1,1,"Table 1: Primary near-eye site, photoperiod, latitude, and site-versus-latitude results.",1,10,1,23,119,TRUE
"tbl-h01-primary-tests",1,1,"Table 2: Primary near-eye model-level tests with raw and FDR-adjusted p-values.",1,17,1,23,204,TRUE
"tbl-h01-primary-effects",1,1,"Table 3: Primary near-eye photoperiod and latitude effects, 95% CIs, raw and FDR-adjusted p-values, and exact fitted samples.",1,14,1,23,170,TRUE
"tbl-h01-primary-site-deviation-matrix",1,1,"Table 4: Primary near-eye site-specific deviations for metrics with a supported overall site test.",1,11,1,8,72,TRUE
"tbl-h01-primary-site-contrasts",1,1,"Table 5: Primary near-eye site contrasts after a supported overall site test.",1,5,1,80,360,TRUE
"tbl-h01-primary-r2",1,1,"Table 6: Primary near-eye R² and part-R² summaries with 95% joint-bootstrap intervals.",1,11,1,25,126,TRUE
"tbl-h01-chest-tests",1,1,"Table 7: Complementary chest model-level tests with raw and FDR-adjusted p-values.",1,17,1,23,204,TRUE
"tbl-h01-chest-effects",1,1,"Table 8: Complementary chest photoperiod and latitude effects, 95% CIs, raw and FDR-adjusted p-values, and exact fitted samples.",1,14,1,23,170,TRUE
"tbl-h01-chest-site-contrasts",1,1,"Table 9: Complementary chest site contrasts after a supported overall site test.",1,5,1,117,520,TRUE
"tbl-h01-chest-r2",1,1,"Table 10: Complementary chest R² and part-R² summaries with 95% joint-bootstrap intervals.",1,11,1,25,126,TRUE
"tbl-h01-diagnostic-assessment",1,1,"Table 11: Overall model-check assessment for each primary near-eye and complementary chest model.",1,4,1,36,102,TRUE
"tbl-h01-representative-diagnostics",1,1,"Table 12: Stored model-check values for four representative primary near-eye review signals.",1,5,1,4,16,TRUE
"tbl-h01-sensitivity-classification",1,1,"Table 13: Support-level sensitivity classification relative to the primary near-eye analysis.",1,5,1,7,35,TRUE
"tbl-h01-sensitivity-support",1,1,"Table 14: Supported metrics in each complete 17-test family across sensor position, dataset, and matched-sample analyses.",1,5,1,40,160,TRUE
"tbl-h01-paired-placement",1,1,"Table 15: Matched-sample near-eye and chest estimands with component 95% CIs and exact samples.",1,8,1,32,240,TRUE
"tbl-h01-l10-noon-support",1,1,"Table 16: Primary strict-after-16:00 and noon-cut sensitivity for the darkest-10-hour midpoint.",1,5,1,18,80,TRUE
"tbl-h01-l10-noon-effects",1,1,"Table 17: Photoperiod and latitude effects under the darkest-10-hour midpoint clock-cut sensitivity.",1,4,1,6,16,TRUE
"tbl-h01-period-sensitivity",1,1,"Table 18: Exactly identified continuous-period sensitivity for the longest period above 250 lx melEDI.",1,9,1,8,72,TRUE
"tbl-h01-scope-sensitivity",1,1,"Table 19: Preregistered-scope sensitivity with raw and FDR-adjusted p-values.",1,5,1,57,280,TRUE
"tbl-h01-marginalization",1,1,"Table 20: Site-average and observed-sample marginalization for primary and complementary models.",1,4,1,36,102,TRUE
"tbl-h01-influence",1,1,"Table 21: Participant-deletion influence summary for primary and complementary models.",1,6,1,36,170,TRUE
"tbl-h01-latitude-loo",1,1,"Table 22: Leave-one-site-out latitude sensitivity for primary and complementary models.",1,6,1,36,170,TRUE
"tbl-h01-samples-primary-near-eye",1,1,"Table 23: Exact fitted samples: primary dataset, near eye, all available.",1,8,1,17,119,TRUE
"tbl-h01-samples-primary-chest",1,1,"Table 24: Exact fitted samples: primary dataset, chest, all available.",1,8,1,17,119,TRUE
"tbl-h01-samples-primary-near-eye-matched",1,1,"Table 25: Exact fitted samples: primary dataset, near eye, matched sample.",1,8,1,17,119,TRUE
"tbl-h01-samples-primary-chest-matched",1,1,"Table 26: Exact fitted samples: primary dataset, chest, matched sample.",1,8,1,17,119,TRUE
"tbl-h01-samples-gap-near-eye",1,1,"Table 27: Exact fitted samples: gap-timing-unaware dataset, near eye, all available.",1,8,1,17,119,TRUE
"tbl-h01-samples-gap-chest",1,1,"Table 28: Exact fitted samples: gap-timing-unaware dataset, chest, all available.",1,8,1,17,119,TRUE
"tbl-h01-samples-gap-near-eye-matched",1,1,"Table 29: Exact fitted samples: gap-timing-unaware dataset, near eye, matched sample.",1,8,1,17,119,TRUE
"tbl-h01-samples-gap-chest-matched",1,1,"Table 30: Exact fitted samples: gap-timing-unaware dataset, chest, matched sample.",1,8,1,17,119,TRUE
"tbl-h01-deviations",1,1,"Table 31: H01 changes relative to the preregistered or otherwise expected analysis.",1,3,1,23,69,TRUE
"tbl-h01-metric-registry",1,1,"Table 32: H01 response package and fitted response families.",1,4,1,23,51,TRUE
"tbl-h01-participant-formulas",1,1,"Table 33: Exact participant-level Wilkinson formulas used by the H01 implementation.",1,2,1,5,10,TRUE
"tbl-h01-participant-day-formulas",1,1,"Table 34: Exact participant-day Wilkinson formulas used by the H01 implementation.",1,2,1,5,10,TRUE
"tbl-h01-preregistered-scope-formulas",1,1,"Table 35: Exact Wilkinson formulas used in the preregistered-scope sensitivity.",1,3,1,10,30,TRUE
"tbl-h01-formula-manifest",1,1,"Table 36: Formula, engine, and estimation method recorded for every fitted and comparison model.",1,6,1,29,162,TRUE
