ordinal,present,current_sha256,current_bytes,status,path,sha256,bytes,role,producer,r_version
1,TRUE,0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00,253472,PASS,artifacts/06_model_data/H01.rds,0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00,253472,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
2,TRUE,006042e8589fc1892a5e26e6f148fe3a2a31e33be7406502bc682048b6cb3307,4215,PASS,artifacts/06_model_data/H01/metric_contract.csv,006042e8589fc1892a5e26e6f148fe3a2a31e33be7406502bc682048b6cb3307,4215,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
3,TRUE,d3162274325fb22641d1948ab986590e30e7137feaddfcdaabe5b9280878e80d,463159,PASS,artifacts/08_diagnostics/H01/H01_latitude_leave_one_site_out.csv,d3162274325fb22641d1948ab986590e30e7137feaddfcdaabe5b9280878e80d,463159,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
4,TRUE,240940aeaea41141788d401dfbd86a79d70ecb5d71aeb7a654d53ea8bc9bb34e,53769,PASS,artifacts/08_diagnostics/H01/H01_model_diagnostics.csv,240940aeaea41141788d401dfbd86a79d70ecb5d71aeb7a654d53ea8bc9bb34e,53769,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
5,TRUE,e5980d7947132c6465383dd06073037b5d81cafd530a4bb9ccc6fef062b21d07,154921,PASS,artifacts/08_diagnostics/H01/H01_participant_influence.csv,e5980d7947132c6465383dd06073037b5d81cafd530a4bb9ccc6fef062b21d07,154921,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
6,TRUE,dc229b82c5a27747c477c00aa7f8452d94e2e97905d1a9d54960b875a6347ac1,28867,PASS,artifacts/08_diagnostics/H01/H01_r2_bootstrap_audit.csv,dc229b82c5a27747c477c00aa7f8452d94e2e97905d1a9d54960b875a6347ac1,28867,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
7,TRUE,9884f802d3a684860108c890a238a2c6da94115cec6e28af3792454903592076,165969,PASS,artifacts/08_diagnostics/H01/main/glasses/all_available/daily_geometric_mean_medi_diagnostics.png,9884f802d3a684860108c890a238a2c6da94115cec6e28af3792454903592076,165969,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
8,TRUE,57561680d936790688ed092d18bd4d5b3ffecd9593caf18dd9f7737afb2829d5,180891,PASS,artifacts/08_diagnostics/H01/main/glasses/all_available/duration_above_250_wake_diagnostics.png,57561680d936790688ed092d18bd4d5b3ffecd9593caf18dd9f7737afb2829d5,180891,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
9,TRUE,bad792b679f53f26209b969a23286312ccc3a18bc1e95aff06f1b591d25b736a,166089,PASS,artifacts/08_diagnostics/H01/main/glasses/all_available/duration_below_10_pre_sleep_diagnostics.png,bad792b679f53f26209b969a23286312ccc3a18bc1e95aff06f1b591d25b736a,166089,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
10,TRUE,de8e2f79918a509addc890578c916278efbbf9b803622e8025ef7a1f109a446a,180767,PASS,artifacts/08_diagnostics/H01/main/glasses/all_available/duration_below_1_sleep_environment_diagnostics.png,de8e2f79918a509addc890578c916278efbbf9b803622e8025ef7a1f109a446a,180767,H01 Stage 3 reporting input,scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,4.6.1
