"classification","path","sha256","bytes","status","current_sha256","current_bytes","exact","required"
"acceptance","audit/report_harmonization/report017_h02_order33_source_independent_acceptance.md","127a25b9d95fbb41d4506cb1ed66df775ec01e40d3d3504a5980054dd7911d24",2618,"PASS","127a25b9d95fbb41d4506cb1ed66df775ec01e40d3d3504a5980054dd7911d24",2618,TRUE,TRUE
"accepted_source","notebooks/hypotheses/H02.qmd","4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",57148,"PASS","4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",57148,TRUE,TRUE
"accepted_source","audit/hypotheses/H02/H02_analysis_preparation.qmd","92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1",55146,"PASS","92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1",55146,TRUE,TRUE
"accepted_test","tests/hypotheses/H02/test_h02_reader_report.R","0b044d2995645f6cfa50e28e2bdf330b8801002761a84520b169a1a3eb6771db",16044,"PASS","0b044d2995645f6cfa50e28e2bdf330b8801002761a84520b169a1a3eb6771db",16044,TRUE,TRUE
"accepted_test","tests/hypotheses/H02/test_h02_preparation_report.R","ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8",14895,"PASS","ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8",14895,TRUE,TRUE
"accepted_test","tests/hypotheses/H02/test_h02_paired_placement_display.R","873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a",3790,"PASS","873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a",3790,TRUE,TRUE
"owner_completion","audit/hypotheses/H02/report017_order33d_completion/H02_order33d_completion_record.md","4c062d8ae0f687de2c9a3c3739b0ae5ca79a66c495fe418fec9d1f5f9275c7ba",4314,"PASS","4c062d8ae0f687de2c9a3c3739b0ae5ca79a66c495fe418fec9d1f5f9275c7ba",4314,TRUE,TRUE
"owner_completion","audit/hypotheses/H02/report017_order33d_completion/H02_order33d_completion_manifest.csv","d23ac13a36202d7be5fc2cb10774186b5e4577b47b32812896209333c82069e2",9036,"PASS","d23ac13a36202d7be5fc2cb10774186b5e4577b47b32812896209333c82069e2",9036,TRUE,TRUE
"owner_order","audit/report_harmonization/owner_orders/33d_h02_missing_argument_walker_and_final_verifier.md","eb6214469a241776217e42b875a2b4e4063e7fdea072385d19487c9372915432",5131,"PASS","eb6214469a241776217e42b875a2b4e4063e7fdea072385d19487c9372915432",5131,TRUE,TRUE
"owner_order","audit/report_harmonization/owner_orders/33e_h02_fresh_baseline_order33d_continuation.md","2a5c7f6168a661928f33db939eb6c2ca1d5ff4c7edeab68319917df3e0e65f49",4121,"PASS","2a5c7f6168a661928f33db939eb6c2ca1d5ff4c7edeab68319917df3e0e65f49",4121,TRUE,TRUE
"recovery","audit/report_harmonization/report017_h02_order33e_baseline_recovery_verification.md","3c215925a756d7900f622856ad617f120634948687b018a820adb08c05ae2e09",4367,"PASS","3c215925a756d7900f622856ad617f120634948687b018a820adb08c05ae2e09",4367,TRUE,TRUE
"recovery","audit/report_harmonization/report017_h02_order33e_fresh_baseline_inventory.csv","0cff837c068f84fe1142f8214358bc9c75120d525d8ed36262bdf6e817a82d0d",1030,"PASS","0cff837c068f84fe1142f8214358bc9c75120d525d8ed36262bdf6e817a82d0d",1030,TRUE,TRUE
"recovery","scripts/report_harmonization/reconstruct_h02_order33_baseline_from_git_blobs.R","72d050737e2b294286b93080563de025ddd809a631acfb47064cf69f5acfc607",4162,"PASS","72d050737e2b294286b93080563de025ddd809a631acfb47064cf69f5acfc607",4162,TRUE,TRUE
"dispatch","audit/report_harmonization/report017_h02_order33d_dispatch_manifest.csv","712ef5269c2d592b1956c67bb2ee8e23cdc8fcb2b12e50611479c4398d68be17",5069,"PASS","712ef5269c2d592b1956c67bb2ee8e23cdc8fcb2b12e50611479c4398d68be17",5069,TRUE,TRUE
"dispatch","audit/report_harmonization/report017_h02_order33e_dispatch_manifest.csv","5941326708c5671f278bd56c2d640c3b6979970d712cd63f9480c0ab5ee56e31",1965,"PASS","5941326708c5671f278bd56c2d640c3b6979970d712cd63f9480c0ab5ee56e31",1965,TRUE,TRUE
