"endpoint","element","header_token","matches_in_table","resolves_to_th","pass"
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0004",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0005",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0002",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0004",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0005",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0003",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0004",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0006",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0002",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0004",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0006",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0003",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0004",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0007",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0002",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0004",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0007",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0003",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0004",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0008",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0002",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0004",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0008",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0003",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0009",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0010",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0002",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0009",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0010",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0003",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0009",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0011",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0002",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0009",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0011",1,TRUE,TRUE
"tbl-h02-near-variation","td","tbl-h02-near-variation--gt-0003",1,TRUE,TRUE
