field,value
document_root,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth
target_url,http://127.0.0.1:63192/audit/hypotheses/H05/H05_analysis_preparation.html
command,python3 -u -m http.server 0 --bind 127.0.0.1 --directory /Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth
pid,60782
address,127.0.0.1
port,63192
start_time_utc,2026-08-20T20:52:44Z
teardown_verification_time_utc,2026-08-20T21:04:38Z
initial_restricted_attempt,failed before listener with PermissionError
authorized_retry,started with narrow loopback bind permission
termination,keyboard interrupt clean exit 0
listener_after_termination,none

