check,desktop_1440x1000,narrow_708x1000,zoom_equivalent_720x500,verdict
page_horizontal_overflow,false,false,false,PASS
native_gt_table_count,22,22,22,PASS
minimum_table_cell_font_px,9,9,9,PASS
tables_contained,22/22,22/22,22/22,PASS
working_horizontal_scrollers,not_required,5/5,5/5,PASS
table_captions_nonempty,22/22,22/22,22/22,PASS
figure_count,3,3,3,PASS
figures_unclipped,3/3,3/3,3/3,PASS
figure_alt_text_nonempty,3/3,3/3,3/3,PASS
figure_captions_nonempty,3/3,3/3,3/3,PASS
mermaid_unclipped,yes,yes,yes,PASS
mermaid_minimum_text_px,16,16,16,PASS
callouts_visible,3/3,3/3,3/3,PASS
disclosure_open_close,not_repeated,1/1,not_repeated,PASS
active_navigation,yes,yes,yes,PASS
embedded_error_warning_nodes,0,0,0,PASS
browser_console_warnings_errors,0,0,0,PASS
post_qa_build_identity,836/836 exact,836/836 exact,836/836 exact,PASS
post_qa_protected_identity,158/158 exact,158/158 exact,158/158 exact,PASS

