family,location,old_label,new_label
primary,title,Primary and contextual expected-hour melEDI ratios,Primary and contextual mean hourly melEDI ratios
primary,x_axis,Ratio of expected supported-hour melEDI (log scale),Ratio of estimated mean hourly melEDI (log scale)
site,title,Site-specific expected-hour near-eye melEDI ratios,Site-specific mean hourly near-eye melEDI ratios
site,subtitle,equal-site average; BH adjustments,site-average estimate; FDR adjustments
site,caption,frozen full site-interaction model; equal-site; BH; heterogeneity,current predictor-by-site interaction model; site-average; FDR; overall interaction
day_type,panel_A_title,Expected near-eye melEDI by day type and local time,Estimated near-eye melEDI by day type and local time
activity,panel_A_title,Expected near-eye melEDI by activity status and local time,Estimated near-eye melEDI by activity status and local time
day_type,panel_A_y,Expected melEDI (lx),Estimated melEDI (lx)
activity,panel_A_y,Expected melEDI (lx),Estimated melEDI (lx)
day_type,panel_B_y,Expected melEDI ratio,Estimated melEDI ratio
activity,panel_B_y,Expected melEDI ratio,Estimated melEDI ratio
day_type,footer,accepted exploratory two-part model technical footer,three-paragraph exploratory nonlinear GAM display footer
activity,footer,accepted exploratory two-part model technical footer,three-paragraph exploratory nonlinear GAM display footer
