path,sha256,bytes,role
audit/report_harmonization/owner_orders/47a_h06_hourly_contract_repin_and_result_render.md,81ac7fbf9d7ee90fa0376b01f513aa1d593ac1ad2c9cfe0472f0902600a4a944,8563,controlling order
audit/report_harmonization/report018_h06_order47_stopped_acceptance.md,1c37c4daa7d29233fcffdb798704bae6541fc8f08fe2755effef597e827b2894,4757,accepted prior stop
scripts/hypotheses/H06/h06_contract.R,b11447a49a52a6a1a66618f9f471c0cda5284cbb8a251f7dffb2512d9ede231f,13468,authorized contract postimage
artifacts/06_model_data/base/metrics_glasses_one_hour_context.rds,7591bcfaae4b49fdde2053160848e170895092b223f96108e538066ce210a951,248236,accepted current hourly input
artifacts/06_model_data/base/metrics_chest_one_hour_context.rds,18134eec529c36e5fd47c7b3bb1e3b909628b97986cd91eff8e59ee9b5343cbb,268444,accepted current hourly input
artifacts/12_manifests/base_model_data_artifacts.csv,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,10273,accepted current base manifest
notebooks/hypotheses/H06.qmd,468ecebe8485de05d2bc47bb4a0948a3eaf8308c7ea1fdf6dacb54316a7544e2,60677,unchanged result source
audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,held companion source
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,unchanged profile
scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,unchanged semantic wrapper
scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,unchanged semantic engine
artifacts/12_manifests/H06/H06_stage3_artifacts.csv,d4cbb953428123510bbc1e996ec681dbfbafe4c3a79a66c93a581453584308f1,75394,unchanged Stage 3 manifest
_build/nathealth/notebooks/hypotheses/H06.html,ff3518c09a4322dc8a2c23a961f2ef3ffc8d124843874547a40415c8330fd555,6109797,unchanged stale result HTML
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,222894f4416f6f4d48bace8e9bfa9c08d22f22d613bf2b0c1e5440b0485efcae,771694,unchanged held companion HTML
renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,unchanged package lock
audit/hypotheses/H06/report018_order47a_result_render/completion_record.md,ce169fa29100dd1b896f913caf471f72cb16477d4f413798e848fa63cda36f72,3198,stopped completion record
audit/hypotheses/H06/report018_order47a_result_render/contract_transition.patch,d315f539fd291d400eae79093af1c7c16fd2e48756e6741b5c48e4400eb3fdbf,1321,exact three-literal diff
audit/hypotheses/H06/report018_order47a_result_render/contract_reverse_proof.csv,25b68dce11179d556af65169ead5a5a33a09cbba5da3ca91136b6ec6850ff988,361,reverse proof
audit/hypotheses/H06/report018_order47a_result_render/contract_verification.csv,3bb52dc15946799d806a938f0a0fd22736563a20133355904c4284dd1c845595,723,contract verification
audit/hypotheses/H06/report018_order47a_result_render/build_reconciliation.csv,2a056bee0bbfb15d5f9a48b25242521237fba089d197272ac5c65105a8e1ef4a,390,build reconciliation
audit/hypotheses/H06/report018_order47a_result_render/protected_reconciliation.csv,763fb295c049fb858af44c75fe42cd198c73a2b18fc4abfe58284e44fd8da7b8,330,protected reconciliation
audit/hypotheses/H06/report018_order47a_result_render/render_failure.txt,112d4387812256b3717fe8b8ddf10b824749297f0c092f305a117db19c0c5387,716,render failure record
