endpoint,caption,source_note_count,source_note_text,row_count,column_count
tbl-h06-prep-render-boundary,Table 1: What this page reads and what it deliberately does not execute,0,"",6,3
tbl-h06-prep-shared-provenance,Table 2: Current shared provenance identities and exact hourly-frame check,0,"",3,4
tbl-h06-prep-input-provenance,Table 3: Verified scientific and reporting inputs,0,"",10,3
tbl-h06-prep-diary-pin,Table 4: Pinned TUM exercise-diary source and normalized identity assertion,0,"",1,7
tbl-h06-prep-candidate-flow,Table 5: Candidate one-hour flow into complete three-predictor frames,0,"",24,3
tbl-h06-prep-missingness,Table 6: Predictor availability among hours with an admissible outcome,0,"",6,6
tbl-h06-prep-previous-night,Table 7: Previous-night temporal linkage audit,0,"",3,4
tbl-h06-prep-exact-samples,Table 8: Exact fitted samples for the six core H06 analyses,0,"",6,7
tbl-h06-prep-frame-integrity,"Table 9: Analysis-frame key, completeness, and provenance checks",0,"",6,7
tbl-h06-prep-response-distribution,Table 10: Observed one-hour melEDI distribution in the primary frames,0,"",2,8
tbl-h06-prep-site-cell-summary,Table 11: Range of site-specific support for each day-type and activity combination,0,"",10,7
tbl-h06-prep-category-cell-minima,Table 12: Smallest observed site-by-category cells in the primary near-eye frame,0,"",0,5
tbl-h06-prep-participant-day-support,Table 13: Participant-day support in the primary frames,0,"",2,7
tbl-h06-prep-true-time-sequences,Table 14: True-time sequence construction in the six fitted frames,0,"",6,7
tbl-h06-prep-primary-formulas,Table 15: Exact Wilkinson formulas used for the common-effect and predictor-by-site interaction models,0,"",2,3
tbl-h06-prep-model-settings,"Table 16: Primary model, covariance, and contrast settings",0,"",6,3
tbl-h06-prep-multiplicity,Table 17: Declared false-discovery-rate adjustment families,0,"",5,3
tbl-h06-prep-fit-diagnostics,Table 18: Stored numerical and distributional model checks for the primary working models,0,"",9,10
tbl-h06-prep-residual-correlation,Table 19: Stored within-sequence residual correlation at the first two hourly lags,0,"",18,3
tbl-h06-prep-influence,Table 20: Stored targeted deletion checks for the primary near-eye model,0,"",8,5
tbl-h06-prep-sensitivity-map,Table 21: Stored sensitivity analyses and the question each addresses,0,"",9,3
tbl-h06-prep-sensitivity-stability,Table 22: Classification of stored primary sensitivity contrasts,0,"",11,3
tbl-h06-prep-temporal-formulas,Table 23: Exact formulas for the exploratory two-part clock-time model,0,"",2,8
tbl-h06-prep-temporal-diagnostics,Table 24: Stored model checks for the selected exploratory clock-time components,0,"",2,9
tbl-h06-prep-temporal-basis,Table 25: Stored basis-dimension model checks for the selected exploratory clock-time model,0,"",14,5
tbl-h06-prep-exploratory-samples,Table 26: Exact samples for additional exploratory diary predictors,0,"",5,6
tbl-h06-prep-code-map,Table 27: H06 code map,0,"",9,2
tbl-h06-prep-output-inventory,Table 28: Selected stored outputs and their current identities,0,"",10,3
tbl-h06-prep-environment,Table 29: Recorded software versions for the hourly H06 analysis,0,"",14,2
tbl-h06-prep-source-data,Table 30: Preparation source-data files created from the hourly H06 frames,0,"",8,2
