path,sha256,bytes,role
audit/report_harmonization/owner_orders/48b_h06_daily_environment_startup_retry_and_result_completion.md,b49869952c4294504cb3dea0d2ea53fdca5da6ee7cd8574bd87d4412cceda080,8374,controlling order
audit/report_harmonization/report018_h06_daily_order48b_dispatch_manifest.csv,ef745b84aea676b9c9b5f4fdfe3fa6736d19919a31da494cf87f792de51cf30d,8510,dispatch seal
audit/report_harmonization/report018_h06_daily_order48a_environment_startup_stop_independent_acceptance.md,70427f41c9a9bcc4579ce29a10a659d985139673b0eae901c6ec1f02db130d87,4097,independent prior-stop acceptance
audit/report_harmonization/report018_h06_daily_order48a_environment_startup_stop_independent_acceptance_manifest.csv,e400e585c6a2ad60e1ef1f81aaade3e3825c5cdb964c022f7ffa855a63121795,5980,independent prior-stop manifest
audit/hypotheses/H06_daily/report018_order48a_display_repair/render_startup_failure_manifest.csv,cfdaaa7d3fae5a89706b824495b48bc40884579553aab0d4a8822bc40ce64aba,10526,owner prior-stop manifest
scripts/report_harmonization/check_h06_daily_order48a_environment_stop.R,48680b3937befb6f0261a5222f26e06a8c2c4f75f54ac72839eb356c6fd80255,8389,accepted preflight checker
audit/hypotheses/H06_daily/report018_order48b_environment_retry_stop/order48b_postrender_verifier_fail_closed.md,b4b77a732b68a4e1155126474159e664481d4d77bac230c6d3e2da4822e11aab,3783,owner stop record
audit/hypotheses/H06_daily/report018_order48b_environment_retry_stop/order48b_render_and_gate_summary.csv,cbd30fcad685092ed0a6cc6b0a34f482ba946952dcb789a5b4a2aec4be25a290,1797,render and gate summary
audit/hypotheses/H06_daily/report018_order48b_environment_retry_stop/order48b_main_element_diagnostic.csv,9fd099b34fd1e59f5c796f9623800c4cdf86fd0fdcfae10f712ab11f9375c29f,936,verifier defect diagnosis
audit/hypotheses/H06_daily/report018_order48b_environment_retry_stop/order48b_process_teardown.csv,2ee944ef160772f1cbaf6f3f720693e9fc76dd1d2a0e782b42f91e9f491ad4ec,369,process teardown proof
notebooks/hypotheses/H06_daily.qmd,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,65349,repaired result source
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,35409,held companion source
_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,held companion HTML
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,normal profile
.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,normal R profile
renv/activate.R,51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6,39946,renv activation
renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,project lockfile
scripts/hypotheses/H06_daily/refresh_h06_daily_order48_figures.R,154091b99da11b51b8e41a53f1532c0bf7a57f44ec6e58b35d0fa19913bf2ce6,34869,accepted display refresh
tests/hypotheses/H06_daily/test_h06_daily_order48_display_repair.R,aca33f5815bb34979513caa7a50a9a38ba66e7bb22d228c8c04f6afb010e42f7,63149,frozen verifier with defect
artifacts/12_manifests/H06_daily/H06_daily_order48a_display_manifest.csv,395c112968c00294cbc085246894feae9cd7746e4e5c5714b96cb9e59fd90fc6,5361,accepted display manifest
artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.png,0be4a5ea49e57c24ae8caf65d04c3dbd4038e8a0954e40eddbf53a5129c2f67c,131325,promoted Figure 1
artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.png,ef4983b605e91bfc6dec92d719249fc38f0740fbc0476fc0a906247eeaefb35c,130678,promoted Figure 2
artifacts/10_figures/H06_daily/H06_daily_stage3_fdr_overview.png,3dc2cf8de4597c1ce85d1acd65404778c14e75fa9f4920e7bfe1b83571bc048a,621043,promoted Figure 3 PNG
artifacts/10_figures/H06_daily/H06_daily_stage3_fdr_overview.svg,1ecfc0156b7ee6ddedc96f1943c597a583516732383c6ac9c799a4dba2e362bd,24956,promoted Figure 3 SVG
artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.png,777aca3d7482b5b1d679f615c312d70fd702f63df7d7d64e2076f77a93dfe8e9,583906,promoted Figure 4 PNG
artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.svg,bcc1786697b490165a503234625fa3a4fa2cec80e357c79c02e9bc179d6f5bd0,73463,promoted Figure 4 SVG
artifacts/10_figures/H06_daily/H06_daily_temporal_h02_primary_context_functions.png,e28c639f23b3f33687ca046a77069153bb66073d29cd03d96fd03408c4317d98,256215,unchanged Figure 5
_build/nathealth/notebooks/hypotheses/H06_daily.html,74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c,11946551,preserved rendered result HTML
audit/hypotheses/H06_daily/report018_order48a_display_repair/001__build__nathealth__notebooks__hypotheses__H06_daily.html_gt_semantic_ledger.csv,09fde59b3495da6e3bac7b6e0d389d09fa7ded61c5a5c72283913945e4ea310e,249113,preserved semantic ledger
audit/hypotheses/H06_daily/report018_order48a_display_repair/gt_html_semantic_post_render_summary.csv,bafde8ff09dda671e725d72adfa458f58bd599cba41a6881ed5a75862c9a917a,471,preserved semantic summary
audit/hypotheses/H06_daily/report018_order48a_display_repair/semantic_reverse_audit.csv,ad34e4bd128448d90354bdb65d527a0681648d71f6c53c578804b4993fc85e2c,690,preserved semantic reversal audit
audit/report_harmonization/phase4_corpus_manifest.csv,73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334,11937,unchanged corpus manifest
