"relative_path","role_pre","sha256_pre","bytes_pre","modified_utc_pre","is_symlink_pre","symlink_target_pre","role_post","sha256_post","bytes_post","modified_utc_post","is_symlink_post","symlink_target_post","delta","classification","source_relative_path","source_identical","status"
"_build/nathealth/artifacts/12_manifests/H07/H07_METRIC-011_reconciliation_summary.csv",,,,,,,"build_member","49afd19494f10e2624ef2a06868bfac4de19504ad06cf43f246673d078bae63c",1724,"2026-08-12T00:36:10.694000Z UTC",FALSE,,"ADDED","SOURCE_IDENTICAL_RESOURCE_COPY","artifacts/12_manifests/H07/H07_METRIC-011_reconciliation_summary.csv",TRUE,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-138a6193a3bd40baf1e627da441a4734.min.css","build_member","a20d3d44875fd0fbe2eadf1dc56573a7a052bd9bd9eddb1d4965d913189ad5ec",430952,"2026-08-12T00:50:39.543834Z UTC",FALSE,,"build_member","a20d3d44875fd0fbe2eadf1dc56573a7a052bd9bd9eddb1d4965d913189ad5ec",430952,"2026-08-12T00:44:31.348999Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-icons.css","build_member","01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a",99464,"2026-08-12T00:50:39.546525Z UTC",FALSE,,"build_member","01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a",99464,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-icons.woff","build_member","f55513b7b591cb84a3b87ff0e34ea24d4831d6fedc22e54b911ca64b5b544a15",180288,"2026-08-12T00:50:39.548816Z UTC",FALSE,,"build_member","f55513b7b591cb84a3b87ff0e34ea24d4831d6fedc22e54b911ca64b5b544a15",180288,"2026-04-09T09:56:20.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap.min.js","build_member","d2ea6c1e0cabca20d18e924b25a1cd0187c38ba7c33f60ab06e1b0402b9bcdb5",80668,"2026-08-12T00:50:39.551411Z UTC",FALSE,,"build_member","d2ea6c1e0cabca20d18e924b25a1cd0187c38ba7c33f60ab06e1b0402b9bcdb5",80668,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/clipboard/clipboard.min.js","build_member","e17a1d816e13c0826e0ed7febfabc3277f45571234bde0bf9120829a7169edc9",9160,"2026-08-12T00:50:39.553381Z UTC",FALSE,,"build_member","e17a1d816e13c0826e0ed7febfabc3277f45571234bde0bf9120829a7169edc9",9160,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid-init.js","build_member","a68a1b7deabddb8dafadefbeec74f61f0e0c549539547843a3189a2665f3ea7a",14113,"2026-08-12T00:50:39.559908Z UTC",FALSE,,"build_member","a68a1b7deabddb8dafadefbeec74f61f0e0c549539547843a3189a2665f3ea7a",14113,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid.css","build_member","7cde9e49bfab3857c4bd590b86c15c2f46d4b4bdc4af4c9cc3e0480cbd249562",281,"2026-08-12T00:50:39.562564Z UTC",FALSE,,"build_member","7cde9e49bfab3857c4bd590b86c15c2f46d4b4bdc4af4c9cc3e0480cbd249562",281,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid.min.js","build_member","07e37dfa97b337ccc85365d57eddf99b9706f09db3b59b260d0333b23b343c4b",2748992,"2026-08-12T00:50:39.565975Z UTC",FALSE,,"build_member","07e37dfa97b337ccc85365d57eddf99b9706f09db3b59b260d0333b23b343c4b",2748992,"2026-04-09T09:56:20.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/anchor.min.js","build_member","69098e105d990f834cff1b7886d873444228ff63c590e5ff834d568f1115ed8b",5888,"2026-08-12T00:50:39.573368Z UTC",FALSE,,"build_member","69098e105d990f834cff1b7886d873444228ff63c590e5ff834d568f1115ed8b",5888,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/popper.min.js","build_member","4d50586b184724d39ddfe0f6582861664eddd5e806e5a79e0dbaa832361414d0",20084,"2026-08-12T00:50:39.580242Z UTC",FALSE,,"build_member","4d50586b184724d39ddfe0f6582861664eddd5e806e5a79e0dbaa832361414d0",20084,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css","build_member","96d688dbd4c2de66404fd9b0e75d5b62573cbece9ee7011ca24d8bce1bbe044c",3678,"2026-08-12T00:50:39.586334Z UTC",FALSE,,"build_member","96d688dbd4c2de66404fd9b0e75d5b62573cbece9ee7011ca24d8bce1bbe044c",3678,"2026-04-17T08:27:22.227999Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/quarto.js","build_member","4ecb60f215d96b2af0fe9d985c71e32863b1c993a64725a416ac18b5991c59c6",26830,"2026-08-12T00:50:39.588719Z UTC",FALSE,,"build_member","4ecb60f215d96b2af0fe9d985c71e32863b1c993a64725a416ac18b5991c59c6",26830,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tabsets/tabsets.js","build_member","a9c226bf70e82eaf5476f619cecfb70b4446b87ce4d1634d6404b0b2ba006d15",2882,"2026-08-12T00:50:39.590905Z UTC",FALSE,,"build_member","a9c226bf70e82eaf5476f619cecfb70b4446b87ce4d1634d6404b0b2ba006d15",2882,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tippy.css","build_member","5969f497d9158d7682f8219c6f13fa67269cdf5bf50a3931d95327151dee5678",1409,"2026-08-12T00:50:39.601372Z UTC",FALSE,,"build_member","5969f497d9158d7682f8219c6f13fa67269cdf5bf50a3931d95327151dee5678",1409,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tippy.umd.min.js","build_member","41181eeec6d7ba64cb9165f0e95563e34e026bde79e7c13aeec83270429b6fae",24033,"2026-08-12T00:50:39.615421Z UTC",FALSE,,"build_member","41181eeec6d7ba64cb9165f0e95563e34e026bde79e7c13aeec83270429b6fae",24033,"2026-04-09T10:01:33.000000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","build_member","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f",641597,"2026-08-12T00:50:39.521407Z UTC",FALSE,,"build_member","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"2026-08-21T18:12:08.212200Z UTC",FALSE,,"CHANGED_CONTENT","EXPECTED_COMPANION_HTML_TRANSITION","",,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.qmd","build_member","e32aff685b713838acd5e416003edae8c9d066abe8dbd52fe9e133159b23e663",45382,"2026-08-12T00:50:39.508977Z UTC",FALSE,,"build_member","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,"2026-08-21T18:13:37.846473Z UTC",FALSE,,"CHANGED_CONTENT","SOURCE_IDENTICAL_BUILD_QMD","",,"PASS"
"_build/nathealth/search.json","build_member","acdf1021d37e089d8482522e6e94f2108121c73e7ae7fde630cdc42fd3ed27c3",2376428,"2026-08-21T17:27:21.586094Z UTC",FALSE,,"build_member","0bc54cffd8bd8667ebf09cf3781da054860a74a43b3cd2b0c3d1293b1f04518d",2441860,"2026-08-21T18:11:34.165623Z UTC",FALSE,,"CHANGED_CONTENT","EXPECTED_SITE_INTEGRATION","",,"PASS"
"_build/nathealth/site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css","build_member","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c",498438,"2026-08-21T17:26:54.522000Z UTC",FALSE,,"build_member","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c",498438,"2026-08-21T18:11:02.107000Z UTC",FALSE,,"MTIME_ONLY","BYTE_IDENTICAL_MTIME_ONLY","",,"PASS"
"_build/nathealth/sitemap.xml","build_member","5e5d4c0a683907532a025a13057dd6daedf5d9791c7356fb0e657c46bfeb0721",6101,"2026-08-21T17:27:21.528304Z UTC",FALSE,,"build_member","bc57b820d51f08c6c26c1359a1acd1130cc2898294fac1dfcc342551cbfdd2fa",6282,"2026-08-21T18:11:33.984993Z UTC",FALSE,,"CHANGED_CONTENT","EXPECTED_SITE_INTEGRATION","",,"PASS"
