"phrase","present","status"
"gap-timing-unaware dataset",TRUE,"PASS"
"at least 50% valid minutes per hour",TRUE,"PASS"
"at least 80% valid hours per day",TRUE,"PASS"
"timing of the remaining missing observations",TRUE,"PASS"
"time-sensitive primary metric dataset",TRUE,"PASS"
"Exact evaluated Wilkinson formulae",TRUE,"PASS"
"complete nine-test",TRUE,"PASS"
"no FDR-adjusted p-value met the 0.050 criterion",TRUE,"PASS"
"bounded maintenance rebuilt only the six primary-dataset L10 model branches",TRUE,"PASS"
"Near eye",TRUE,"PASS"
"Chest",TRUE,"PASS"
"R 4.6.1",TRUE,"PASS"
