"check","expected","actual","status"
"input_sha256","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","PASS"
"input_bytes","1245097","1245097","PASS"
"old_prefix_matches","2+2+2","2+2+2","PASS"
"candidate_new_prefix_matches","2+2+2","2+2+2","PASS"
"candidate_old_prefix_matches","0+0+0","0+0+0","PASS"
"candidate_sha256","0a3d0cabcd6cdb67db072cfa566448a885a774db519bea442a973896a7d616e8","0a3d0cabcd6cdb67db072cfa566448a885a774db519bea442a973896a7d616e8","PASS"
"candidate_bytes","1245095","1245095","PASS"
"reverse_sha256","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","PASS"
"reverse_bytes","1245097","1245097","PASS"
"reverse_byte_identity","TRUE","TRUE","PASS"
"masked_nonselected_sha256_input","0871598f3fbc6c8e67598aba9fda03fa6fe9a005b07edba0ea20e2e6f628f0fe","0871598f3fbc6c8e67598aba9fda03fa6fe9a005b07edba0ea20e2e6f628f0fe","PASS"
"masked_nonselected_sha256_candidate","0871598f3fbc6c8e67598aba9fda03fa6fe9a005b07edba0ea20e2e6f628f0fe","0871598f3fbc6c8e67598aba9fda03fa6fe9a005b07edba0ea20e2e6f628f0fe","PASS"
"masked_nonselected_identity","TRUE","TRUE","PASS"
