"item","category","present","status"
"timing_hour ~ site + (1 | site:Id)","formula_literal",TRUE,"PASS"
"timing_hour ~ site + mctq_hour_centered + (1 | site:Id)","formula_literal",TRUE,"PASS"
"timing_hour ~ site * mctq_hour_centered + (1 | site:Id)","formula_literal",TRUE,"PASS"
"timing_hour ~ site + meq_10_centered + (1 | site:Id)","formula_literal",TRUE,"PASS"
"timing_hour ~ site * meq_10_centered + (1 | site:Id)","formula_literal",TRUE,"PASS"
"Answer in brief","reader_contract",TRUE,"PASS"
"Munich Chronotype Questionnaire corrected midsleep on free days (MCTQ MSFsc)","reader_contract",TRUE,"PASS"
"Morningness–Eveningness Questionnaire (MEQ)","reader_contract",TRUE,"PASS"
"false-discovery-rate (FDR)","reader_contract",TRUE,"PASS"
"participant-day","reader_contract",TRUE,"PASS"
"random effect","reader_contract",TRUE,"PASS"
"not an equivalence","reader_contract",TRUE,"PASS"
"gap-timing-unaware dataset","reader_contract",TRUE,"PASS"
"50%-per-hour","reader_contract",TRUE,"PASS"
"80%-per-day","reader_contract",TRUE,"PASS"
"time-sensitive primary dataset","reader_contract",TRUE,"PASS"
"does not establish that chronotype causes","reader_contract",TRUE,"PASS"
