"table","token","local_resolution_count","document_resolution_count","status"
"table-1","tbl-h09-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h09-metrics--gt-0004",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0001",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0003",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0001",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0003",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0001",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0003",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0001",1,1,"PASS"
"table-2","tbl-h09-formulas--gt-0002",1,1,"PASS"
