"map_id","display","numbered_container","render_block","current_source","prospective_source","authority_state","native_vector_requirement","panel_label","caption_contract","alt_text_contract","numbering_and_link_contract","word_contract"
"MAP-S5-AB","Supplementary Figure S5","fig-s5","one left-right figure block","audit/manuscript_nature_health/figure_table_selection_assets/brown_supplementary_figure_s5.svg","audit/analyses/brown_adherence/manuscript_selection/supplementary_figure_s5/report018_order72j_flat_svg/candidate/brown_supplementary_figure_s5_flat.svg","Final scientific content held until BA-017 yields accepted replacement panels; historical components may support a compatibility test only","One flat native SVG containing copied vector trees in prefixed groups; zero image elements; no PNG or nested SVG payload","Uppercase A and B at the left edge of their respective panels, with exact left-right geometry preserved","One shared S5 caption. Preserve all window, day-type, interval, weighting, sample, and bedside-sleep qualifications. Coordinator must resolve the sleep-wording conflict before promotion.","Describe panel A work-day adherence and panel B free-day differences, including intervals, reference lines, and non-color significance cues","Keep fig-s5, Supplementary Figure S5, all inbound links, and downstream numbering unchanged","Embed the accepted flat SVG as one drawing; do not assemble the panels through Quarto or Word"
"MAP-S7-A","Supplementary Figure S7","fig-s7","first of two stacked full-width image blocks","audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s6.svg","artifacts/10_figures/H01/stage3/H01_stage3_model_support.svg","Accepted current H01 component","Reuse the byte-exact native SVG; zero image elements","External uppercase A at the left of this block unless the accepted component already supplies the required label","First clause of one shared S7 caption identifies the H01 model-support display and its inferential status","Describe the H01 model-support panel independently, including axes, estimates, intervals, and support coding","Keep one fig-s7 container and one Supplementary Figure S7 number; the two blocks must not create separate numbered figures or links","Insert as the first independent SVG drawing"
"MAP-S7-B","Supplementary Figure S7","fig-s7","second of two stacked full-width image blocks","artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_near_eye.png","audit/hypotheses/H07/report018_order72j_split_svg_export/candidate/H07_revised_smooth_derivative_pairs_near_eye.svg","Accepted H07 raster and frozen display rows; native SVG missing","Bounded native SVG export from the accepted frozen rows and plotting expression; zero image elements; no model refit or recalculation","External uppercase B at the left of this block; preserve all component-internal labels","Second clause of the shared S7 caption identifies the smooth/derivative component and preserves the accepted qualifications","Describe the H07 smooth and derivative component independently, including confidence bands and derivative interpretation","Remain inside fig-s7; preserve every existing S7 cross-reference and downstream number","Insert as the second independent SVG drawing, stacked beneath A"
"MAP-S15-A","Supplementary Figure S15","fig-s15","first of two stacked full-width image blocks","artifacts/10_figures/H09/H09_primary_effects.png","audit/hypotheses/H09/report018_order72j_split_svg_export/candidate/H09_primary_effects.svg","Accepted H09 raster, PDF comparator, and frozen display rows; native SVG missing","Bounded native SVG export from the accepted frozen rows and existing plot construction; zero image elements","External uppercase A at the left of this block unless already present","First clause of one shared S15 caption identifies the primary-effects component without changing its estimates or inferential scope","Describe the H09 primary-effects component independently, including estimates, uncertainty, and non-estimable states","Keep one fig-s15 container and one Supplementary Figure S15 number; preserve all links and downstream numbering","Insert as the first independent SVG drawing"
"MAP-S15-B","Supplementary Figure S15","fig-s15","second of two stacked full-width image blocks","artifacts/10_figures/H09/H09_observed_timing_patterns.png","audit/hypotheses/H09/report018_order72j_split_svg_export/candidate/H09_observed_timing_patterns.svg","Accepted H09 raster, PDF comparator, and frozen display rows; native SVG missing","Bounded native SVG export from the accepted frozen rows and existing plot construction; zero image elements; preserve component-internal panels","External uppercase B at the left of the outer block; do not relabel or reorder internal panels","Second clause of the shared S15 caption identifies observed timing patterns and preserves all accepted qualifications","Describe the observed timing-pattern component independently, including every internal panel and uncertainty encoding","Remain inside fig-s15; preserve every existing S15 cross-reference and downstream number","Insert as the second independent SVG drawing, stacked beneath A"
"MAP-S2","Supplementary Table S2","supp-table-s2","one 14-column horizontal set with vertical continuation only","audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html","audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/word_table_capture_candidate/supp_table_s2_part_*.png","Accepted semantic HTML is immutable; only capture geometry changes","Not applicable. Embedded distribution plots remain byte-identical PNG data from the accepted HTML.","Not applicable","Preserve the existing caption and notes exactly","Not applicable to the table; every column heading and note must remain readable","Keep supp-table-s2 and Supplementary Table S2. Use a dedicated A3 landscape Word section, all 14 columns on every vertical part, repeated headers, and contain-fit distribution plots"
"MAP-S5-TABLE","Supplementary Table S5","supp-table-s5","one table image block","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/word_table_capture_candidate/supp_table_s5.png","Accepted HTML is immutable; capture font only changes","Not applicable","Not applicable","Preserve caption and notes exactly","Not applicable","Explicit Arial computed-style contract for title, header, stub, body, and note before capture"
"MAP-S6-TABLE","Supplementary Table S6","supp-table-s6","one table image block","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/word_table_capture_candidate/supp_table_s6.png","Accepted HTML is immutable; capture font only changes","Not applicable","Not applicable","Preserve caption and notes exactly","Not applicable","Explicit Arial computed-style contract for title, header, stub, body, and note before capture"
"MAP-S10-TABLE","Supplementary Table S10","supp-table-s10","one table image block","manuscript/R0_NatHealth/display_assets/table_s8_person_level_synthesis.html","audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/word_table_capture_candidate/supp_table_s10.png","Accepted HTML is immutable; capture font only changes","Not applicable","Not applicable","Preserve caption and notes exactly","Not applicable","Explicit Arial computed-style contract for title, header, stub, body, and note before capture"
"MAP-S17","Supplementary Figure S17","fig-s17","one figure block","audit/hypotheses/H11/report018_order72_svg_export/candidate/H11_reader_primary_near_eye_curves.svg","audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/candidate/H11_reader_near_eye_curves_arial_safe_margin.svg","Accepted source passes native Word; prospective file is an optional LibreOffice compatibility candidate","SVG-only deterministic font declaration and bottom-canvas mutation; zero image elements; no data or coordinate changes","Uppercase labels remain on the left","Caption remains byte-identical","Alt text remains meaning-identical; dropping the unnecessary word primary in display prose requires Coordinator approval, not a graphical rewrite","Keep fig-s17, number, and all links unchanged","Native Word remains the acceptance target; test the candidate additionally in LibreOffice and retain the accepted source if no strict improvement"
"MAP-S12","Supplementary Figure S12","fig-s12","one protected figure block","audit/hypotheses/H06/report018_order72_svg_export/candidate/H06_stage3_site_specific_significance_screen.svg","same byte-exact source","Accepted current source","Genuine SVG; preserve zero occurrences of MDER","Existing uppercase left-side panel labels remain unchanged","Caption remains unchanged","Alt text remains unchanged","Keep fig-s12, number, and all links unchanged","No MDER legend may reappear in browser or Word"
"MAP-T3","Main Table 3","tbl-plan-h01-metric-synthesis","one accepted gt table","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html","same byte-exact source","Author-approved and accepted in Order72h","Not applicable. Distribution thumbnails remain their accepted raster payloads.","Not applicable","Caption and definition/relevance wording remain unchanged","Not applicable","Keep Main Table 3, identifier, links, and approved metric order unchanged","Do not regenerate or restyle during the display repair"
"MAP-H06D","Excluded H06_daily display","none","none","none","none","Author explicitly withdrew the original H06_daily instruction","Not applicable","Not applicable","No caption","No alt text","No numbered display or link may be introduced","No manuscript or selection-page insertion"
