"check","pass","detail"
"identity seven_missing_source_matched_artifacts.csv",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/specifications/seven_missing_source_matched_artifacts.csv"
"exact_seven_source_map_entries",TRUE,""
"exact_seven_page_names",TRUE,""
"identity tbl-main-adherence-levels.html",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/tbl-main-adherence-levels.html"
"identity table_2_a.html",TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_manual_table_sources_2026_09_13/attempt_02/table_2_a.html"
"table_2_a.html one table in rectangle",TRUE,""
"table_2_a.html fixed rectangle width",TRUE,""
"table_2_a.html row count",TRUE,""
"table_2_a.html exact repeated thead",TRUE,""
"table_2_a.html source styles exact",TRUE,""
"table_2_a.html source font declaration",TRUE,""
"table_2_a.html no capture font override",TRUE,""
"table_2_a.html whole mean-SD unit count",TRUE,""
"table_2_a.html exact source body row 0",TRUE,""
"table_2_a.html complete column span 0",TRUE,""
"table_2_a.html exact image tags 0",TRUE,""
"table_2_a.html exact source body row 1",TRUE,""
"table_2_a.html complete column span 1",TRUE,""
"table_2_a.html exact image tags 1",TRUE,""
"table_2_a.html exact source body row 2",TRUE,""
"table_2_a.html complete column span 2",TRUE,""
"table_2_a.html exact image tags 2",TRUE,""
"table_2_a.html exact source body row 3",TRUE,""
"table_2_a.html complete column span 3",TRUE,""
"table_2_a.html exact image tags 3",TRUE,""
"table_2_a.html exact source body row 4",TRUE,""
"table_2_a.html complete column span 4",TRUE,""
"table_2_a.html exact image tags 4",TRUE,""
"table_2_a.html exact source body row 5",TRUE,""
"table_2_a.html complete column span 5",TRUE,""
"table_2_a.html exact image tags 5",TRUE,""
"table_2_a.html exact source body row 6",TRUE,""
"table_2_a.html complete column span 6",TRUE,""
"table_2_a.html exact image tags 6",TRUE,""
"table_2_a.html exact source body row 7",TRUE,""
"table_2_a.html complete column span 7",TRUE,""
"table_2_a.html exact image tags 7",TRUE,""
"table_2_a.html exact source body row 8",TRUE,""
"table_2_a.html complete column span 8",TRUE,""
"table_2_a.html exact image tags 8",TRUE,""
"table_2_a.html exact source body row 9",TRUE,""
"table_2_a.html complete column span 9",TRUE,""
"table_2_a.html exact image tags 9",TRUE,""
"table_2_a.html exact source body row 10",TRUE,""
"table_2_a.html complete column span 10",TRUE,""
"table_2_a.html exact image tags 10",TRUE,""
"table_2_a.html exact source body row 11",TRUE,""
"table_2_a.html complete column span 11",TRUE,""
"table_2_a.html exact image tags 11",TRUE,""
"table_2_a.html notes exact and on specified part",TRUE,""
"table_2_a.html unique standalone IDs",TRUE,""
"table_2_a.html headers resolve inside table",TRUE,""
"table_2_a.html no active/fetched tag script",TRUE,""
"table_2_a.html no active/fetched tag iframe",TRUE,""
"table_2_a.html no active/fetched tag object",TRUE,""
"table_2_a.html no active/fetched tag embed",TRUE,""
"table_2_a.html no active/fetched tag form",TRUE,""
