"figure_order","label","appearance","source","sha256","crop_top_fraction","crop_bottom_fraction","crop_left_fraction","crop_right_fraction","disposition","geometry","crop_authority"
1,"Main Figure 1",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/4304aa487b3c_descriptive_overview.svg","4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
2,"Main Figure 2",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/2f9493540f12_figure4_exact_layout_replication.svg","2f9493540f12c9c660d213ee619bc726f1e3a0e34ce52c0e59bdf6bd8102a5cd",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
3,"Main Figure 3",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/012453debcd7_H04_manuscript_figure3_selection_candidate.svg","012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
4,"Supplementary Figure S1",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/63c21b0d084b_near_eye_metric_distributions.svg","63c21b0d084b76e63e50d24f097ab3a881c7056ca4d73c7def5f7a064d1daf05",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
5,"Supplementary Figure S2",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/61de5a9df7dd_time_series_to_metrics.svg","61de5a9df7dda373d27935a9905bde99c2857c52787dafaedbb11a240efa7bbe",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
6,"Supplementary Figure S3",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/58b7263ac915_latitude_photoperiod_diagnostic.svg","58b7263ac915e910c268d840f00cb1a036fcc7036ed7b1ef0a201bb4202117fa",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
7,"Supplementary Figure S4",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_adherence_levels.svg","11b008bda0e8cfce327a943e23107ec26d31bc7c434184f6636aec4d48861353",0,0,0,0,"REPLACE with exact final accepted SVG; do not regenerate; Word visibility/readability still unverified","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
8,"Supplementary Figure S5A",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_site_workday.svg","ecca6b95391659817dee792c9abd35acf3a7a93aaf184203ad0c284258708b86",0,0,0,0,"REPLACE with exact final accepted SVG; do not regenerate; Word visibility/readability still unverified","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
9,"Supplementary Figure S5B",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_site_free_work.svg","62414031116e794769d6f59ba4e5ac73fd2d44d698b54ff9ef1f0c3344c5c8b5",0,0,0,0,"REPLACE with exact final accepted SVG; do not regenerate; Word visibility/readability still unverified","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
10,"Supplementary Figure S6",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/200e85cb494e_brown_participant_state_raincloud.svg","200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653",0,0,0,0,"REUSE byte-exact; final accepted anonymous 139-profile raincloud unchanged","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
