"source","copy","tables","rows","data_rows","group_rows","images"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-participant-site-manuscript.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/551b4a68b443_tbl-participant-site-manuscript.html",1,18,15,3,0
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-main-adherence.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/71eb7e25da5e_tbl-plan-brown-main-adherence.html",1,3,3,0,0
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/d50b25afae95_tbl-plan-h01-metric-synthesis-candidate.html",1,23,17,6,17
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/5f856811303d_tbl-plan-descriptive-sample-flow.html",1,17,13,4,0
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/6832c791ed3e_tbl-near-eye-metrics.html",1,23,17,6,17
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-recommendation-context.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/acecb8a1860d_tbl-recommendation-context.html",1,11,11,0,0
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/9dc92f253ecb_tbl-plan-brown-cross-window-associations.html",1,6,4,2,0
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/1147881a6495_tbl-plan-h02-glasses-variation-shapley-gt-candidate.html",1,9,7,2,0
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/1fd4579929dc_tbl-plan-h02-chest-variation-shapley-gt-candidate.html",1,9,7,2,0
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-h01-primary-publication-summary.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/resources/ed6f48b28455_tbl-h01-primary-publication-summary.html",1,23,17,6,0
