"row","window","column","display_text","source","source_sha256","source_key","source_field","source_display_text","formatting_only","sample"
1,"Daytime",1,"Daytime","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table2_brown_adherence.html","6f7367bf3e8d5ea657c18f11217a197265311bd08a8292dcbaaad30e8ba41d9a","tbody row 1","recommendation window","Daytime","verbatim","Descriptive/recommendation"
1,"Daytime",2,"At least 250 lx melanopic EDI during wake, excluding the three hours before sleep","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table2_brown_adherence.html","6f7367bf3e8d5ea657c18f11217a197265311bd08a8292dcbaaad30e8ba41d9a","tbody row 1","recommendation","At least 250 lx melanopic EDI during wake, excluding the three hours before sleep","verbatim text; natural wrapping only","Descriptive/recommendation"
1,"Daytime",3,"137,792/573,712 (24.0%)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s3_recommendation_windows.html","33ebc99f976acffb54082eb7afd4a6b44549b3f9de330dea998ce2f69c4ba6e6","Overall / Daytime","within-range percentage and n/N","24.0%137,792 / 573,712","move displayed percentage after n/N; remove spaces around slash; no rounding change","Descriptive/recommendation"
1,"Daytime",4,"26.6 (24.5 to 28.7)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_levels_source.csv","5ce0008819ba241c23682e87554fed9807da157237b7b36e4dc64521976fa326","Any valid period / Daytime / Work day","Recommendation adherence (95% CI)","26.6% (24.5% to 28.7%)","remove repeated % because header supplies percent; line break before intact interval","Any valid period"
1,"Daytime",5,"21.5 (19.2 to 23.8)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_levels_source.csv","5ce0008819ba241c23682e87554fed9807da157237b7b36e4dc64521976fa326","Any valid period / Daytime / Free day","Recommendation adherence (95% CI)","21.5% (19.2% to 23.8%)","remove repeated % because header supplies percent; line break before intact interval","Any valid period"
1,"Daytime",6,"-5.1 (-7.8 to -2.4)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_primary_source.csv","90500204c488451d053c0db35f6c595e5ea8cd851d0899867c3ec439934fa924","Any valid period / Daytime","Free minus Work (95% CI)","-5.1 pp (-7.8 pp to -2.4 pp)","remove repeated pp because header supplies percentage points; retain signs and precision; line break before intact interval","Any valid period"
1,"Daytime",7,"<0.001","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_primary_source.csv","90500204c488451d053c0db35f6c595e5ea8cd851d0899867c3ec439934fa924","Any valid period / Daytime","FDR-adjusted p","<0.001","verbatim; HTML-escape less-than sign","Any valid period"
2,"Pre-sleep",1,"Pre-sleep","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table2_brown_adherence.html","6f7367bf3e8d5ea657c18f11217a197265311bd08a8292dcbaaad30e8ba41d9a","tbody row 2","recommendation window","Pre-sleep","verbatim","Descriptive/recommendation"
2,"Pre-sleep",2,"No more than 10 lx melanopic EDI during the three hours before reported sleep","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table2_brown_adherence.html","6f7367bf3e8d5ea657c18f11217a197265311bd08a8292dcbaaad30e8ba41d9a","tbody row 2","recommendation","No more than 10 lx melanopic EDI during the three hours before reported sleep","verbatim text; natural wrapping only","Descriptive/recommendation"
2,"Pre-sleep",3,"81,894/129,390 (63.3%)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s3_recommendation_windows.html","33ebc99f976acffb54082eb7afd4a6b44549b3f9de330dea998ce2f69c4ba6e6","Overall / Pre-sleep","within-range percentage and n/N","63.3%81,894 / 129,390","move displayed percentage after n/N; remove spaces around slash; no rounding change","Descriptive/recommendation"
2,"Pre-sleep",4,"62.0 (58.8 to 65.2)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_levels_source.csv","5ce0008819ba241c23682e87554fed9807da157237b7b36e4dc64521976fa326","Any valid period / Pre-sleep / Work day","Recommendation adherence (95% CI)","62.0% (58.8% to 65.2%)","remove repeated % because header supplies percent; line break before intact interval","Any valid period"
2,"Pre-sleep",5,"67.9 (64.2 to 71.6)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_levels_source.csv","5ce0008819ba241c23682e87554fed9807da157237b7b36e4dc64521976fa326","Any valid period / Pre-sleep / Free day","Recommendation adherence (95% CI)","67.9% (64.2% to 71.6%)","remove repeated % because header supplies percent; line break before intact interval","Any valid period"
2,"Pre-sleep",6,"+5.9 (+1.4 to +10.5)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_primary_source.csv","90500204c488451d053c0db35f6c595e5ea8cd851d0899867c3ec439934fa924","Any valid period / Pre-sleep","Free minus Work (95% CI)","+5.9 pp (+1.4 pp to +10.5 pp)","remove repeated pp because header supplies percentage points; retain signs and precision; line break before intact interval","Any valid period"
2,"Pre-sleep",7,"0.011","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_primary_source.csv","90500204c488451d053c0db35f6c595e5ea8cd851d0899867c3ec439934fa924","Any valid period / Pre-sleep","FDR-adjusted p","0.011","verbatim; HTML-escape less-than sign","Any valid period"
3,"Sleep",1,"Sleep","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table2_brown_adherence.html","6f7367bf3e8d5ea657c18f11217a197265311bd08a8292dcbaaad30e8ba41d9a","tbody row 3","recommendation window","Sleep","verbatim","Descriptive/recommendation"
3,"Sleep",2,"No more than 1 lx melanopic EDI during reported sleep; bedside sleep environment","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table2_brown_adherence.html","6f7367bf3e8d5ea657c18f11217a197265311bd08a8292dcbaaad30e8ba41d9a","tbody row 3","recommendation","No more than 1 lx melanopic EDI during reported sleep; bedside sleep environment","verbatim text; natural wrapping only","Descriptive/recommendation"
3,"Sleep",3,"336,052/383,366 (87.7%)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s3_recommendation_windows.html","33ebc99f976acffb54082eb7afd4a6b44549b3f9de330dea998ce2f69c4ba6e6","Overall / Sleep","within-range percentage and n/N","87.7%336,052 / 383,366","move displayed percentage after n/N; remove spaces around slash; no rounding change","Descriptive/recommendation"
3,"Sleep",4,"90.4 (88.9 to 91.9)","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/frozen/table_levels_source.csv","5ce0008819ba241c23682e87554fed9807da157237b7b36e4dc64521976fa326","Any valid period / Sleep / Work day","Recommendation adherence (95% CI)","90.4% (88.9% to 91.9%)","remove repeated % because header supplies percent; line break before intact interval","Any valid period"
