check,observed,expected,status
token_pattern,(?<![A-Za-z_])(?:\d+\.\d+|\d+),(?<![A-Za-z_])(?:\d+\.\d+|\d+),PASS
before_numeric_token_count,402,402,PASS
after_numeric_token_count,402,402,PASS
changed_numeric_token_count,4,4,PASS
token_242,9.5->10,9.5->10,PASS
token_243,9->10,9->10,PASS
token_245,9.5->10,9.5->10,PASS
token_251,9->10,9->10,PASS
unchanged_numeric_tokens,398,398,PASS
reverse_substitution_sha256,37cfe876cf687e874d44d08761cd8f5d18a7c3ad809aa99c9ee449072eb1b9c7,37cfe876cf687e874d44d08761cd8f5d18a7c3ad809aa99c9ee449072eb1b9c7,PASS
