path,role,bytes,sha256
audit/preparation_reports/report017_preparation07_figuretext_testrepair_verification.md,testrepair_verification_record,5872,ccb6aea311eb3c5a344be223113f25ca1f4109a631b8a12a8edfa0c2b8848ba6
audit/report_harmonization/owner_orders/29a_preparation07_figure_typography_test_repair.md,controlling_test_only_order,2847,7ff6fe2381d488c57dc9c6c0b900c63512438877a88571f7bfbf099ad506cd33
notebooks/preparation/07_example_days.qmd,unchanged_repaired_qmd,39361,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1
tests/test_preparation07_report.R,authorized_repaired_test,12075,9d3a19b7d30ee0a6d5b0b643da628e25e970b232cf2f812fae1efdb4fe8fff58
_build/nathealth/notebooks/preparation/07_example_days.html,unchanged_stopped_html,297095,aa531fb4aef06d6ac897dfdbb9f493e83ad3d431d8e87b309cdffb31f0691401
_quarto-nathealth.yml,unchanged_profile,7404,5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565
audit/preparation_reports/report017_preparation07_figuretext_testrepair_reverse_proof.csv,exact_reverse_proof,587,daf0e7f44592719646e717f4d73f0151db61ebbe94cef1b9f167aa0af1fc5f91
audit/preparation_reports/report017_preparation07_figuretext_testrepair_prerun_protected_inventory.csv,prerun_protected_inventory,6408,e4db74bb377e76115637c285971ae4449e5e2517341ad9b6cccafb35e26485fd
audit/preparation_reports/report017_preparation07_figuretext_testrepair_prerun_protected_comparison.csv,authorized_test_delta_comparison,8343,d64ca6f8a4970307394a2c9f23530c78275c1799a6cba89b5251930f88d57ba2
audit/preparation_reports/report017_preparation07_figuretext_testrepair_posttest_protected_inventory.csv,posttest_protected_inventory,6408,e4db74bb377e76115637c285971ae4449e5e2517341ad9b6cccafb35e26485fd
audit/preparation_reports/report017_preparation07_figuretext_testrepair_posttest_protected_comparison.csv,posttest_protected_comparison,8320,85725beea82d98cd9d783e21a5be72c28bf4fcbbc16f8b4e3aaddb26e673ffed
audit/preparation_reports/report017_preparation07_figuretext_testrepair_identity_checks.csv,immediate_identity_checks,2215,c45f1a4729b1a5fb3435b33a39564d1ab7588313f393a69303acc7d8b557a2bf
audit/preparation_reports/report017_preparation07_figuretext_failed_source_test_verification.md,historical_owner_stop,6661,9fa4f2ae38ce697043a98ae20dabb03eeb626b2e5fb8abf85d4277122544b357
audit/preparation_reports/report017_preparation07_figuretext_failed_source_test_manifest.csv,historical_owner_stop_manifest,4264,79fddcba317def3b90142e9205d3821c746b894a291f0d8e9c8abd65d322a485
audit/report_harmonization/report017_preparation07_figuretext_test_stop_independent_acceptance.md,historical_independent_stop_acceptance,2787,d12eb171be6f562c1c806f9233dde766699ac7b57ff9e9033d324f6ce0a82a76
audit/report_harmonization/report017_preparation07_figuretext_test_stop_independent_acceptance_manifest.csv,historical_independent_stop_manifest,2259,3d1fdb100484ac5fe2261c636232102eea50b66243044ef3a25a32f323ab925f
