"position","dataset_side","metric","analysis_unit","rows","mappings","mapping_status","note"
"glasses","baseline","interdaily_stability","participant",141,0,"deferred_participant_metric","Participant-level IS/IV comparison is outside this Preparation 04 daily-metric pass."
"glasses","baseline","intradaily_variability","participant",141,0,"deferred_participant_metric","Participant-level IS/IV comparison is outside this Preparation 04 daily-metric pass."
"glasses","baseline","Mean","participant-day",811,1,"mapped",""
"glasses","baseline","brightest_10h_mean","participant-day",811,1,"mapped",""
"glasses","baseline","brightest_10h_midpoint","participant-day",811,1,"mapped",""
"glasses","baseline","brightest_10h_onset","participant-day",811,1,"mapped",""
"glasses","baseline","brightest_10h_offset","participant-day",811,1,"mapped",""
"glasses","baseline","darkest_10h_mean","participant-day",811,1,"mapped",""
"glasses","baseline","darkest_10h_midpoint","participant-day",811,1,"mapped",""
"glasses","baseline","darkest_10h_onset","participant-day",811,1,"mapped",""
"glasses","baseline","darkest_10h_offset","participant-day",811,1,"mapped",""
"glasses","baseline","duration_above_1000","participant-day",811,1,"mapped",""
"glasses","baseline","duration_above_250","participant-day",811,1,"mapped",""
"glasses","baseline","period_above_250","participant-day",811,1,"mapped",""
"glasses","baseline","mean_timing_above_250","participant-day",811,1,"mapped",""
"glasses","baseline","first_timing_above_250","participant-day",811,1,"mapped",""
"glasses","baseline","last_timing_above_250","participant-day",811,1,"mapped",""
"glasses","baseline","dose","participant-day",811,2,"mapped_to_multiple_current_estimands","Baseline dose is compared with both observed and time-sensitive corrected current dose."
"glasses","baseline","MDER","participant-day",811,1,"mapped",""
"glasses","baseline","duration_below_10_pre-sleep","participant-day",811,1,"mapped",""
"glasses","baseline","duration_below_1_sleep","participant-day",811,1,"mapped",""
"glasses","baseline","duration_above_250_wake","participant-day",811,1,"mapped",""
"glasses","current","mder_ratio_of_integrals","participant_day",,1,"mapped",""
"glasses","current","daily_geometric_mean_medi","participant_day",,1,"mapped",""
"glasses","current","m10_mean_medi","participant_day",,1,"mapped",""
"glasses","current","m10_midpoint","participant_day",,1,"mapped",""
"glasses","current","m10_onset","participant_day",,1,"mapped",""
"glasses","current","m10_offset","participant_day",,1,"mapped",""
"glasses","current","l10_mean_medi","participant_day",,1,"mapped",""
"glasses","current","l10_midpoint","participant_day",,1,"mapped",""
"glasses","current","l10_onset","participant_day",,1,"mapped",""
"glasses","current","l10_offset","participant_day",,1,"mapped",""
"glasses","current","duration_above_1000","participant_day",,1,"mapped",""
"glasses","current","duration_above_250_full_day","participant_day",,1,"mapped",""
"glasses","current","longest_bout_above_250","participant_day",,1,"mapped",""
"glasses","current","mean_timing_above_250","participant_day",,1,"mapped",""
"glasses","current","first_timing_above_250","participant_day",,1,"mapped",""
"glasses","current","last_timing_above_250","participant_day",,1,"mapped",""
"glasses","current","dose_observed_medi","participant_day",,1,"mapped",""
"glasses","current","dose_time_sensitive_corrected_medi","participant_day",,1,"mapped",""
"glasses","current","duration_above_250_wake","participant_day",,1,"mapped",""
"glasses","current","duration_below_10_pre_sleep","participant_day",,1,"mapped",""
"glasses","current","duration_below_1_sleep_environment","participant_day",,1,"mapped",""
"chest","baseline","interdaily_stability","participant",154,0,"deferred_participant_metric","Participant-level IS/IV comparison is outside this Preparation 04 daily-metric pass."
"chest","baseline","intradaily_variability","participant",154,0,"deferred_participant_metric","Participant-level IS/IV comparison is outside this Preparation 04 daily-metric pass."
"chest","baseline","Mean","participant-day",897,1,"mapped",""
"chest","baseline","brightest_10h_mean","participant-day",897,1,"mapped",""
"chest","baseline","brightest_10h_midpoint","participant-day",897,1,"mapped",""
"chest","baseline","brightest_10h_onset","participant-day",897,1,"mapped",""
"chest","baseline","brightest_10h_offset","participant-day",897,1,"mapped",""
"chest","baseline","darkest_10h_mean","participant-day",897,1,"mapped",""
"chest","baseline","darkest_10h_midpoint","participant-day",897,1,"mapped",""
"chest","baseline","darkest_10h_onset","participant-day",897,1,"mapped",""
"chest","baseline","darkest_10h_offset","participant-day",897,1,"mapped",""
"chest","baseline","duration_above_1000","participant-day",897,1,"mapped",""
"chest","baseline","duration_above_250","participant-day",897,1,"mapped",""
"chest","baseline","period_above_250","participant-day",897,1,"mapped",""
"chest","baseline","mean_timing_above_250","participant-day",897,1,"mapped",""
"chest","baseline","first_timing_above_250","participant-day",897,1,"mapped",""
"chest","baseline","last_timing_above_250","participant-day",897,1,"mapped",""
"chest","baseline","dose","participant-day",897,2,"mapped_to_multiple_current_estimands","Baseline dose is compared with both observed and time-sensitive corrected current dose."
"chest","baseline","MDER","participant-day",897,1,"mapped",""
"chest","baseline","duration_below_10_pre-sleep","participant-day",897,1,"mapped",""
"chest","baseline","duration_below_1_sleep","participant-day",897,1,"mapped",""
"chest","baseline","duration_above_250_wake","participant-day",897,1,"mapped",""
"chest","current","mder_ratio_of_integrals","participant_day",,1,"mapped",""
