"comparison_order","mapping_id","focus_group","position","baseline_metric","current_metric","comparison_unit","difference_method","n_paired_finite","mean_difference","sd_difference","mean_absolute_difference","root_mean_square_difference","pearson_correlation","spearman_correlation","minimum_difference","q025_difference","q25_difference","median_difference","q75_difference","q975_difference","maximum_difference","n_negative_difference_lt_minus_1e_12","n_absolute_difference_lte_1e_12","n_positive_difference_gt_1e_12"
1,"D01","MDER","chest","MDER","mder_ratio_of_integrals","dimensionless","linear_current_minus_baseline",670,0.162753772002501,0.106908193991706,0.16833676712776,0.194682031770891,0.746691944284165,0.580482755270582,-0.947860035704163,-0.0199058308566383,0.102094548644338,0.160177398157102,0.223433523871296,0.375157990057213,0.594114880365785,26,1,643
1,"D01","MDER","glasses","MDER","mder_ratio_of_integrals","dimensionless","linear_current_minus_baseline",662,0.137391574779032,0.0993002903394597,0.143310461231206,0.1694759493104,0.640018212457603,0.647636618272307,-1.02689111878092,-0.0191290539449357,0.0770439161426489,0.133247711944722,0.195205573074508,0.321353316375434,0.549589025244041,27,0,635
2,"D02","mapped_daily_metric","chest","Mean","daily_geometric_mean_medi","lx","linear_current_minus_baseline",897,-0.00808609213706549,0.102851069260976,0.00808609213706549,0.1031112714996,0.999907444591488,0.999990722335359,-2.1139988994583,0,0,0,0,0,2.22044604925031e-16,19,878,0
2,"D02","mapped_daily_metric","glasses","Mean","daily_geometric_mean_medi","lx","linear_current_minus_baseline",811,-0.0044514702098592,0.072981581595224,0.0044514702098592,0.0730722878688984,0.999970135073846,0.999997637843608,-1.95527293823985,0,0,0,0,0,8.88178419700125e-16,11,800,0
3,"D03","mapped_daily_metric","chest","brightest_10h_mean","m10_mean_medi","lx","linear_current_minus_baseline",897,-9.85541595917942,54.4119548123427,9.85541595917989,55.2674354842361,0.990975752171818,0.961815642960615,-1107.46075912825,-119.306422011422,-3.97903932025656e-13,-1.06581410364015e-14,4.2632564145606e-14,1.76214598468505e-12,5.18411980010569e-11,157,702,38
3,"D03","mapped_daily_metric","glasses","brightest_10h_mean","m10_mean_medi","lx","linear_current_minus_baseline",811,-8.36312950019267,39.0904990872892,8.36312950019331,39.9515316034094,0.997123903138537,0.970296985711845,-467.3418900157,-91.1875491756224,-4.40536496171262e-13,-7.105427357601e-15,6.92779167366098e-14,2.17426077142591e-12,7.6397554948926e-11,151,612,48
4,"D04","mapped_daily_metric","chest","brightest_10h_midpoint","m10_midpoint","decimal_hour","circular_24h_current_minus_baseline",894,-0.06168903803132,1.0224820154599,0.313255033557047,1.02377027716799,0.867922357126872,0.879579090634388,-8.35,-2.6625,0.0166666666666657,0.0166666666666657,0.0166666666666675,1.91708333333333,6.78333333333333,78,0,816
4,"D04","mapped_daily_metric","glasses","brightest_10h_midpoint","m10_midpoint","decimal_hour","circular_24h_current_minus_baseline",809,-0.0653275648949313,1.16608008849906,0.354491141326741,1.16718879951934,0.810268862864609,0.849156413375806,-11.45,-2.98666666666667,0.0166666666666657,0.0166666666666675,0.0166666666666675,2.01333333333333,6.18333333333333,77,1,731
5,"D05","mapped_daily_metric","chest","brightest_10h_onset","m10_onset","decimal_hour","circular_24h_current_minus_baseline",894,-0.0783557046979864,1.0224820154599,0.299496644295302,1.02490958599191,0.867922357126872,0.879579090634388,-8.36666666666667,-2.67916666666667,0,0,0,1.90041666666666,6.76666666666667,78,748,68
5,"D05","mapped_daily_metric","glasses","brightest_10h_onset","m10_onset","decimal_hour","circular_24h_current_minus_baseline",809,-0.0819942315615983,1.16608008849906,0.341038318912237,1.16824015382012,0.810268862864609,0.849156413375806,-11.4666666666667,-3.00333333333333,0,0,0,1.99666666666666,6.16666666666667,78,668,63
