"display","role","fragment","path","exists","raw_html_fence","native_gt_source","included_once","render_id","rendered_gt_count","sha256"
"Table 1","main","tbl-participant-site-manuscript.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-participant-site-manuscript.html",TRUE,TRUE,TRUE,TRUE,"tbl-participant-site-manuscript",1,"551b4a68b443b3cc8c91c710960a7b03947654fe0dccc1b71277b0fa611e424c"
"Table 2","main","tbl-plan-brown-main-adherence.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-main-adherence.html",TRUE,TRUE,TRUE,TRUE,"tbl-plan-brown-main-adherence",1,"71eb7e25da5ec7f44e2324cb9da14a667d5411cf7e354ea5920a2f5b84a26334"
"Table 3","main","table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html",TRUE,TRUE,TRUE,TRUE,"tbl-plan-h01-metric-synthesis-candidate",1,"2f7f6f475d9fe55ee37da3c73aa12474e347ec4619889278fbca0aeab2f40e1c"
"Supplementary Table S1","supplementary","tbl-plan-descriptive-sample-flow.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html",TRUE,TRUE,TRUE,TRUE,"tbl-plan-descriptive-sample-flow",1,"5f856811303db236267269216d61176ff54283174bc824c7f82744f67c2f62c7"
"Supplementary Table S2","supplementary","tbl-near-eye-metrics.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html",TRUE,TRUE,TRUE,TRUE,"tbl-near-eye-metrics",1,"6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97"
"Supplementary Table S3","supplementary","tbl-recommendation-context.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-recommendation-context.html",TRUE,TRUE,TRUE,TRUE,"tbl-recommendation-context",1,"acecb8a1860d917ca1a349ad5b71b651285c046e2add21f363fa13f89d3da889"
"Supplementary Table S4","supplementary","tbl-plan-brown-cross-window-associations.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html",TRUE,TRUE,TRUE,TRUE,"tbl-plan-brown-cross-window-associations",1,"9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6"
"Supplementary Table S5","supplementary","remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html",TRUE,TRUE,TRUE,TRUE,"tbl-plan-h02-glasses-variation-shapley-gt-candidate",1,"28a6588de9294bac1a1d2b3f346d10ae4a6ae3d9b20c40af741062d998fe043a"
"Supplementary Table S6","supplementary","remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html",TRUE,TRUE,TRUE,TRUE,"tbl-plan-h02-chest-variation-shapley-gt-candidate",1,"ba91d09301b7d9e6a7a5b5c0d85643a06d116bcf9b2ea553c555bafbcffb09d9"
"H01 detailed table","supplementary","tbl-h01-primary-publication-summary.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h01-primary-publication-summary.html",TRUE,TRUE,TRUE,TRUE,"tbl-h01-primary-publication-summary",1,"ed6f48b284557044d175d17d70d7fb0e9f82c0f28cfadeb6c83338ea531908d0"
