route,area,tag,attribute,text,ref,target,fragment,xpath,line,target_exists
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H03–H11 gated workflow,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[2]/div/a,323,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[7]/ul/li[1]/div/a,340,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,317,True
audit/hypotheses/H01/H01_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,314,True
audit/hypotheses/H02/H02_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,356,True
audit/hypotheses/H03/H03_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,317,True
audit/hypotheses/H03-H11_gated_workflow.html,head,link,href,,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/head/link[1],37,True
audit/hypotheses/H03-H11_gated_workflow.html,navbar,a,href,H03–H11 gated workflow,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/header/nav/div/nav/ol/li[2]/a,90,True
audit/hypotheses/H03-H11_gated_workflow.html,sidebar,a,href,H03–H11 gated workflow,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[2]/div/a,303,True
audit/hypotheses/H03-H11_gated_workflow.html,sidebar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[7]/ul/li[1]/div/a,320,True
