"check","observed","pass"
"R_version","4.6.1",TRUE
"dispatch","45/45",TRUE
"owner_package","263/263",TRUE
"failed_command_inputs","61/61",TRUE
"exact_target_and_exit","exact; exit 1",TRUE
"sass_openKv_failure","confirmed",TRUE
"target_HTML_absent","absent",TRUE
"three_static_QMDs","no executable/inline engine cells",TRUE
"default_project_execution_disabled","confirmed",TRUE
"unsupported_cache_override","not read by installed bundle",TRUE
"normal_cache_route","user Library/Caches/quarto/sass/sass.kv",TRUE
"installed_runtime","4/4 exact; 1.9.37",TRUE
