run_id,placement,placement_label,status_order,status_id,status_label,observations_30_minute,percent_of_original_frame
activity_context__chest,chest,Chest,1,retained_v0_five_level_activity,Retained: one eligible mapped activity,36711,87.73720185459587
activity_context__glasses,glasses,Near eye,1,retained_v0_five_level_activity,Retained: one eligible mapped activity,30499,80.77921389977752
activity_context__chest,chest,Chest,2,no_matching_diary_hour,No unique containing diary hour,1170,2.7962334496438985
activity_context__glasses,glasses,Near eye,2,no_matching_diary_hour,No unique containing diary hour,968,2.5638309142917683
activity_context__chest,chest,Chest,3,all_flags_missing,All activity flags missing,290,0.6930835046125903
activity_context__glasses,glasses,Near eye,3,all_flags_missing,All activity flags missing,3594,9.519016845004767
activity_context__chest,chest,Chest,4,observed_zero_selected,No activity selected,291,0.695473447731944
activity_context__glasses,glasses,Near eye,4,observed_zero_selected,No activity selected,291,0.7707384256806865
activity_context__chest,chest,Chest,5,multiple_selected,Multiple activities selected,2124,5.076239185507385
activity_context__glasses,glasses,Near eye,5,multiple_selected,Multiple activities selected,1626,4.306600275452908
activity_context__chest,chest,Chest,6,exactly_one_other_excluded,Only unspecified other selected,1256,3.001768557908322
activity_context__glasses,glasses,Near eye,6,exactly_one_other_excluded,Only unspecified other selected,778,2.060599639792351
