check,pass_,detail
Full914 accepted public closure,True,
Exact6 candidate replacement destinations,True,
Zero additions or removals,True,
908 preserved baseline files,True,
37 reader routes,True,
35 exact non-entry reports,True,
index.html clean static IDs,True,{}
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0002
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0003
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0004
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0005
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0006
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0007
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0008
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0009
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0010
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0013
Table-scoped header,True,tbl-participant-site-manuscript--gt-0011
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0002
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0003
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0004
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0005
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0006
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0007
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0008
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0009
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0010
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0014
Table-scoped header,True,tbl-participant-site-manuscript--gt-0011
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0002
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0003
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0004
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0005
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0006
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0007
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0008
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0009
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0010
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0015
Table-scoped header,True,tbl-participant-site-manuscript--gt-0011
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0016
Table-scoped header,True,tbl-participant-site-manuscript--gt-0002
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0016
Table-scoped header,True,tbl-participant-site-manuscript--gt-0003
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0016
Table-scoped header,True,tbl-participant-site-manuscript--gt-0004
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0016
Table-scoped header,True,tbl-participant-site-manuscript--gt-0005
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0016
Table-scoped header,True,tbl-participant-site-manuscript--gt-0006
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0016
Table-scoped header,True,tbl-participant-site-manuscript--gt-0007
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0016
Table-scoped header,True,tbl-participant-site-manuscript--gt-0008
Table-scoped header,True,tbl-participant-site-manuscript--gt-0012
Table-scoped header,True,tbl-participant-site-manuscript--gt-0016
