check,pass_,detail
62 unique exact operations,True,
"47 replacements,15 retirements; corpus last",True,
Exactly899 candidate files and no symlinks,True,
No additions and exact15 retirements,True,
45 changed survivors,True,
854 byte-identical survivors,True,
Recoverable exact preimage,True,_build/nathealth/audit/H01/02_implementation_and_v0_comparison.html
Exact transition postimage or absence,True,_build/nathealth/audit/H01/02_implementation_and_v0_comparison.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation 2.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation 2.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H03-H11_gated_workflow.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H03-H11_gated_workflow.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html
Recoverable exact preimage,True,_build/nathealth/audit/hypotheses/implementation_result_comparison_contract.html
Exact transition postimage or absence,True,_build/nathealth/audit/hypotheses/implementation_result_comparison_contract.html
Recoverable exact preimage,True,_build/nathealth/index.html
Exact transition postimage or absence,True,_build/nathealth/index.html
Recoverable exact preimage,True,_build/nathealth/notebooks/descriptives 2.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/descriptives 2.html
Recoverable exact preimage,True,_build/nathealth/notebooks/descriptives.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/descriptives.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H01 2.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H01 2.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H01 3.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H01 3.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H01.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H01.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H02.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H02.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H03.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H03.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H04.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H04.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H05.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H05.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H06.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H06.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H06_daily.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H06_daily.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H07.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H07.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H08.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H08.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H09.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H09.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H10.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H10.html
Recoverable exact preimage,True,_build/nathealth/notebooks/hypotheses/H11.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/hypotheses/H11.html
Recoverable exact preimage,True,_build/nathealth/notebooks/placement_decision.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/placement_decision.html
Recoverable exact preimage,True,_build/nathealth/notebooks/preparation/01_import_state_alignment.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/preparation/01_import_state_alignment.html
Recoverable exact preimage,True,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html
Recoverable exact preimage,True,_build/nathealth/notebooks/preparation/03_reference_profiles.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/preparation/03_reference_profiles.html
Recoverable exact preimage,True,_build/nathealth/notebooks/preparation/04_metric_derivation.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/preparation/04_metric_derivation.html
Recoverable exact preimage,True,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html
Recoverable exact preimage,True,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html
Recoverable exact preimage,True,_build/nathealth/notebooks/preparation/07_example_days.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/preparation/07_example_days.html
Recoverable exact preimage,True,_build/nathealth/notebooks/preregistration_deviations.html
