domain,classification,cells,reader_classification,hard_gate_input,reporting_role
Overall H01-aligned cell status,Acceptable with limitations,468,Acceptable with limitations,TRUE,Overall classification
Visual residual review,REVIEW_LIMITATION,468,Review limitation,TRUE,Overall classification
Participant/site deletion influence,STABLE,270,Stable,FALSE,Mandatory nonblocking limitation sidecar
Participant/site deletion influence,SUBSTANTIAL_LIMITATION,128,Substantial limitation,FALSE,Mandatory nonblocking limitation sidecar
Participant/site deletion influence,UNRESOLVED_NON_ESTIMABLE_DELETION_REFIT,24,Non-estimable deletion refit,FALSE,Mandatory nonblocking limitation sidecar
Participant/site deletion influence,UNSTABLE,46,Unstable,FALSE,Mandatory nonblocking limitation sidecar
Gaussian Student-t sensitivity,NON_ESTIMABLE_SENSITIVITY,7,Non-estimable sensitivity,FALSE,Mandatory nonblocking limitation sidecar
Gaussian Student-t sensitivity,STABLE,20,Stable,FALSE,Mandatory nonblocking limitation sidecar
Gaussian Student-t sensitivity,SUBSTANTIAL_LIMITATION,2,Substantial limitation,FALSE,Mandatory nonblocking limitation sidecar
Timing Student-t sensitivity,STABLE,135,Stable,FALSE,Mandatory nonblocking limitation sidecar
Timing Student-t sensitivity,SUBSTANTIAL_LIMITATION,8,Substantial limitation,FALSE,Mandatory nonblocking limitation sidecar
Timing Student-t sensitivity,UNSTABLE,1,Unstable,FALSE,Mandatory nonblocking limitation sidecar
Mixed-model actual-date AR sidecar,ACCEPTABLE,3,Acceptable,FALSE,Mandatory nonblocking limitation sidecar
Mixed-model actual-date AR sidecar,ACCEPTABLE_REUSED_FROZEN_PRE_SLEEP_NO_NUGGET,1,Acceptable pre-sleep no-nugget sensitivity,FALSE,Mandatory nonblocking limitation sidecar
Mixed-model actual-date AR sidecar,NOT_TRIGGERED,119,Not triggered,FALSE,Mandatory nonblocking limitation sidecar
Mixed-model actual-date AR sidecar,TRIGGERED_NOT_FITTED_NON_GAUSSIAN_ROUTE,63,Triggered; no counterpart for the non-Gaussian route,FALSE,Mandatory nonblocking limitation sidecar
Mixed-model actual-date AR sidecar,UNRESOLVED_AR_NUMERICAL_FAILURE,13,Unresolved numerical failure,FALSE,Mandatory nonblocking limitation sidecar
Mixed-model actual-date AR sidecar,UNRESOLVED_AR_SINGULAR,104,Unresolved singular fit,FALSE,Mandatory nonblocking limitation sidecar
Mixed-model actual-date AR sidecar,UNRESOLVED_POST_AR_RESIDUAL_DEPENDENCE,21,Residual dependence remained,FALSE,Mandatory nonblocking limitation sidecar
Timing HC3 actual-date AR sidecar,STABLE,95,Stable,FALSE,Mandatory nonblocking limitation sidecar
Timing HC3 actual-date AR sidecar,SUBSTANTIAL_LIMITATION,7,Substantial limitation,FALSE,Mandatory nonblocking limitation sidecar
Timing HC3 actual-date AR sidecar,UNRESOLVED_NUMERICAL_FAILURE,32,Unresolved numerical failure,FALSE,Mandatory nonblocking limitation sidecar
Timing HC3 actual-date AR sidecar,UNSTABLE,10,Unstable,FALSE,Mandatory nonblocking limitation sidecar
Exact-period sensitivity,STABLE,12,Stable,FALSE,Mandatory nonblocking limitation sidecar
Exact-period sensitivity,SUBSTANTIAL_LIMITATION,6,Substantial limitation,FALSE,Mandatory nonblocking limitation sidecar
