metric,observed,expected,pass
authors_meta,28,28,TRUE
authors_body,28,28,TRUE
gt_tables,19,19,TRUE
table_header_tokens,2762,2762,TRUE
unresolved_table_headers,0,0,TRUE
figure_endpoints,20,20,TRUE
embedded_images,74,74,TRUE
main_internal_fragments,124,124,TRUE
unresolved_idrefs,0,0,TRUE
duplicate_id_values,0,0,TRUE
brown_svg_bytes,108600,108600,TRUE
brown_svg_sha256_exact,TRUE,TRUE,TRUE
docx_links,1,1,TRUE
toc_links,42,42,TRUE
script_count,20,20,TRUE
main_inner_raw_sha256,30982ebf693e4da6d2584d3db08b721c174f7209b1375a1acc309c0011d2e4d6,30982ebf693e4da6d2584d3db08b721c174f7209b1375a1acc309c0011d2e4d6,TRUE
