path,sha256,bytes,role
audit/report_harmonization/owner_orders/67a_nathealth_mobile_toc_clone_state_repair_and_h06_completion.md,4a04f727535247fb6a8ce5e54ab002d9b0f21fb78ee9d36097f27f1eac9001c4,11296,controlling_order
audit/report_harmonization/report018_navigation_order67a_dispatch_manifest.csv,53086ca8e49d1e998b0cc3b2f37b2616c98a2dd8bdb083622259da653585b174,5556,dispatch_manifest
audit/report_harmonization/report018_navigation_order67a_duplicate_id_gate_clarification.md,a8cf8f784a05d8a2eda59b24ee1cb5c7c918bb97d58ac7cbd7102539cb8fe989,2000,duplicate_id_gate_clarification
audit/report_harmonization/report018_navigation_order67a_duplicate_id_gate_clarification_manifest.csv,0887c744fd98d0718a13429e3203b76465ee201976a1b3d81a2ae44179973d82,1566,duplicate_id_gate_clarification_manifest
audit/report_harmonization/navigation_mobile_toc_collapse_repair_2026_09_02/order67a_clone_state_repair/order67a_transform_verify_promote.R,5cbbaae8a152fc4b2db38853b5258519b6646481483e6314ddede90b7abc1f16,65084,sealed_implementation_script
audit/report_harmonization/navigation_mobile_toc_collapse_repair_2026_09_02/order67a_clone_state_repair/implementation_script_seal.csv,c2fd0ed780096c6845b357107745f59533ca6c9609ebe889739e094532deac55,260,implementation_script_seal
audit/report_harmonization/navigation_mobile_toc_collapse_repair_2026_09_02/order67a_clone_state_repair/preflight_process_gate.csv,93a6ff2305cd6e3c55e3caf065169427e6f1eb4ba2a0a3b4f21743bf832c05f1,384,preflight_process_gate
audit/report_harmonization/navigation_mobile_toc_collapse_repair_2026_09_02/order67a_clone_state_repair/candidate_execution_console.txt,9caabf9aba9ef31807d0571b5ed6e3591deb7e0a190dd0be145218aae936f8cb,156,candidate_execution_console
audit/report_harmonization/navigation_mobile_toc_collapse_repair_2026_09_02/order67a_clone_state_repair/candidate_duplicate_id_diagnostic.csv,b21a20175f81af07d6aebfc61dc0c73d78c25a655fb8c411bfc5cc50632b2d92,950,duplicate_id_diagnostic
audit/report_harmonization/navigation_mobile_toc_collapse_repair_2026_09_02/order67a_clone_state_repair/candidate_verifier_stop.md,75335e487493799f4f91d88cfc801fb1ef09dc9042391eb75959f4a2df75953d,2152,candidate_verifier_stop_record
/private/tmp/nathealth-order67a.N5FZ0K/candidate_include/nathealth-mobile-toc.html,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1542,candidate_include_postimage
_includes/nathealth-mobile-toc.html,926a5fc051f032100714ae01b53c5ba2937c91ff2406ab5354484bf8fd7f553d,1388,live_include_preimage
audit/report_harmonization/phase4_corpus_manifest.csv,c42c326230818a93aa89322155b933c2f536f09bd447ab09b72f934fba75e76f,11479,live_corpus_manifest_preimage
audit/hypotheses/H06/employment_eligibility_sensitivity/order66b_result_no_rerender_completion/post_qa_build_inventory.csv,8d00db3d2a7bfe8f17526cee08027bafd83f99bb7ad0e36c73e3e46cada5f355,124510,accepted_build_inventory
