"source","line","kind","label","content"
"index.qmd",231,"figure",,"![Overview of the study. (A) Study protocol, including used instruments, light logger, and sensor positions. (B) Location of the data collection sites. (C) Timing of the data collection. Sites are arranged in decreasing latitude. (D) Distribution of photoperiod (timespan from dawn until dusk) across sites. (E) Doubleplot of average daily light exposure patterns for each site and overall (black trace)](assets/Fig1.png){#fig-overview}"
"index.qmd",233,"figure",,"![Summary table of site, data collection, and participant-specific information. Sites are arranged from left to right by decreasing latitude.](assets/tbl1_red.png){#tbl-T1}"
"index.qmd",245,"figure",,"![Summary table of adherence to recommendations for healthy light exposure according to Brown et al. Sites are arranged by latitude.](assets/Brown_table.png){#tbl-brown}"
"index.qmd",299,"figure",,"![Model results from H2, showing the decomposition of daily light exposure patterns into an average smooth of time (A), participants (B), and site (D). Combinations of time and site are shown in panel (B). Panels A, C, and D show 95% confidence intervals as ribbons, whereas each trace in panel B indicates an individual participant. Grey shaded areas indicate average nighttimes. Red traces in panel D indicate significant deviations from the average trend of time.](assets/Fig4.png){#fig-H2}"
"index.qmd",323,"figure",,"![Summary table of model results for Hypothesis 4](assets/H4.png){#tbl-H4}"
"index.qmd",335,"figure",,"![Model results from H4, showing daily light exposure patterns depending on activity and micro-environment (A), deviations from the average (B), and number of observations for a given context and time of day, e.g., the low number of sleeping participants between 12:00-20:00 (C). Panels A, and B, show 95% confidence intervals as ribbons. Grey ribbons in panel A show all other categories for direct comparison. Grey shaded rectangular areas indicate average nighttimes. Red traces in panel B indicate significant deviations from the average trend of time.](assets/Fig10.png){#fig-H4}"
"index.qmd",655,"figure",,"![Light-exposure metrics extract specific features from personal light-exposure time series. For example, time above 250 lx melanopic EDI ($TAT_{250}$) quantifies the daily duration above the recommended threshold for daytime activation and circadian synchronization. (A) Seven diverse light-exposure profiles from similar geographical locations, all German participants, shown across five days per participant. The dashed line indicates the recommended daytime threshold. (B) Boxplots of $TAT_{250}$ for each participant, illustrating pronounced intraindividual variability in some participants and relatively stable exposure patterns in others. (C) Boxplots of $TAT_{250}$ for each of the five days, showing substantial interindividual variability within days. (D) Combined participant-by-day representation of panels B and C, with circle size indicating $TAT_{250}$. This panel visualizes both interindividual and intraindividual differences.](assets/Timeseries_to_metrics.png){#suppfig-metrics}"
"index.qmd",657,"figure",,"![Model results from H3 and H4, showing predicted interaction effects for primary light source (left panels) and activity (right panels). Black dots indicate the predicted value for a given site, with 95% confidence intervals as colored bands. .](assets/Fig5.png){#suppfig-H3H4}"
"index.qmd",659,"figure",,"![Model results from H3, showing daily light exposure patterns depending on primary light source (A), deviations from the average (B), and number of observations for a given light source and time of day (C). Panels A, and B, show 95% confidence intervals as ribbons. Grey ribbons in panel A show all other categories for direct comparison. Grey shaded rectangular areas indicate average nighttimes. Red traces in panel B indicate significant deviations from the average trend of time.](assets/Fig9.png){#suppfig-H3}"
"index.qmd",661,"figure",,"![Model results from H5, showing the correlation matrix of LEBA factors by exposure metrics. Correlation coefficients and p-values are shown at every grid point. Significant values are highlighted.](assets/Fig6.png){#suppfig-H5}"
"index.qmd",663,"figure",,"![Model results from H6, showing daily light exposure patterns depending on daytype (A) and differences between work-days and free days (B). Ribbons show 95% confidence intervals. Grey shaded areas indicate average nighttimes. Red traces in panel B indicate significant differences between the two daytypes.](assets/Fig12.png){#suppfig-H6 width=""60%""}"
"index.qmd",665,"figure",,"![Model results from H7, showing the nonlinear dependency of a given metric on photoperiod (left panels, A, C, E, G, I, K), as well as the smooth derivative of the relationship (right panels, B, D, F, H, J, L). Labels of panels H and J are deliberately cut, as no plateau was reached for these metrics.](assets/Fig14.png){#suppfig-H7}"
"index.qmd",667,"figure",,"![Model results from H9, showing significantly associated timing metrics with chronotype. (A) scatter plots with linear smooths of metric value against midsleep on free days (sleep corrected) $MSF_{sc}$. (B) Distribution of $MSF_{sc}$ across sites.](assets/Fig7.png){#suppfig-H9}"
"index.qmd",669,"figure",,"![Model results from H10, showing significantly associated metrics with age. (A) scatter plot with linear smooth of metric value against age. (B) Distribution of age across sites.](assets/Fig8.png){#suppfig-H10}"
"index.qmd",671,"figure",,"![Model results from H11, showing daily light exposure patterns depending on sex (A) and differences between the sexes (B). Ribbons show 95% confidence intervals. Grey shaded areas indicate average nighttimes. Red traces in panel B indicate significant differences between the sexes.](assets/Fig13.png){#suppfig-H11 width=""60%""}"
"index.qmd",673,"figure",,"![Distribution of sampled photoperiod across sites shown as absolute latitude against photoperiod. The x-axis shows the photoperiod length as the duration from civil dawn until dusk. The white cone shows the possible range of photoperiods at a given (absolute) latitude. E.g., Kumasi (GH) has photoperiods between 12.5 and 13.3 hours in length, whereas Borås (SE) has photoperiods between 8.2 and 20.5 hours. The plot highlights the need and potential for future assessments across the available space.](assets/photoperiod_potential_ridges.png){#suppfig-phot width=""60%""}"
"index.qmd",677,"figure",,"![Summary table personal light exposure metrics for the glasses measurements. Sites are arranged from left to right by decreasing latitude.](assets/tbl2.png){#supptbl-T2}"
"index.qmd",679,"figure",,"![Model results for Hypothesis 1](assets/H1.png){#supptbl-H1}"
"index.qmd",681,"figure",,"![Summary table of $R^2$ for models in Hypothesis 1](assets/H1_R2_tbl.png){#supptbl-H1r2 width=""60%""}"
"index.qmd",683,"figure",,"![Model results for Hypothesis 3](assets/H3.png){#supptbl-H3}"
"index.qmd",685,"figure",,"![Model results for Hypothesis 6](assets/H6.png){#supptbl-H6}"
"index.qmd",687,"figure",,"![Model results for Hypothesis 8](assets/H8.png){#supptbl-H8}"
"index.qmd",689,"figure",,"![Model results for Hypothesis 9](assets/H9.png){#supptbl-H9 width=""60%""}"
"index.qmd",691,"figure",,"![Signiciant model results for Hypothesis 10](assets/H10.png){#supptbl-H10 width=""50%""}"
"notebooks/descriptives.qmd",112,"figure",,"  knitr::include_graphics("
"notebooks/descriptives.qmd",142,"table","tbl-descriptive-sample-flow","#| label: tbl-descriptive-sample-flow"
"notebooks/descriptives.qmd",143,"table",,"#| tbl-cap: ""Updated descriptive sample after each fixed coverage step."""
"notebooks/descriptives.qmd",159,"table",,"  knitr::kable(align = c(""l"", ""l"", ""r"", ""r"", ""r""))"
"notebooks/descriptives.qmd",172,"table","tbl-participant-site","#| label: tbl-participant-site"
"notebooks/descriptives.qmd",173,"table",,"#| tbl-cap: ""Participant, site, collection, sleep, chronotype, and wear characteristics using updated verified data."""
"notebooks/descriptives.qmd",189,"table","tbl-participant-site-manuscript","#| label: tbl-participant-site-manuscript"
"notebooks/descriptives.qmd",190,"table",,"#| tbl-cap: ""Submitted-manuscript Table 1 row selection reproduced with updated verified data."""
"notebooks/descriptives.qmd",236,"table","tbl-near-eye-metrics","#| label: tbl-near-eye-metrics"
"notebooks/descriptives.qmd",237,"table",,"#| tbl-cap: ""Near-eye melEDI metric distributions overall and by site using updated verified metric artifacts."""
"notebooks/descriptives.qmd",259,"figure","fig-descriptive-overview","#| label: fig-descriptive-overview"
"notebooks/descriptives.qmd",260,"figure",,"#| fig-cap: ""Study protocol, locations, collection dates, observed civil photoperiod, and the pooled main near-eye 48-hour double profile."""
"notebooks/descriptives.qmd",261,"figure",,"#| fig-alt: ""Five-panel study overview with the protocol, a world map labelled with site, country, and coordinates, roster-wide collection dates, site photoperiod distributions, and a repeated 15-minute 48-hour near-eye melEDI profile with central 50% and 90% value bands."""
"notebooks/descriptives.qmd",289,"figure","fig-near-eye-site-profiles","#| label: fig-near-eye-site-profiles"
"notebooks/descriptives.qmd",290,"figure",,"#| fig-cap: ""Pooled main near-eye melEDI profiles by site, with each 24-hour cycle repeated once."""
"notebooks/descriptives.qmd",291,"figure",,"#| fig-alt: ""Nine labelled site panels repeat pooled 15-minute near-eye 24-hour melEDI profiles across 48 hours with nested central 50%, 75%, and 95% value bands and average civil-night and sleep periods."""
"notebooks/descriptives.qmd",303,"figure","fig-chest-site-profiles","#| label: fig-chest-site-profiles"
"notebooks/descriptives.qmd",304,"figure",,"#| fig-cap: ""Complementary chest-level melEDI profiles by available site, with each 24-hour cycle repeated once."""
"notebooks/descriptives.qmd",305,"figure",,"#| fig-alt: ""Eight labelled site panels repeat complementary 15-minute chest-level 24-hour melEDI profiles across 48 hours with nested central 50%, 75%, and 95% value bands and average civil-night and sleep periods. Tübingen is absent because there are no eligible chest main days at MPI."""
"notebooks/descriptives.qmd",321,"figure","fig-near-eye-metric-distributions","#| label: fig-near-eye-metric-distributions"
"notebooks/descriptives.qmd",322,"figure",,"#| fig-cap: ""Sixteen familiar near-eye melEDI metric distributions by site."""
"notebooks/descriptives.qmd",323,"figure",,"#| fig-alt: ""A four-by-four grid of duration, dynamics, dose, level, spectrum, and circular timing metric distributions. Each panel contains labelled site ridges and white boxplots; red lines mark site medians."""
"notebooks/descriptives.qmd",339,"figure","fig-time-series-to-metrics","#| label: fig-time-series-to-metrics"
"notebooks/descriptives.qmd",340,"figure",,"#| fig-cap: ""The same seven manuscript examples link stored 30-minute near-eye melEDI series to daily duration above 250 lx during daytime."""
"notebooks/descriptives.qmd",341,"figure",,"#| fig-alt: ""Four panels connect five protocol weekdays of stored 30-minute near-eye light samples for seven fixed participants to TAT250 values calculated from those same displayed daytime samples, using participant boxplots, weekday boxplots, and a participant-by-weekday bubble grid."""
"notebooks/descriptives.qmd",365,"figure","fig-latitude-photoperiod","#| label: fig-latitude-photoperiod"
"notebooks/descriptives.qmd",366,"figure",,"#| fig-cap: ""Observed verified civil photoperiod and verified theoretical bounds by absolute latitude for main near-eye participant-days."""
"notebooks/descriptives.qmd",367,"figure",,"#| fig-alt: ""Observed civil photoperiod distributions are plotted against absolute study-site latitude for 816 main near-eye participant-days, with black ribbons marking impossible photoperiods and a registered-colour legend identifying the nine sites."""
"notebooks/descriptives.qmd",382,"table","tbl-recommendation-context","#| label: tbl-recommendation-context"
"notebooks/descriptives.qmd",383,"table",,"#| tbl-cap: ""Fractions of updated main near-eye minutes in the Brown et al. light-context ranges, with explicit denominators."""
"notebooks/descriptives.qmd",407,"table","tbl-descriptive-comparison-summary","#| label: tbl-descriptive-comparison-summary"
"notebooks/descriptives.qmd",408,"table",,"#| tbl-cap: ""Complete cell-level comparison with the earlier manuscript-generating tables."""
"notebooks/descriptives.qmd",429,"table",,"  knitr::kable(align = c(""l"", ""l"", ""r""))"
"notebooks/descriptives.qmd",464,"table","tbl-descriptive-visual-export-comparison","#| label: tbl-descriptive-visual-export-comparison"
"notebooks/descriptives.qmd",465,"table",,"#| tbl-cap: ""Original and rebuilt visual exports available for side-by-side comparison."""
"notebooks/descriptives.qmd",479,"table",,"  knitr::kable(align = c(""l"", ""l"", ""l"", ""l"", ""r"", ""r""))"
"notebooks/descriptives.qmd",516,"table","tbl-descriptive-figure-contract","#| label: tbl-descriptive-figure-contract"
"notebooks/descriptives.qmd",517,"table",,"#| tbl-cap: ""Deterministic dimensions and formats for the replicated descriptive figures."""
"notebooks/descriptives.qmd",543,"table",,"  knitr::kable("
"notebooks/preparation/01_import_state_alignment.qmd",67,"table",,"  output <- gt::gt(data, groupname_col = groupname_col) |>"
"notebooks/preparation/01_import_state_alignment.qmd",618,"figure",,"%%| fig-cap: ""Position of Preparation 01 in the data-to-analysis chain. The report reads the stored outputs of these operations but does not execute them."""
"notebooks/preparation/01_import_state_alignment.qmd",619,"figure",,"%%| fig-alt: ""Flow diagram from fixed site releases through source-identity checks, one-minute aggregation, sleep and wear interval preparation, and state alignment to the one-minute files used for coverage assessment in Preparation 02."""
"notebooks/preparation/01_import_state_alignment.qmd",639,"table","tbl-preparation01-source-identity","#| label: tbl-preparation01-source-identity"
