"source","category","in_code","occurrences"
"_deviations.qmd","deviation",FALSE,1
"audit/hypotheses/H02/H02_analysis_preparation.qmd","deviation",FALSE,1
"audit/hypotheses/H03-H11_gated_workflow.qmd","deviation",FALSE,5
"audit/hypotheses/H03/H03_analysis_preparation.qmd","deviation",FALSE,4
"audit/hypotheses/H04/H04_analysis_preparation.qmd","deviation",FALSE,2
"audit/hypotheses/H05/H05_analysis_preparation.qmd","deviation",FALSE,2
"audit/hypotheses/H06/H06_analysis_preparation.qmd","deviation",FALSE,1
"audit/hypotheses/H07/H07_analysis_preparation.qmd","deviation",FALSE,1
"audit/hypotheses/H10/H10_analysis_preparation.qmd","deviation",FALSE,2
"audit/hypotheses/H11/H11_analysis_preparation.qmd","deviation",FALSE,8
"audit/hypotheses/implementation_result_comparison_contract.qmd","deviation",FALSE,4
"index.qmd","deviation",FALSE,14
"notebooks/hypotheses/H01.qmd","deviation",FALSE,6
"notebooks/hypotheses/H02.qmd","deviation",FALSE,5
"notebooks/hypotheses/H03.qmd","deviation",FALSE,11
"notebooks/hypotheses/H04.qmd","deviation",FALSE,9
"notebooks/hypotheses/H05.qmd","deviation",FALSE,3
"notebooks/hypotheses/H06.qmd","deviation",FALSE,3
"notebooks/hypotheses/H07.qmd","deviation",FALSE,1
"notebooks/hypotheses/H08.qmd","deviation",FALSE,1
"notebooks/hypotheses/H09.qmd","deviation",FALSE,1
"notebooks/hypotheses/H10.qmd","deviation",FALSE,1
"notebooks/hypotheses/H11.qmd","deviation",FALSE,7
"notebooks/preparation/02_coverage_sample_flow.qmd","deviation",FALSE,1
"notebooks/preparation/06_model_ready_datasets.qmd","deviation",FALSE,1
"supplementary_information.qmd","deviation",FALSE,3
"audit/hypotheses/H01/H01_analysis_preparation.qmd","internal_workflow",FALSE,19
"audit/hypotheses/H02/H02_analysis_preparation.qmd","internal_workflow",FALSE,20
"audit/hypotheses/H03-H11_gated_workflow.qmd","internal_workflow",FALSE,77
"audit/hypotheses/H03/H03_analysis_preparation.qmd","internal_workflow",FALSE,21
