"document","table_count","native_gt_static","source_contract_complete","backend_markup","local_assertion","main_table_count","supplementary_table_count","nonconforming_labels","unproven_native_gt","prohibited_output_labels"
"Descriptives",8,8,8,0,4,1,7,"","",""
"H01",36,36,36,0,0,1,35,"","",""
"H02",15,15,15,0,0,1,14,"","",""
"H03",13,13,13,1,0,1,12,"","",""
"H04",15,15,15,1,0,1,14,"","",""
"H05",30,30,30,0,0,2,28,"","",""
"H06",11,11,11,1,0,1,10,"","",""
"H07",11,11,11,1,0,1,10,"","",""
"H08",15,15,15,0,1,1,14,"","",""
"H09",11,11,11,0,0,1,10,"","",""
"H10",15,15,15,0,0,1,14,"","",""
"H11",15,15,15,0,0,1,14,"","",""
