role,path,sha256,bytes,note
control_or_pin,audit/report_harmonization/owner_orders/31a_h01_result_existing_html_semantic_visual_qa.md,cca90345dcbc6db724b25859aad99641d5599a108d7142d952363505063138d5,6456,order 31a control or preserved identity
control_or_pin,notebooks/hypotheses/H01.qmd,5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9,90547,order 31a control or preserved identity
control_or_pin,audit/hypotheses/H01/H01_analysis_preparation.qmd,962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8,54405,order 31a control or preserved identity
control_or_pin,artifacts/12_manifests/H01_reporting_artifacts.csv,54b9b062a949c7aa0c4949a068670cd8b65ef65c8d785aeb71ba4167057aa676,11054,order 31a control or preserved identity
control_or_pin,artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,684046903baae35c8cf624bd3d0b317f0bdd5a31daf548d520a5ca759d7b43d8,22735,order 31a control or preserved identity
control_or_pin,tests/hypotheses/H01/test_h01_reporting_inputs.R,6e7b4de5a6580d95c81656f953e24a65743c6af5bf940eb1ce3ef628fc041f83,19445,order 31a control or preserved identity
control_or_pin,_quarto-nathealth.yml,5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565,7404,order 31a control or preserved identity
control_or_pin,_build/nathealth/notebooks/hypotheses/H01.html,ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72,1371249,order 31a control or preserved identity
control_or_pin,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,order 31a control or preserved identity
control_or_pin,scripts/report_harmonization/build_phase4_corpus_manifest.R,c01f0dc86e25bcf4a37685515cd692e2007774a004a4e902eac5936521749e2e,7282,order 31a control or preserved identity
control_or_pin,tests/report_harmonization/test_navigation_contract.R,1ba59346328e8e4fb2aa898c5806313763711867514097969f5e4df1c22d3407,922,order 31a control or preserved identity
control_or_pin,tests/report_harmonization/test_reader_links.R,3b4164069b36493a643886d87065cffd1b5ca644854d4e3be12db0ac9e8aee21,10233,order 31a control or preserved identity
control_or_pin,tests/report_harmonization/test_country_coded_site_names.R,aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b,3490,order 31a control or preserved identity
control_or_pin,audit/report_harmonization/phase4_corpus_manifest.csv,52baecfc4d40288cf26cbe259115abddb72f749eae7e538eebafae97ced6aafb,11872,order 31a control or preserved identity
control_or_pin,audit/report_harmonization/report017_h06_daily_corpus_contract_repair_independent_acceptance.md,bf93932680e890243566d8229d6c897b4953cbea14eb830df4392cb65ec77975,3852,order 31a control or preserved identity
control_or_pin,audit/report_harmonization/report017_h06_daily_corpus_contract_repair_independent_acceptance_manifest.csv,a1e0b5cf2b93777dc51c8e306a02be7229cab98ea9a35086efe02b25323cb168,1940,order 31a control or preserved identity
control_or_pin,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,order 31a control or preserved identity
owner_evidence,audit/report_harmonization/report017_h01_order31_result_render/build_delta_postrender.csv,c32b8c302a9c4a15d28625910f4e7947fdd2e0ddaff67387bd6d3b59e28fe184,7715,order 31 and 31a retained evidence
owner_evidence,audit/report_harmonization/report017_h01_order31_result_render/build_inventory_post31a_failure.csv,1ce713e46c98b267d90f08dbb629c2db1c37bbd293e2607403d0779ffb3ea762,171516,order 31 and 31a retained evidence
