check,observed,expected,status
owner_stop_record_sha256,6012e1c2d6c5b664bc17968172e196ff80f9567553d099690afcb4402414bb90,6012e1c2d6c5b664bc17968172e196ff80f9567553d099690afcb4402414bb90,PASS
owner_stop_manifest_sha256,05b44c9e852334e191a766ef784767f3197c603a5713e30f55e852a0580b9443,05b44c9e852334e191a766ef784767f3197c603a5713e30f55e852a0580b9443,PASS
owner_stop_manifest_rows,63,63,PASS
current_display_test_sha256,dcd3e62574a493d18733a9cb50eb6eb9d7493f8ac7bbb27918dc6535dcd1a603,dcd3e62574a493d18733a9cb50eb6eb9d7493f8ac7bbb27918dc6535dcd1a603,PASS
current_display_test_bytes,8224,8224,PASS
recovered_display_test_sha256,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,PASS
recovered_display_test_bytes,6747,6747,PASS
reporting_manifest_mismatches,0,0,PASS
stage3_manifest_mismatches,8,8,PASS
worker_manifest_mismatches,11,11,PASS
dedicated_order32g_display_test,PASS,PASS,PASS
simulated_historical_core_mapping_test,PASS,PASS,PASS
simulated_reporting_test_after_direct_reseal,PASS,PASS,PASS
simulated_REPORT016_test_after_six_figure_classification,PASS,PASS,PASS
preparation_source_only_test,PASS,PASS,PASS
