path,sha256,bytes,role
audit/report_harmonization/report017_h05_consolidated_full_document_audit.md,c27b15a29fc56142419dda2f2d5ecb860ad18775a67096fdffe857eb00e7932d,15772,complete read-only H05 audit
audit/report_harmonization/report017_h05_consolidated_change_matrix.csv,5edf51a846e2d187bb76a534e4fe533b7e551c929f9fbf659fb8362b88f625b7,11780,complete H05 change matrix
audit/report_harmonization/owner_orders/36_h05_consolidated_reader_and_companion_rewrite.md,8b6f6cd056106ac0836edab81e5f1db49674642c22608e5ef7d965c764bcc560,19645,consolidated H05 owner order
audit/report_harmonization/report017_consolidated_document_pass_protocol.md,13b5bb6708e0b044117a48f9577026e57896a935aed58f6b512948a828fe6923,3839,consolidated-pass protocol
notebooks/hypotheses/H05.qmd,b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c,70979,accepted result source at audit
audit/hypotheses/H05/H05_analysis_preparation.qmd,f7d7d3ef4bdf9b29403e85592b7dd2737f7e3c9dcfdc0ff7275eeefa7735c28f,74171,accepted companion source at audit
audit/handoffs/H05_stage4_handoff.md,896205d9b7f0403e7cb70023ebb392526e58a30825c4d2b151488098602018b4,14619,current H05 owner handoff
tests/hypotheses/H05/test_h05_stage2.R,76008cadabc573005f4833c21494a61f034ff376ea6ef92612691e2694bbb1b7,17076,accepted Stage 2 scientific test
tests/hypotheses/H05/test_h05_stage3_reader_report.R,982162ccbd55def924beff3fbb0e98d31a94884aeb8cc683f817189e1171d4f4,30898,accepted render-coupled result test
tests/hypotheses/H05/test_h05_preparation_report.R,ec738f56fb8b3cf94755fd5055d128d1a22bcc31a435554568aaa15acf78890e,15264,accepted render-coupled companion test
artifacts/12_manifests/H05/H05_stage2_artifacts.csv,09363abf0557646870d0752f08b00f42013deec471a1ea97067c2333a1a811cc,15631,accepted current Stage 2 manifest
artifacts/12_manifests/H05/H05_stage3_artifacts.csv,9dabc70a0ab6554a0b4d9dbc175cd4009b1f57a57c975cb4677b45ead2620100,42166,historical Stage 3 render manifest
artifacts/12_manifests/H05/H05_preparation_report_manifest.csv,bd4ae8ac8516e961d1c4a37b1c18d3262376cd27ba0ed9611b7b60d167059c36,34048,historical companion render manifest
_build/nathealth/notebooks/hypotheses/H05.html,58be9b4da8bb67a4322af7096472de1bf97c47d17c79f39078692577a2788b96,573311,stale result HTML context
_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,c44f4f77f4e2295f6b265ed9505c3c560361a7280562dd9ce1afce73149d5866,839152,stale companion HTML context
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,shared profile context
notebooks/preregistration_deviations.qmd,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,94061,central deviation page
config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,country-coded site registry
audit/report_harmonization/phase2_main_supplement_output_catalog.csv,43110e4f20a4e9d6257351fad4905c08587f85a28aa27d2a932b0d33b88b6894,165132,provisional output-role catalog
artifacts/10_figures/H05/H05_reader_near_eye_effects.png,70c1013d51f7619fafe0d38664db7dcf55692990993098948ed443e83c35e1a5,487117,provisional main H05 figure
artifacts/10_figures/H05/H05_reader_near_eye_adequacy.png,a457fda5dfb9025f21b72daab52c3e5338ba1657f7183ad4726ddd9b57561edf,306686,supplemental model-check figure
artifacts/10_figures/H05/H05_reader_paired_placement_effects.png,b30291d1c1f483202b6b3303045a760e03ef43b1fdf18a36a525543b1a387774,240045,supplemental paired-placement figure
artifacts/11_source_data/H05/H05_reader_near_eye_effect_figure_data.csv,e563514cfac059a284d0c38ad733bef708f92ba13fec6686e0aa07804e835ec1,66722,main figure source data
artifacts/11_source_data/H05/H05_reader_near_eye_results.csv,501e3d15df42902063a411f2bf7f823c96ff46ca130d09768024ba5cd60210da,48531,main result source data
artifacts/11_source_data/H05/H05_reader_near_eye_samples.csv,5cd4b570980d6a48deb18ae777abadf7aa092c739db84532e2840aa8f583837d,1622,near-eye sample source data
artifacts/11_source_data/H05/H05_paired_effect_comparison_data.csv,fd1a9c8ed252a795d88a68990bd023137b48a1d0956768a850fde65f572afa01,58014,paired-placement source data
scripts/hypotheses/H05/build_h05_reader_artifacts.R,7cecc2ec14b23085c50da300f04a1506f161df755e21ff636ed92ac1a84a6177,23678,accepted reader-display builder
