path,sha256,bytes,role
audit/report_harmonization/report017_h06_order37_defect_disposition.md,fd899f6cac9d500f0594f5e220a796d8610548e9fa88edd364509582ff5f77e2,4781,complete independent 17-defect disposition
audit/report_harmonization/owner_orders/37a_h06_consolidated_source_verifier_correction.md,54d16c182c0ead280f66f7e89fdbf23b8f337dd4367cd713dc2782b1573282bd,7596,controlling consolidated follow-up order
notebooks/hypotheses/H06.qmd,938f1a253bffefa99947783dc1ae4c739f92ad82fb224a4d8626d91bcebea061,60541,stopped result source
audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,unchanged companion source
audit/handoffs/H06_worker_handoff.md,5bf8dc5a5ee0a27f15edeceef1aaac7d10fd3d0bbf1895517fea8451cdea99a3,10408,stopped source-only handoff
tests/hypotheses/H06/test_h06_report017_source_harmonization.R,310ed0ad584746d9961565d3eaa0f974feb103a8e4ff808d7c612233744027a7,44613,historical stopped verifier
audit/hypotheses/H06/report017_order37/bounded_audit.md,a5aff4e753004786747103e1cb9b410afaae267f57e9b74fa3b7bcad81a13bd9,3708,historical bounded audit
audit/hypotheses/H06/report017_order37/exact_source_diff.patch,a4f676fe588fdd72f76081244129ba032908ca7d37683776fa2411f8ae1c485a,80465,historical exact source diff
audit/hypotheses/H06/report017_order37/reverse_proof.md,4ab654f9d912ec6ea385fe82f865269cbc5b0b6d21768f2affb6143098de8ed4,1026,historical reverse proof
audit/hypotheses/H06/report017_order37/protected_inventory.csv,20fc307e6513da8fea7296e0e97fe968d39ac2d76b0618101e167eba2ada9d23,13037,historical protected inventory
audit/hypotheses/H06/report017_order37/stored_figure_inventory.csv,523487a269a3667d76e11c0f0b8e55341ae36065e917414879e80ac54617ada2,1412,historical deferred figure inventory
audit/hypotheses/H06/report017_order37/editorial_allow_list.csv,1d87a8eabe7b8e7e2e90decc8897438310f5ed6224a200ac39489ccc1abbe266,1858,historical editorial allow-list
audit/hypotheses/H06/report017_order37/package_versions.csv,f9ee302df3c59a61f9812678914638e9c820057bf6efa406e300fc05b7d7652c,406,historical package versions
audit/hypotheses/H06/report017_order37/defect_list.csv,77fc09318e3ac59925ccf78d82b4124c72666d8122db5c61a7b01c3e16d5cba1,1780,controlling stopped defect list
audit/hypotheses/H06/report017_order37/execution_record.md,8b9c3d8fd99b003e58bfdc332ab898d607db48ff228d4f8022b90beb247f9cec,769,controlling stopped execution record
audit/hypotheses/H06/report017_order37/order37_source_manifest.csv,0e23747f117c303be4ad72caa81276c6129b1e3a24ef4f20e9d566c1a3ef72d0,15027,historical 93-row non-circular source manifest
