role,path,sha256,bytes,note
accepted_source,notebooks/descriptives.qmd,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,25629,unchanged accepted reader source
dispatch_config,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,unchanged Nature Health profile
reader_formatter,scripts/descriptives/build_publication_tables.R,3b75ff59af4ddb0d8f74c905f60e06539c2a8490cf29f4fa44ac74c524895834,28195,accepted five-literal reader correction
rendered_html,_build/nathealth/notebooks/descriptives.html,51c674b3a416e3d5dda4c0f86c7e46818f8ae94fa052c0f060f5cd56821c4ffd,2262269,R 4.6.1 and Quarto 1.9.37 target render
render_support,_build/nathealth/search.json,797b7ffd3f0c002d9b9327ffe539a3846fe80508abf5c279e1232feb42b3310a,1536363,refreshed search index
render_support,_build/nathealth/sitemap.xml,81225707d58d848986845a332ae62e15485681f1afce1c06da39b589d3a9107c,5219,refreshed sitemap
main_figure,artifacts/10_figures/descriptives/descriptive_overview.png,97c4e60318a9e0733da44a97cc8bd176ac4ebc85c4e41bdd40d900b32fca7248,2540471,unchanged accepted main figure
main_table_data,artifacts/09_tables/descriptives/participant_site_characteristics_replica.csv,15241f6b6302113a9b34d0a975c2e07b3d0e7964e440f444f49c4e70e2e1b82c,38458,unchanged accepted main-table values
stored_table_preview,artifacts/09_tables/descriptives/participant_site_characteristics_replica.png,875164c74f784554cc6878c330bf2df5c723325e99c1d92200ca4f848c840582,1171348,unchanged pre-correction preview; not regenerated
focused_test,tests/report_harmonization/test_descriptives_render.R,58c71f9220207825071883fe7436a9cb5dcfb33ea015eafcf2301096c24b858d,6295,resolution-aware HTML acceptance contract
corpus_manifest,audit/report_harmonization/phase4_corpus_manifest.csv,5ef78c0ce704dc66d916206f6acd38473b52e45dfba5cd43335cb19da6286b23,11198,35 accepted sources and current Descriptives HTML identity
startup_record,audit/report_harmonization/report017_environment_startup_repair_verification.md,2b8a24115ce9e187abcf57f0f9b52d643c917db57d2cd8d08f3d65e96983f249,6522,passed normal-profile startup gate
