scope_root,path,bytes,sha256,role
central,audit/report_harmonization/owner_orders/65_brown_stage3_window_label_and_ba_m_display_repair.md,6187,497aa2f1ece654f908f2b58abfaf04f4887a7af0da81b183ea582fd4a8f9cef5,stopped parent order
central,audit/report_harmonization/owner_orders/65a_brown_stage3_window_label_formatter_scope_continuation.md,8090,9636ddd68cdedfaa42460a442e04db42aa45ce5673d68fd183b994a112018d42,final continuation order
central,scripts/report_harmonization/check_brown_order65a_continuation_preflight.R,8232,82a206bbedcb3ff00cb192535e93cc4a94f3b26a0e6613da44be29ad6d72f3a7,non-mutating R 4.6.1 continuation preflight
central,audit/report_harmonization/report018_brown_order65a_dispatch.md,1963,5043e42882129f570cb2a3d876a04cb14cc229b90e18bb95772abd73277e3b28,dispatch record
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/stop_manifest.csv,5355,89278456eff14714825b9499b6e11672f1bfe3f4b3e22576db2e64ffa7abcfe8,28-row stopped seal
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/owner_handoff.md,1058,babe718df516f586e6257dcbcf1836df21c1eb72dbdb675dd13d8c03a3a5ae45,owner stop handoff
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/consolidated_defect_list.md,1924,234f5d616ed7ed247ee9f5a9c3cbb249baec3ebccfa15261d6e894f109bcd8ee,formatter-scope defect
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/source_transition_verification.csv,2516,8afe6c9d1297a812bfbadb29fcb647d5efb8d00734d154360c2e63d1ed27e7db,six exact source transitions
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/asset_preservation_verification.csv,3915,cd0f2e4d6bc5ebca0ee104389cb267a836441fcf055118ee8514fd7e7da08153,ten unchanged figure endpoints
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/protected_endpoint_verification.csv,812,395233aa93b513b7cae02a61faf4566e3fa65c9954627e0815946a6f55169ebb,four protected endpoints
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/formatter_scope_diagnostics.csv,890,d75ac9ae30b0a60a20ec58658b0ed4c9a6b3b8b2acce77c760077574642b1ab5,legacy formatter classification
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/stop_checks.csv,578,448e4414c19d7a7b2f3ea07d4288c1c82a762ee93acc7243be026e959582269c,fail-closed checks
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair/01_refresh_window_label_figures.R,25817,d9cf082cdd2ec09bb1b5b60133cf5ce928962f4fbb41a52097859150b5939bc5,unchanged dedicated refresh
