"role","path","sha256","bytes"
"owner_order","audit/report_harmonization/owner_orders/45c_h05_companion_no_render_visual_acceptance.md","ae238dce5419cd7d90ee5b04e57b3d406ecc37cc23f8ccb3e01ee9f86893e5ed",3517
"accepted_order45b_stop","audit/report_harmonization/report018_h05_order45b_test_stop_independent_acceptance.md","d460ecbdb625b40488900c31c96eabb7f7227a5dac12d0ee650d3ca3c5a2e9c3",2753
"accepted_order45b_stop","audit/report_harmonization/report018_h05_order45b_test_stop_acceptance_manifest.csv","9a78b7cfa820b3c1760d5289c966c2a34e20f47ff9d5a7894b54e7fed9dc5b76",2488
"accepted_order45b_stop","audit/hypotheses/H05/report018_order45b_companion_render/order45b_stopped_state.md","a7c6839c4cec431dd6a956a82aff7548bf50e0c61ccac4b82999a8348e7864d6",4579
"accepted_order45b_stop","audit/hypotheses/H05/report018_order45b_companion_render/owner_evidence_manifest.csv","33f0fe8bb0de17b0ccf9c89d216fe8b5b273337e965888302fce4e4799af239c",7477
"accepted_order45b_stop","audit/hypotheses/H05/report018_order45b_companion_render/build_inventory_postrender.csv","fc5b883724477532baa2697eb94864c53e26991a2f49b34cc3a43dc2ebb9fe11",141429
"accepted_order45b_stop","audit/hypotheses/H05/report018_order45b_companion_render/protected_inventory_postrender.csv","9a7fc2f8699abf6e75f25d1042263cb7f3d3f250eae23393f72cc69cf0409871",25708
"accepted_order45b_stop","audit/hypotheses/H05/report018_order45b_companion_render/gt_html_semantic_post_render_summary.csv","1d1b02be2c3ee2ada3d563b51bf7d6702212b4072404eb8a4551330f6b0e4f4c",499
"accepted_order45b_stop","audit/hypotheses/H05/report018_order45b_companion_render/gt_semantic_ledger.csv","7de75179be2f187d646077f94879fd45817e7177b32323b9852452f3b1f91f52",303411
"companion_source","audit/hypotheses/H05/H05_analysis_preparation.qmd","843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811",77823
"build_source_copy","_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.qmd","843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811",77823
"fresh_companion_html","_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html","856dbd21920b65dce6437172022d0e6130410d9e357259a4d50aa1f6fe2461d8",926928
"preparation_manifest","artifacts/12_manifests/H05/H05_preparation_report_manifest.csv","49ab691f8d86852ec034ed49ffa773032c3acdf3312d7fef5de7849c9ff07d80",34269
"accepted_result_source","notebooks/hypotheses/H05.qmd","7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0",74309
"accepted_result_html","_build/nathealth/notebooks/hypotheses/H05.html","a088e105be1987508280e91b938142773c8fb9275f1e924ac1ec9958a9b199f1",640855
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480
"unchanged_helper","scripts/hypotheses/H05/build_h05_preparation_report_manifest.R","722659aaf622c6f841c52de1cb08720da1cf8177b9906c0afcddb1d903ea0b96",8729
"deferred_unchanged_test","tests/hypotheses/H05/test_h05_preparation_report.R","ec738f56fb8b3cf94755fd5055d128d1a22bcc31a435554568aaa15acf78890e",15264
"coordination_evidence","audit/report_harmonization/coordination_matrix.csv","bd6b9c7bc79f72a13f2503d050daad6c6cde21baa6cd70fff2a3aa7ff3e57836",26541
