check,observed,expected,status
owner manifest shape,rows=118 unique=TRUE non_circular=TRUE,rows=118 unique=TRUE non_circular=TRUE,PASS
owner manifest identities,118/118 exact,118/118 exact,PASS
fixed accepted identities,13/13 exact,13/13 exact,PASS
single environment retry,rows=1 attempt=1 exit=0 profile=nathealth,rows=1 attempt=1 exit=0 profile=nathealth,PASS
user-owned Sass cache,rows=25 exact=25,rows=25 exact=25,PASS
semantic summary,tables=11 ids=54 headers=505 total=559,tables=11 ids=54 headers=505 total=559,PASS
semantic ledger and reversal,ledger=559 reverse=6/6,ledger=559 reverse=6/6,PASS
independent HTML semantics,main=1 ids=142 duplicates=0 tables=11 headers=505,main=1 duplicates=0 tables=11 headers=505,PASS
table and figure endpoints,tables=11/11 figures=4/4,tables=11/11 figures=4/4,PASS
reader and link contracts,nonvisual=16/16 links=21/21,nonvisual=16/16 links=all,PASS
visual QA evidence,domains=9/9 screenshots=38,domains=9/9 screenshots=exact,PASS
build and protected reconciliation,build=851 protected=275,build=851 protected=275,PASS
source and display preservation,source=9/9 display=17/17,source=9/9 display=17/17,PASS
loopback teardown,lifecycle=2/2 remaining=0,lifecycle=2/2 remaining=0,PASS
