"frame_id","placement","sample_scenario","metric_id","instrument_id","current_rows","stored_rows","current_row_key_hash","stored_row_key_hash","current_model_frame_hash","stored_model_frame_hash","rows_exact","row_keys_exact","model_values_exact","complete_frame_exact","status"
"gap__glasses__all_available__first_timing_above_250__MCTQ","glasses","all_available","first_timing_above_250","MCTQ",772,772,"4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa","4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa","62146ec5d24f500ba67ebc851b9f2572c0b2ebb694573ee2c7cd3c11efbe8b76","62146ec5d24f500ba67ebc851b9f2572c0b2ebb694573ee2c7cd3c11efbe8b76",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__first_timing_above_250__MEQ","glasses","all_available","first_timing_above_250","MEQ",778,778,"524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a","524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a","ddcffaab842891bb0d26bb0e75f2f3c372b6a055b24bbb3c399ce32602ec8420","ddcffaab842891bb0d26bb0e75f2f3c372b6a055b24bbb3c399ce32602ec8420",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__l10_midpoint__MCTQ","glasses","all_available","l10_midpoint","MCTQ",805,805,"46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675","46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675","d76e3f45b71fdb3c53bd7ad928f90f5d75864c9653907d9d2933f9e01ec325ba","d76e3f45b71fdb3c53bd7ad928f90f5d75864c9653907d9d2933f9e01ec325ba",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__l10_midpoint__MEQ","glasses","all_available","l10_midpoint","MEQ",811,811,"e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b","e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b","1934b45764f2504490de4ef9ac77bc6991590be78f7fd220b33819238b107bcd","1934b45764f2504490de4ef9ac77bc6991590be78f7fd220b33819238b107bcd",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__last_timing_above_250__MCTQ","glasses","all_available","last_timing_above_250","MCTQ",772,772,"4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa","4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa","0b804d7d5eaf05ae5f089df0f88416f4558e636cef191aff14b10dd39cbce4db","0b804d7d5eaf05ae5f089df0f88416f4558e636cef191aff14b10dd39cbce4db",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__last_timing_above_250__MEQ","glasses","all_available","last_timing_above_250","MEQ",778,778,"524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a","524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a","2ffec528233b8e5bcafb4288ec30e5eba2ab0943dc8af2e24fa4b355d1b1c657","2ffec528233b8e5bcafb4288ec30e5eba2ab0943dc8af2e24fa4b355d1b1c657",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__m10_midpoint__MCTQ","glasses","all_available","m10_midpoint","MCTQ",805,805,"46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675","46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675","5f22eeefa3f2cfa98e16ae8e2652d639b6654b28dd6622eb8a0aef908f56c126","5f22eeefa3f2cfa98e16ae8e2652d639b6654b28dd6622eb8a0aef908f56c126",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__m10_midpoint__MEQ","glasses","all_available","m10_midpoint","MEQ",811,811,"e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b","e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b","805fea91d892cf1883e376ced9bd160263ae2cf03835716b725e0a3e40d976db","805fea91d892cf1883e376ced9bd160263ae2cf03835716b725e0a3e40d976db",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__mean_timing_above_250__MCTQ","glasses","all_available","mean_timing_above_250","MCTQ",772,772,"4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa","4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa","419fb264e39d309575125cdc964ca235d3c6f8a9faa22d450d8ce2dd1659a811","419fb264e39d309575125cdc964ca235d3c6f8a9faa22d450d8ce2dd1659a811",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__all_available__mean_timing_above_250__MEQ","glasses","all_available","mean_timing_above_250","MEQ",778,778,"524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a","524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a","7b931e44020ac4410aca168ccd502fbbe895c14f9668ec9effe5a919d3c08053","7b931e44020ac4410aca168ccd502fbbe895c14f9668ec9effe5a919d3c08053",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__all_available__first_timing_above_250__MCTQ","chest","all_available","first_timing_above_250","MCTQ",861,861,"925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd","925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd","e70cd1329126f446919bdcd77a7ff579ee58676b9fb6b454ff316fb0b4e8d8cb","e70cd1329126f446919bdcd77a7ff579ee58676b9fb6b454ff316fb0b4e8d8cb",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__all_available__first_timing_above_250__MEQ","chest","all_available","first_timing_above_250","MEQ",867,867,"7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818","7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818","ef5c05a0a7c07dd95a236aa7956ea89a0c7a74b26da4fa1d5b15d4681a800ec4","ef5c05a0a7c07dd95a236aa7956ea89a0c7a74b26da4fa1d5b15d4681a800ec4",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__all_available__l10_midpoint__MCTQ","chest","all_available","l10_midpoint","MCTQ",891,891,"24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24","24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24","d2f0c70cfbf14b45d87faabacd4066c412858656d6a2068fb817cadc24780328","d2f0c70cfbf14b45d87faabacd4066c412858656d6a2068fb817cadc24780328",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__all_available__l10_midpoint__MEQ","chest","all_available","l10_midpoint","MEQ",897,897,"8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426","8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426","99f7dad96efb467b4468ab109d71d586637d71ce4ec63ead298542b6dea38a87","99f7dad96efb467b4468ab109d71d586637d71ce4ec63ead298542b6dea38a87",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__all_available__last_timing_above_250__MCTQ","chest","all_available","last_timing_above_250","MCTQ",861,861,"925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd","925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd","e067ad1bc24a30a869f810927557c68e74006449d282fe7a85f7d495dcbd3c6b","e067ad1bc24a30a869f810927557c68e74006449d282fe7a85f7d495dcbd3c6b",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__all_available__last_timing_above_250__MEQ","chest","all_available","last_timing_above_250","MEQ",867,867,"7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818","7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818","117b4d674696a6a31d9caa62c58ab8dcdd6b3ef12831d213511275ee26f449e1","117b4d674696a6a31d9caa62c58ab8dcdd6b3ef12831d213511275ee26f449e1",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__all_available__m10_midpoint__MCTQ","chest","all_available","m10_midpoint","MCTQ",891,891,"24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24","24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24","4009045708e1a9eaa1c0d6ea3a1ef548242277c1bed9f1555ec2f9dad6016dc9","4009045708e1a9eaa1c0d6ea3a1ef548242277c1bed9f1555ec2f9dad6016dc9",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__all_available__m10_midpoint__MEQ","chest","all_available","m10_midpoint","MEQ",897,897,"8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426","8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426","6b18aa0e65acc05802f2bab1aa4f2a7d9c759b63b9ddf467bdf3183cd3d4435f","6b18aa0e65acc05802f2bab1aa4f2a7d9c759b63b9ddf467bdf3183cd3d4435f",TRUE,TRUE,TRUE,TRUE,"PASS"
