"domain","check","observed","expected","status"
"identity","owner fail-closed record","87f92fe75d8c7378275ec5a51147ae580166f1ebc228ce7ae59f98adc09b3bd4/5195","87f92fe75d8c7378275ec5a51147ae580166f1ebc228ce7ae59f98adc09b3bd4/5195","PASS"
"identity","owner non-circular manifest","8090069f94b1cf891fd7644c53f161ab11ec7958be21c7d86a1293974e13b63c/19010","8090069f94b1cf891fd7644c53f161ab11ec7958be21c7d86a1293974e13b63c/19010","PASS"
"identity","owner fail-closed verifier","b3e3c47b095ef4c3a5e8c33d064f9e77d03b8ff9a3da0f29289fde15dee78df0/20266","b3e3c47b095ef4c3a5e8c33d064f9e77d03b8ff9a3da0f29289fde15dee78df0/20266","PASS"
"owner stop","63-row owner evidence manifest","63/63","63/63 exact, unique, non-circular","PASS"
"invocations","one render and helper; no retry, post verifier, or browser","1/1/1/0/0","1/1/1/0/0","PASS"
"identity","current rendered and protected pins","12/12","12/12","PASS"
"preparation manifest","current helper output","553/553","553/553 live-exact, unique, non-circular","PASS"
"preparation manifest","pre-render to post-helper membership transition","535/2/17/16","535 unchanged/2 target changes/17 removed/16 added","PASS"
"canonical output","historical support maps byte-for-byte to canonical support","16/16; source HTML absent=TRUE","16/16; TRUE","PASS"
"build","exact target-owned render transition","851/871/4/20","851/871/4/20 with zero missing","PASS"
"semantics","raw reversal, reapplication, IDs, and scoped header tokens","19/102/591/693/831","19/102/591/693/831","PASS"
"semantics","three additional substitutions localized to accepted table shapes","tbl-h09-prep-key-output-identities:-3|tbl-h09-prep-reader-manifest-check:6","key-output:-3|reader-manifest:+6","PASS"
"DOM","endpoints, captions, alt text, clean HTML, and privacy","19/1/1/0/0","19/1/1/0/0","PASS"
"links","source targets and rendered local links","23/22/25/25","23/22/25/25","PASS"
"source replay","all remaining executable companion logic","22 chunks; 87+19 manifest; 6/6 checks; 40 figure rows","PASS","PASS"
"protected","historical, canonical-cleanup, and accepted live transitions","524 exact/17 cleanup/4 accepted transitions","545/545 classified","PASS"
"historical test","three REPORT-018 stale literal classifications","3/3","3/3; test remains byte-identical and deferred","PASS"
