"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes"
1,"tbl-h10-prep-site-cells","id",1,50330,50338,"Placement","tbl-h10-prep-site-cells--gt-0001","","",50330,50361,9,32
1,"tbl-h10-prep-site-cells","id",2,50479,50482,"Site","tbl-h10-prep-site-cells--gt-0002","","",50502,50533,4,32
1,"tbl-h10-prep-site-cells","id",3,50616,50638,"Measured biological sex","tbl-h10-prep-site-cells--gt-0003","","",50667,50698,23,32
1,"tbl-h10-prep-site-cells","id",4,50871,50876,"Female","tbl-h10-prep-site-cells--gt-0004","","",50931,50962,6,32
1,"tbl-h10-prep-site-cells","id",5,51000,51003,"Male","tbl-h10-prep-site-cells--gt-0005","","",51086,51117,4,32
1,"tbl-h10-prep-site-cells","headers",1,51217,51225,"Placement","tbl-h10-prep-site-cells--gt-0001","Placement","tbl-h10-prep-site-cells--gt-0001",51331,51362,9,32
1,"tbl-h10-prep-site-cells","headers",2,51288,51291,"Site","tbl-h10-prep-site-cells--gt-0002","Site","tbl-h10-prep-site-cells--gt-0002",51425,51456,4,32
1,"tbl-h10-prep-site-cells","headers",3,51347,51352,"Female","tbl-h10-prep-site-cells--gt-0004","Female","tbl-h10-prep-site-cells--gt-0004",51512,51543,6,32
1,"tbl-h10-prep-site-cells","headers",4,51411,51414,"Male","tbl-h10-prep-site-cells--gt-0005","Male","tbl-h10-prep-site-cells--gt-0005",51602,51633,4,32
1,"tbl-h10-prep-site-cells","headers",5,51510,51518,"Placement","tbl-h10-prep-site-cells--gt-0001","Placement","tbl-h10-prep-site-cells--gt-0001",51729,51760,9,32
1,"tbl-h10-prep-site-cells","headers",6,51592,51595,"Site","tbl-h10-prep-site-cells--gt-0002","Site","tbl-h10-prep-site-cells--gt-0002",51834,51865,4,32
1,"tbl-h10-prep-site-cells","headers",7,51661,51666,"Female","tbl-h10-prep-site-cells--gt-0004","Female","tbl-h10-prep-site-cells--gt-0004",51931,51962,6,32
1,"tbl-h10-prep-site-cells","headers",8,51736,51739,"Male","tbl-h10-prep-site-cells--gt-0005","Male","tbl-h10-prep-site-cells--gt-0005",52032,52063,4,32
1,"tbl-h10-prep-site-cells","headers",9,51823,51831,"Placement","tbl-h10-prep-site-cells--gt-0001","Placement","tbl-h10-prep-site-cells--gt-0001",52147,52178,9,32
1,"tbl-h10-prep-site-cells","headers",10,51894,51897,"Site","tbl-h10-prep-site-cells--gt-0002","Site","tbl-h10-prep-site-cells--gt-0002",52241,52272,4,32
1,"tbl-h10-prep-site-cells","headers",11,51955,51960,"Female","tbl-h10-prep-site-cells--gt-0004","Female","tbl-h10-prep-site-cells--gt-0004",52330,52361,6,32
1,"tbl-h10-prep-site-cells","headers",12,52019,52022,"Male","tbl-h10-prep-site-cells--gt-0005","Male","tbl-h10-prep-site-cells--gt-0005",52420,52451,4,32
1,"tbl-h10-prep-site-cells","headers",13,52118,52126,"Placement","tbl-h10-prep-site-cells--gt-0001","Placement","tbl-h10-prep-site-cells--gt-0001",52547,52578,9,32
1,"tbl-h10-prep-site-cells","headers",14,52200,52203,"Site","tbl-h10-prep-site-cells--gt-0002","Site","tbl-h10-prep-site-cells--gt-0002",52652,52683,4,32
1,"tbl-h10-prep-site-cells","headers",15,52273,52278,"Female","tbl-h10-prep-site-cells--gt-0004","Female","tbl-h10-prep-site-cells--gt-0004",52753,52784,6,32
1,"tbl-h10-prep-site-cells","headers",16,52349,52352,"Male","tbl-h10-prep-site-cells--gt-0005","Male","tbl-h10-prep-site-cells--gt-0005",52855,52886,4,32
1,"tbl-h10-prep-site-cells","headers",17,52437,52445,"Placement","tbl-h10-prep-site-cells--gt-0001","Placement","tbl-h10-prep-site-cells--gt-0001",52971,53002,9,32
1,"tbl-h10-prep-site-cells","headers",18,52508,52511,"Site","tbl-h10-prep-site-cells--gt-0002","Site","tbl-h10-prep-site-cells--gt-0002",53065,53096,4,32
1,"tbl-h10-prep-site-cells","headers",19,52567,52572,"Female","tbl-h10-prep-site-cells--gt-0004","Female","tbl-h10-prep-site-cells--gt-0004",53152,53183,6,32
1,"tbl-h10-prep-site-cells","headers",20,52631,52634,"Male","tbl-h10-prep-site-cells--gt-0005","Male","tbl-h10-prep-site-cells--gt-0005",53242,53273,4,32
1,"tbl-h10-prep-site-cells","headers",21,52730,52738,"Placement","tbl-h10-prep-site-cells--gt-0001","Placement","tbl-h10-prep-site-cells--gt-0001",53369,53400,9,32
1,"tbl-h10-prep-site-cells","headers",22,52812,52815,"Site","tbl-h10-prep-site-cells--gt-0002","Site","tbl-h10-prep-site-cells--gt-0002",53474,53505,4,32
1,"tbl-h10-prep-site-cells","headers",23,52882,52887,"Female","tbl-h10-prep-site-cells--gt-0004","Female","tbl-h10-prep-site-cells--gt-0004",53572,53603,6,32
1,"tbl-h10-prep-site-cells","headers",24,52958,52961,"Male","tbl-h10-prep-site-cells--gt-0005","Male","tbl-h10-prep-site-cells--gt-0005",53674,53705,4,32
1,"tbl-h10-prep-site-cells","headers",25,53045,53053,"Placement","tbl-h10-prep-site-cells--gt-0001","Placement","tbl-h10-prep-site-cells--gt-0001",53789,53820,9,32
1,"tbl-h10-prep-site-cells","headers",26,53116,53119,"Site","tbl-h10-prep-site-cells--gt-0002","Site","tbl-h10-prep-site-cells--gt-0002",53883,53914,4,32
