"path","sha256","bytes","role"
"audit/report_harmonization/report018_h11_order60b_rendered_stop_independent_acceptance.md","6200fff04c64558abfaac8e2df1d97c0dccc62855208da938e003d3825df604d",3841,"independent acceptance"
"scripts/report_harmonization/check_report018_h11_order60b_rendered_stop_and_downstream_replay.R","3d1b09bbfe3fba6f08770fa4408bf33016d3f58a58d943c75eab5bed717b42ce",20776,"independent checker"
"audit/report_harmonization/report018_h11_order60b_downstream_replay/independent_downstream_replay_checks.csv","764190be19a58f500fed8f8bfabecd860678f58f79c27647cdd16875ff182bc0",1004,"independent checks"
"audit/report_harmonization/report018_h11_order60b_downstream_replay/fixed_identity_audit.csv","92a8e788443d5684aca5138296934358316491005df933c8505c656ddc4df5c6",2083,"fixed identities"
"audit/report_harmonization/report018_h11_order60b_downstream_replay/rendered_literal_transition_audit.csv","ffce94b788f1ffcca8979a3f58416c2c8286165e5e54e7e41363f33d6be5cf0a",300,"rendered literal transitions"
"audit/report_harmonization/report018_h11_order60b_downstream_replay/prospective_stage3_test_transition.csv","2996e9b86768b420dc08d9a64ed1db702aa9e6c163b885213b00ca471e73fb64",303,"prospective test transition"
"audit/report_harmonization/report018_h11_order60b_downstream_replay/table_header_reference_audit.csv","1cc8244a08c698f5c85d0992e83839fd0b8f9a7e56e032437d5a4f55667f0636",29237,"table header audit"
"audit/report_harmonization/report018_h11_order60b_downstream_replay/prospective_postrender_checker_output.txt","80857e5c20430359706fb0ea6dd78d278061c93698a70dd76c8edc51401dbbc1",241,"prospective checker output"
"audit/report_harmonization/report018_h11_order60b_downstream_replay/prospective_postrender_replay/report018_h10_h11_checks_postrender.csv","5b7956b516917fafb5f536356748fc2eb563e9b02e2cf314b566a0a91c3977be",1482,"complete prospective postrender replay"
"audit/report_harmonization/report018_h11_order60b_downstream_replay/prospective_postrender_replay/h11_transition_test_execution_postrender.csv","b1aef623af745ce424669a307fd2837b3b084b45d1dff2e8160e51bb809bd885",786,"complete prospective test executions"
"audit/hypotheses/H11/report018_order60b_environment_retry/order60b_rendered_unaccepted_stop.md","665347251001dc4ec8b2adb24529b846f4ff1f3d215831d1c11070f901a1b324",3845,"owner stop record"
"audit/hypotheses/H11/report018_order60b_environment_retry/order60b_rendered_unaccepted_non_circular_manifest.csv","a2c86d72b2f870f0cb71eb0f88734faa5479cc1870737df8fa3d3f08adbcb05f",12500,"owner stop seal"
"audit/hypotheses/H11/report018_order60b_environment_retry/gt_html_semantic_post_render_summary.csv","26bc8762c9a550038871e5c40e1ea5e7b444f4207bd7d534bf4c96ba8b500022",455,"semantic summary"
"audit/hypotheses/H11/report018_order60b_environment_retry/H11_gt_semantic_ledger.csv","18e457e9098b700998cfa5a259906f696c7d28473f3fa6c6aa13acba0cb9f9d2",97283,"semantic ledger"
"audit/hypotheses/H11/report018_order60b_environment_retry/build_delta_postcheckerfailure.csv","402b3efe6bf42f50f352ccb9d633753be8c6ffd74963a5225ce2a5d266a7f24e",662,"exact build delta"
"audit/hypotheses/H11/report018_order60b_environment_retry/protected_inventory_postcheckerfailure.csv","619d8edfa6c43aba333d6195cc7727b232916349a00883e0eb98cf2f0ff66b71",50129,"protected inventory"
"audit/hypotheses/H11/report018_order60b_environment_retry/sass_cache_inventory_postrender.csv","5ed02093164a9b587e27fd3d0664ac582340450bed854ef8aeb41746da8cc0c1",4276,"Sass cache inventory"
"_build/nathealth/notebooks/hypotheses/H11.html","2c8a34ec47c10b3b4b1be600093cb03837bd0beb3b617f7e04f156529076d21a",306265,"rendered result endpoint"
"notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",57462,"result source"
"audit/hypotheses/H11/H11_analysis_preparation.qmd","3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816",54527,"held companion source"
"tests/hypotheses/H11/test_h11_stage3_reader_report.R","088e0a1235d2561515613271e497ae55124a2bbe39f5fa9e2173583df131dea8",16736,"historical Stage 3 test"
"tests/hypotheses/H11/test_h11_report016_hourly_disposition.R","3d945c2b813ffaa2291ddebbe01f1f45c5c4ae7fe10256c9a1c8b15c3b531e7b",8062,"historical REPORT-016 test"
"artifacts/12_manifests/H11/H11_stage3_artifact_manifest.csv","2f55cef62117af71beab6e320fac842489b24be149209ea60a1d54cbd172f645",14512,"historical Stage 3 manifest"
"artifacts/12_manifests/H11/H11_preparation_report_manifest.csv","00ce783a5958f6f958db1d2d6d78076760953ad1c51cc18c30abb697557c8e5c",72966,"held preparation manifest"
"audit/report_harmonization/coordination_matrix.csv","c8990a95151ebfd5deb0a1abca3a69ad2c4a1720f30537de13deebab2386b6ac",42552,"unchanged coordination matrix"
