path,sha256,bytes,role
audit/report_harmonization/report018_h11_order61_rendered_stop_independent_acceptance.md,878fb256fc2fd4a932c6a795b8d4ad9995c06a2641002d5bab21227aa1e16f24,4048,independent stopped acceptance
scripts/report_harmonization/check_report018_h11_order61_stop_and_no_rerender_completion.R,69f8f02fbd67ec283846a15e90515db622ebf4ddd9c7a6f583f02475cd23872f,23173,independent R 4.6.1 checker
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/order61_stop_and_no_rerender_checks.csv,7a2bc4a35fdf68a855f47692e5824b349961b8021e7912e1db2453e6c3f421e2,900,independent check summary
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/owner_manifest_audit.csv,1e32492a414fe9f3543ec00a85b36dcf3444953d1dc6eb30359fb1812535b86b,11321,owner-seal audit
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/fixed_identity_audit.csv,1c93119febe46934d120eb24236f58fe16a97f161b41863fb7979cc6259a0eb8,3908,fixed-identity audit
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/preparation_manifest_live_audit.csv,323c30f007a609c0b4c3bee7073d96769dd5cda16c30b84fc61aca30e2b9445d,68764,preparation-manifest audit
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/table_header_resolution_audit.csv,c0d1acaa6bf49cd67fddfbd4d48f514f0e93b4d65ead45ee8454225b7fdc4d24,51812,semantic header-token audit
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/shared_source_link_convention_audit.csv,138b6d52b6ded8c106c4fe09e0a3fb867575eb9d671a124d44633663de27f057,690,project-wide source-link audit
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/prospective_no_rerender_contract.csv,b18e44ffea5bda2b6b14279cd01d762ed1178e55e1e2a60e5598e23a335b720e,591,prospective no-rerender contract
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/prospective_direct_transitions.csv,2264617abdcf769110054aca72cc8e71e2804f1a2e7efc05f6dc434e60987e1d,447,prospective direct transitions
audit/report_harmonization/report018_h11_order61_stopped_acceptance_and_no_rerender_preflight/prospective_preparation_test_output.txt,53a684914977e2eac6732e384d758ea555e0f41201aed3b27ee3eca4fa14570b,65,prospective full-test output
audit/hypotheses/H11/report018_order61_companion_render/order61_rendered_test_failure.md,5b6e5f73386a0f99160e2b1c857dfd174a02101d79d2d7efc2fed440675428d3,4042,owner fail-closed record
audit/hypotheses/H11/report018_order61_companion_render/order61_fail_closed_non_circular_manifest.csv,bcacb72f9fc9796c346546081b8bdf306a4ef80079fadb606d96306bc3ad559c,8253,owner non-circular seal
notebooks/hypotheses/H11.qmd,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,57462,accepted result source
_build/nathealth/notebooks/hypotheses/H11.html,2c8a34ec47c10b3b4b1be600093cb03837bd0beb3b617f7e04f156529076d21a,306265,accepted result endpoint
audit/hypotheses/H11/H11_analysis_preparation.qmd,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,54527,accepted companion source
_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.qmd,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,54527,source-identical build QMD
_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,58518d708e4feb6145bd8eb773b6b9ae4937afdf4a9e44e19d4215d9ca86162c,771221,fresh companion endpoint
tests/hypotheses/H11/test_h11_preparation_report.R,4c31cb4120fdb0530609906df707c161b875c0859a917de61f3baa1050d24180,10561,current preparation-test preimage
scripts/hypotheses/H11/build_h11_preparation_report_manifest.R,317f31069e6019475023b3097b1d7f1b00435755e0a109e40535fab89b570bf8,10130,dedicated helper
artifacts/12_manifests/H11/H11_preparation_report_manifest.csv,3dbd92632afd32d392ef7ed456dc6f61d32e58ec73b03bd8d8e3451dfcb1afe8,73184,truthful current preparation manifest
scripts/pipeline/hypothesis_preparation_provenance_contract.R,6afff45a29a0bb96a49dbf46e611fce15dfd1618b4699da40d4b1f15cdbed026,13175,unchanged shared verifier
tests/hypotheses/H11/test_h11_stage3_reader_report.R,b0af27946d6c4001e659e9edb27bfab0fdfd3a36aa8be536d51ed50ae234a3c0,16783,accepted Stage 3 test
tests/hypotheses/H11/test_h11_report016_hourly_disposition.R,3d945c2b813ffaa2291ddebbe01f1f45c5c4ae7fe10256c9a1c8b15c3b531e7b,8062,accepted REPORT-016 test
artifacts/12_manifests/H11/H11_stage3_artifact_manifest.csv,2f55cef62117af71beab6e320fac842489b24be149209ea60a1d54cbd172f645,14512,immutable Stage 3 manifest
audit/handoffs/H11_worker_handoff.md,5f01ac88745d55d749854b41d22ce3bd0afe43f42dbbaded98da7a61e1b53289,15358,H11 handoff
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,normal profile
renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,environment lock
notebooks/sensitivity_battery.qmd,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,3623,held sensitivity source
_build/nathealth/notebooks/sensitivity_battery.html,b9af89c035391db6e39c55064b1de7309220702d626fa2fa274000b22b879780,37775,held sensitivity endpoint
audit/report_harmonization/coordination_matrix.csv,c8990a95151ebfd5deb0a1abca3a69ad2c4a1720f30537de13deebab2386b6ac,42552,coordination invariant
