check,pass,detail
retained_candidate_build_893,TRUE,893
zero_symlinks,TRUE,0
other_891_exact,TRUE,891
other_36_routes_exact,TRUE,36
new_landing_clean_dom,TRUE,0 duplicate IDs and 0 unresolved IDREF/header tokens
idrefs_2776_exact,TRUE,2776
idrefs_attribute_breakdown_exact,TRUE,aria-labelledby=6; aria-describedby=6; aria-controls=1; headers=2762; data-bs-target=1; data-target=0
idrefs_unresolved_zero,TRUE,0
authors_28,TRUE,28
gt_tables_19,TRUE,19
figures_20,TRUE,20
header_tokens_2762,TRUE,2762
fragments_124,TRUE,124
brown_svg_exact,TRUE,200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653
docx_exact,TRUE,6cd592391f720829ed278a35e81c854ee7fd54eca6a4a4e664faad7b37310f91
local_references_resolve,TRUE,46071/46071
no_candidate_transform,TRUE,retained candidate inspected without regeneration
no_render_invoked,TRUE,checker contains no invoked render path
