"owner","sequence","text"
"H02",1,"n = 816 participant-days (d)"
"H02",2,"sleep"
"H02",3,"evening"
"H02",4,"daytime"
"H02",5,"0"
"H02",6,"1"
"H02",7,"10"
"H02",8,"100"
"H02",9,"250"
"H02",10,"1000"
"H02",11,"0"
"H02",12,"6"
"H02",13,"12"
"H02",14,"18"
"H02",15,"24"
"H02",16,"Local time (hrs)"
"H02",17,"Near-eye melEDI (lx)"
"H02",18,"A"
"H02",19,"sleep"
"H02",20,"evening"
"H02",21,"daytime"
"H02",22,"0"
"H02",23,"1"
"H02",24,"10"
"H02",25,"100"
"H02",26,"250"
"H02",27,"1000"
"H02",28,"0"
"H02",29,"6"
"H02",30,"12"
"H02",31,"18"
"H02",32,"24"
"H02",33,"Local time (hrs)"
"H02",34,"Near-eye melEDI (lx)"
"H02",35,"C"
"H02",36,"Borås (SE)"
"H02",37,"n =  78 d"
"H02",38,"Tübingen (DE)"
"H02",39,"n = 150 d"
"H02",40,"Izmir (TR)"
"H02",41,"n = 101 d"
"H02",42,"Delft (NL)"
"H02",43,"n =  78 d"
"H02",44,"Munich (DE)"
"H02",45,"n =  60 d"
"H02",46,"San José (CR)"
"H02",47,"n =  32 d"
"H02",48,"Dortmund (DE)"
"H02",49,"n = 107 d"
"H02",50,"Madrid (ES)"
"H02",51,"n = 129 d"
"H02",52,"Kumasi (GH)"
"H02",53,"n =  81 d"
"H02",54,"0"
"H02",55,"6"
"H02",56,"12"
"H02",57,"18"
"H02",58,"24"
"H02",59,"0"
"H02",60,"6"
"H02",61,"12"
"H02",62,"18"
"H02",63,"24"
"H02",64,"0"
"H02",65,"6"
"H02",66,"12"
"H02",67,"18"
"H02",68,"24"
"H02",69,"0"
"H02",70,"1"
"H02",71,"10"
"H02",72,"100"
"H02",73,"250"
"H02",74,"1000"
"H02",75,"0"
"H02",76,"1"
"H02",77,"10"
"H02",78,"100"
"H02",79,"250"
"H02",80,"1000"
"H02",81,"0"
"H02",82,"1"
"H02",83,"10"
"H02",84,"100"
"H02",85,"250"
"H02",86,"1000"
"H02",87,"Local time (hrs)"
"H02",88,"Near-eye melEDI (lx)"
"H02",89,"B"
"H02",90,"0"
"H02",91,"6"
"H02",92,"12"
"H02",93,"18"
"H02",94,"24"
"H02",95,"0"
"H02",96,"6"
"H02",97,"12"
"H02",98,"18"
"H02",99,"24"
"H02",100,"0"
"H02",101,"6"
"H02",102,"12"
"H02",103,"18"
"H02",104,"24"
"H02",105,"10"
"H02",106,"−"
"H02",107,"1"
"H02",108,"5"
"H02",109,"−"
"H02",110,"1"
"H02",111,"2"
"H02",112,"−"
"H02",113,"1"
"H02",114,"1"
"H02",115,"2"
"H02",116,"5"
"H02",117,"10"
"H02",118,"10"
"H02",119,"−"
"H02",120,"1"
"H02",121,"5"
"H02",122,"−"
"H02",123,"1"
"H02",124,"2"
"H02",125,"−"
"H02",126,"1"
"H02",127,"1"
"H02",128,"2"
"H02",129,"5"
"H02",130,"10"
"H02",131,"10"
"H02",132,"−"
"H02",133,"1"
"H02",134,"5"
"H02",135,"−"
"H02",136,"1"
"H02",137,"2"
"H02",138,"−"
"H02",139,"1"
"H02",140,"1"
"H02",141,"2"
"H02",142,"5"
"H02",143,"10"
"H02",144,"Local time (hrs)"
"H02",145,"Site / global time effect"
"H02",146,"D"
"H08",1,"Difference (h) per one VLSQ-8 SD"
"H08",2,"Percent change per one VLSQ-8 SD"
"H08",3,"-30"
"H08",4,"-20"
"H08",5,"-10"
"H08",6,"0"
"H08",7,"10"
"H08",8,"0.0"
"H08",9,"0.1"
"H08",10,"0.2"
"H08",11,"Time below 10 lx melEDI before sleep"
"H08",12,"melEDI dose"
"H08",13,"Longest continuous period above 250 lx melEDI"
"H08",14,"Time below 1 lx melEDI during sleep"
"H08",15,"Time above 250 lx melEDI during wake"
"H08",16,"Time above 1,000 lx melEDI"
"H08",17,"Darkest 10 h mean"
"H08",18,"Brightest 10 h mean"
"H08",19,"Mean melEDI"
"H08",20,"Adjusted association per 5.5398 VLSQ-8 points; points and bars are estimates and 95% Wald intervals"
"H08",21,"Near-eye VLSQ-8 associations"
"H08",22,"Ratios are shown as percent change. Time below 10 lx melEDI before"
"H08",23,"sleep uses an identity-Gaussian difference in hours."
"H10",1,"Near eye (primary)"
"H10",2,"Chest (complementary)"
"H10",3,"20"
"H10",4,"30"
"H10",5,"40"
"H10",6,"50"
"H10",7,"60"
"H10",8,"70"
"H10",9,"20"
"H10",10,"30"
"H10",11,"40"
"H10",12,"50"
"H10",13,"60"
"H10",14,"70"
"H10",15,"Kumasi (GH)"
"H10",16,"San José (CR)"
"H10",17,"Izmir (TR)"
"H10",18,"Madrid (ES)"
"H10",19,"Munich (DE)"
"H10",20,"Tübingen (DE)"
"H10",21,"Dortmund (DE)"
"H10",22,"Delft (NL)"
"H10",23,"Borås (SE)"
"H10",24,"Age (years)"
"H10",25,"Measured biological sex"
"H10",26,"Female"
"H10",27,"Male"
"H10",28,"One point per participant; sites follow submitted-manuscript order and colours (near eye n = 141; chest n = 154)"
"H10",29,"Participant age distribution in each fitted placement sample"
"H10",30,"A"
"H10",31,"Darkest 10 h mean"
"H10",32,"Mean melEDI"
"H10",33,"melEDI dose"
