run_id,placement,group_type,group_value,long_rows,effective_weighted_hours,observed_mean_lx,fitted_mean_lx,zero_weighted_fraction
main__near_eye,Near-eye,site,RISE,2010,1815.0000000000005,383.97696030472093,301.47169114360673,0.28154269972451784
main__near_eye,Near-eye,site,THUAS,1751,1635.9999999999998,283.42561848084557,269.731260492684,0.27200488997555017
main__near_eye,Near-eye,site,BAUA,2467,2372,327.8259451080045,359.46290058052045,0.26812816188870153
main__near_eye,Near-eye,site,MPI,1803,1764,50.08215052130816,55.88870745685034,0.2624716553287982
main__near_eye,Near-eye,site,TUM,1402,1390,166.58490906202925,235.9623136074821,0.21151079136690648
main__near_eye,Near-eye,site,FUSPCEU,2800,2731,121.93648300395387,116.28835693478445,0.3701940681069205
main__near_eye,Near-eye,site,IZTECH,2365,2215,112.41333213810093,114.5293729142652,0.2510158013544018
main__near_eye,Near-eye,site,UCR,805,740.0000000000001,70.19643147785438,70.09311002422747,0.22567567567567565
main__near_eye,Near-eye,site,KNUST,1863,1863,94.22608299823683,93.69052291096023,0.3762748255501879
main__near_eye,Near-eye,activity,At home,5105,4889.166666666667,92.46753876477848,93.26879119676924,0.06381455599113686
main__near_eye,Near-eye,activity,Sleeping,5906,5819.666666666668,9.149787954724033,8.38017149389127,0.7398190045248867
main__near_eye,Near-eye,activity,On the road with public transport/car,818,679.4999999999998,399.7176089208225,416.3028887169296,0.044150110375275955
main__near_eye,Near-eye,activity,Working in the office/from home,3624,3498.0000000000005,216.67907315049996,229.8037024574972,0.010720411663807888
main__near_eye,Near-eye,activity,Outdoors,1422,1248.6666666666667,1125.2921724878686,1089.1059330842024,0.04885210891617725
main__near_eye,Near-eye,activity,Other/unspecified activity,391,391,326.3220663822031,291.34337129899166,0.09718670076726342
main__chest,Chest,site,RISE,2486,2243.0000000000005,463.30594225272563,350.8913980105881,0.2938029424877396
main__chest,Chest,site,THUAS,2156,1990.9999999999998,281.992946266947,275.08790624450194,0.2842792566549473
main__chest,Chest,site,BAUA,2595,2500,308.10626819087526,300.17423468965717,0.3016
main__chest,Chest,site,TUM,1402,1390,157.17171206694235,290.0902848101832,0.260431654676259
main__chest,Chest,site,FUSPCEU,2714,2645,109.57253905805365,104.78335550621672,0.37353497164461247
main__chest,Chest,site,IZTECH,2392,2238,102.72569867299097,105.69897478733245,0.2511170688114388
main__chest,Chest,site,UCR,5393,5188,156.11421706779825,155.74715908439444,0.2673477255204318
main__chest,Chest,site,KNUST,1933,1933,100.88064120662216,133.93165626747813,0.33367822038282463
main__chest,Chest,activity,At home,6170,5887.000000000001,96.36273215963377,95.2290044553319,0.06913538304739254
main__chest,Chest,activity,Sleeping,7155,7039.666666666668,7.985784716359235,7.999747056337798,0.7582035134239309
main__chest,Chest,activity,On the road with public transport/car,1056,891.9999999999998,572.6509628605062,592.7937761288042,0.03475336322869956
main__chest,Chest,activity,Working in the office/from home,4403,4242.833333333333,200.55847459174558,211.6701977620732,0.012845189928114075
main__chest,Chest,activity,Outdoors,1656,1435.5000000000002,1334.9264547441735,1274.7845948471934,0.028561476837338902
main__chest,Chest,activity,Other/unspecified activity,631,631,336.74709848426954,309.4889644893001,0.08240887480190175
