component,basis_k,component_term,std.dev,lower,upper
occurrence,12,s(clock_hour):day_activity_groupWork day · Sedentary,0.6432203015258332,0.49361617249875805,0.8381661285541141
occurrence,12,s(participant_key),0.841317969053441,0.7104501124271707,0.9962922275204313
occurrence,12,s(participant_day_key),4.960176665665597e-4,6.47181209189934e-88,3801617260397515e65
positive_magnitude,12,s(clock_hour):day_activity_groupWork day · Sedentary,0.535561294283257,0.40806958789343034,0.7028847736853737
positive_magnitude,12,s(participant_key),0.6867645268281067,0.5832579402766269,0.8086396819317057
positive_magnitude,12,s(participant_day_key),5.669063134034291e-4,1.9456756620457527e-76,16517797618887237e53
positive_magnitude,12,scale,2.426447229796267,2.395577001099091,2.4577152628718366
occurrence,16,s(clock_hour):day_activity_groupWork day · Sedentary,0.6180212884081155,0.4827827358619195,0.7911432711936671
occurrence,16,s(participant_key),0.8373486040806422,0.7069521415655865,0.9917965354812516
occurrence,16,s(participant_day_key),4.903009845784333e-4,3.0478725528475726e-88,788730668065432e66
positive_magnitude,16,s(clock_hour):day_activity_groupWork day · Sedentary,0.5369892359620304,0.4148558852832249,0.6950785797391342
positive_magnitude,16,s(participant_key),0.6937643979277751,0.5906316176615986,0.8149056458197494
positive_magnitude,16,s(participant_day_key),5.476903256787108e-4,1.8398358817817813e-77,163038831785119e56
positive_magnitude,16,scale,2.3633294990761935,2.3332434499146086,2.3938034933337717
