run_id,model_role,working_power,formula,observations,participants,participant_days,sites,iterations,converged,design_columns,design_rank,full_rank,aliased_coefficients,finite_coefficients,hc3_covariance_finite,hc3_covariance_positive_definite,hc3_covariance_rank,hc3_covariance_minimum_eigenvalue,hc3_covariance_condition_number,dispersion,exact_zero_hours,exact_zero_fraction,fitted_minimum,fitted_median,fitted_maximum,pearson_mean,pearson_sd,pearson_q01,pearson_q99,residual_fitted_spearman,absolute_residual_fitted_spearman,maximum_cluster_score_share,maximum_cluster_leverage_share,elapsed_seconds,fit_warnings,covariance_warnings,fit_error,numerical_check_pass
main__glasses__all_available,p18_additive,1.8,response_value ~ site + work_free_day + activity_status + previous_sleep_duration_centered_h,16596,137,715,9,14,TRUE,12,12,TRUE,0,TRUE,TRUE,TRUE,12,0.0015205327346898675,65.22885388796861,52.369978302833346,4697,0.28302000482043865,48.68463750499454,151.09662648113525,478.4446528437646,2.3987101072722638e-4,7.234310543152559,-1.8327113057761308,25.393244168806994,-0.3637079072219444,0.31358470416007234,0.2393771193241607,0.020683169993006324,0.06400000000000006,,,,TRUE
main__glasses__all_available,p18_full,1.8,response_value ~ site * work_free_day + site * activity_status +      site * previous_sleep_duration_centered_h,16596,137,715,9,19,TRUE,36,36,TRUE,0,TRUE,TRUE,TRUE,36,2.475094733447527e-4,1997.3351355035718,49.7543612802511,4697,0.28302000482043865,14.913239313893174,156.941418604957,867.2653210570307,-3.494374520368147e-5,7.046235108933779,-1.9083934416895423,24.26104539465351,-0.36126381464812174,0.3487632268796336,0.17285835249029213,0.02641724252711337,0.3200000000000003,,,,TRUE
main__chest__all_available,p18_additive,1.8,response_value ~ site + work_free_day + activity_status + previous_sleep_duration_centered_h,18352,149,789,8,15,TRUE,11,11,TRUE,0,TRUE,TRUE,TRUE,11,9.155965598294797e-4,107.596512674435,61.81132908223743,5337,0.2908129904097646,52.12832667590183,159.4270139120813,598.9145288941423,3.438386016936878e-4,7.859875387447122,-1.856585427278882,27.84393427460533,-0.40472359445966694,0.34625557079149316,0.161134691449121,0.01649610728121088,0.06299999999999883,,,,TRUE
main__chest__all_available,p18_full,1.8,response_value ~ site * work_free_day + site * activity_status +      site * previous_sleep_duration_centered_h,18352,149,789,8,25,TRUE,32,32,TRUE,0,TRUE,TRUE,TRUE,32,2.3438398062641133e-4,4612.364549481416,54.28189678706099,5337,0.2908129904097646,32.348171520429084,135.9630788188316,884.8127486143826,-2.8936033897741814e-5,7.361399677472374,-1.9578927635994674,27.101276307552,-0.39627239109369333,0.37857248159973905,0.08379517914674302,0.022696657111943817,0.3839999999999968,,,,TRUE
main__glasses__paired_common,p18_additive,1.8,response_value ~ site + work_free_day + activity_status + previous_sleep_duration_centered_h,12842,109,553,8,15,TRUE,11,11,TRUE,0,TRUE,TRUE,TRUE,11,0.001769287223044371,62.98631900089391,53.653359695162756,3733,0.29068680890826976,46.92470303923738,149.1609393751282,532.7195897852565,3.695538967662966e-4,7.3219919707525,-1.8459728681288479,26.37609823977363,-0.37980215170685905,0.3216815142330237,0.30682509286513665,0.023008203955893203,0.0449999999999946,,,,TRUE
main__glasses__paired_common,p18_full,1.8,response_value ~ site * work_free_day + site * activity_status +      site * previous_sleep_duration_centered_h,12842,109,553,8,20,TRUE,32,32,TRUE,0,TRUE,TRUE,TRUE,32,2.525008805437909e-4,1949.9372407452463,50.73535348073466,3733,0.29068680890826976,15.036554297197819,132.94658624383345,965.3664010525935,-4.804882443232457e-5,7.114272323666207,-1.9306085173513279,23.831601381521807,-0.36942689845749005,0.3568412068424924,0.22208809591455406,0.02971939784303127,0.21699999999999875,,,,TRUE
main__chest__paired_common,p18_additive,1.8,response_value ~ site + work_free_day + activity_status + previous_sleep_duration_centered_h,12842,109,553,8,16,TRUE,11,11,TRUE,0,TRUE,TRUE,TRUE,11,0.0013023581321818484,81.98078051971854,62.98934067312675,3805,0.29629341224108396,53.637904820564025,133.0269298346846,707.0792992465914,4.007332826949225e-4,7.933491107607915,-1.8924164823021066,30.235297172287275,-0.4319352288002505,0.3707265180820318,0.17717175061937285,0.023088070847082053,0.0519999999999996,,,,TRUE
main__chest__paired_common,p18_full,1.8,response_value ~ site * work_free_day + site * activity_status +      site * previous_sleep_duration_centered_h,12842,109,553,8,26,TRUE,32,32,TRUE,0,TRUE,TRUE,TRUE,32,2.3117998159348206e-4,4300.152036962624,56.44361293740866,3805,0.29629341224108396,32.34817049746982,128.49426305043315,1170.8435809376415,-9.919448271009344e-5,7.503822160444024,-1.97567779712919,29.082916900443607,-0.40921118869683293,0.4041920379024077,0.12089783706798804,0.029574021788688024,0.28299999999999415,,,,TRUE
gap_timing_unaware__glasses__all_available,p18_additive,1.8,response_value ~ site + work_free_day + activity_status + previous_sleep_duration_centered_h,16329,137,702,9,14,TRUE,12,12,TRUE,0,TRUE,TRUE,TRUE,12,0.0014523340320260474,61.3302127781572,53.2372530083945,4622,0.28305468797844324,46.94001976725737,153.58454749763257,505.3400657661747,2.1885474107169982e-4,7.293927149826087,-1.8326611239870263,25.2750636475329,-0.3640946223038446,0.31110366783265425,0.17754216688017754,0.021260490382640253,0.056999999999995055,,,,TRUE
gap_timing_unaware__glasses__all_available,p18_full,1.8,response_value ~ site * work_free_day + site * activity_status +      site * previous_sleep_duration_centered_h,16329,137,702,9,20,TRUE,36,36,TRUE,0,TRUE,TRUE,TRUE,36,2.286420908064908e-4,2157.6578344957093,50.26751737432111,4622,0.28305468797844324,15.690545074154041,159.12049299535911,877.7040271687617,-3.287655777501204e-5,7.082355911904494,-1.9063065134361568,24.540204422194837,-0.36358230996969737,0.3486525100239772,0.13970053378408331,0.023361173754190303,0.3340000000000032,,,,TRUE
