"sample_id","analysis_state","predictor","pairs","pearson_residual_correlation","quantile_residual_correlation"
"support_80","Sleep environment","conditional_mean",734,0.0156133162478472,0.0453610342351602
"support_80","Wake outside the three hours before sleep","conditional_mean",718,0.106162115947442,0.104407783986977
"support_80","Pre-sleep","conditional_mean",617,0.0780649693780596,0.0893577391221573
"support_80","Sleep environment","exact_zero_probability",734,-0.0454635959165035,-0.00729078365943898
"support_80","Wake outside the three hours before sleep","exact_zero_probability",718,-0.0157849475010641,-0.0224498790557708
"support_80","Pre-sleep","exact_zero_probability",617,-0.0749745626607697,-0.0876669289497935
"support_80","Sleep environment","exact_one_probability",734,-0.00986438594086938,0.043379021168973
"support_80","Wake outside the three hours before sleep","exact_one_probability",718,0.0996740264130825,0.129261050857492
"support_80","Pre-sleep","exact_one_probability",617,0.0568882235397444,0.0666216794366083
"support_80","Sleep environment","valid_minutes",734,-0.0577905192223446,-0.0994771628368373
"support_80","Wake outside the three hours before sleep","valid_minutes",718,-0.0353828982358157,-0.0271645052785101
"support_80","Pre-sleep","valid_minutes",617,-0.045550844181003,-0.0597149195982557
"support_80","Sleep environment","expected_minutes",734,-0.0501721120786132,-0.0921238645898936
"support_80","Wake outside the three hours before sleep","expected_minutes",718,-0.0443492166365744,-0.0307492722707378
"support_80","Pre-sleep","expected_minutes",617,,
"support_80","Sleep environment","support_fraction",734,-0.0511777727601508,-0.0490769431214133
"support_80","Wake outside the three hours before sleep","support_fraction",718,0.015813683476567,0.00471722722759077
"support_80","Pre-sleep","support_fraction",617,-0.045550844181003,-0.0597149195982559
