run_id,dataset_label,placement_label,reader_role,clock_bin,eta,standard_error_participant_cluster_robust,lower_eta_pointwise_95,upper_eta_pointwise_95,estimate_melEDI_lx,lower_melEDI_lx_pointwise_95,upper_melEDI_lx_pointwise_95,interval_scope,sex,time_hour
main__glasses__all_available,Primary dataset,Near eye,Primary,0,-0.3927366395138436,0.13365025650839,-0.6569703762768803,-0.1285029027508069,0.3048213049383999,0.12030767323109672,0.643870090989173,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,0.25
main__glasses__all_available,Primary dataset,Near eye,Primary,30,-0.5480145034621927,0.12657621115170994,-0.7982624725397822,-0.29776653438460327,0.18312974417518593,0.05912467419792611,0.4037713506140268,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,0.75
main__glasses__all_available,Primary dataset,Near eye,Primary,60,-0.6746382325994165,0.1157398224205719,-0.9034620790284592,-0.44581438617037367,0.1115250310147087,0.02489294916864744,0.25824951723540135,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,1.25
main__glasses__all_available,Primary dataset,Near eye,Primary,90,-0.7764956075560077,0.10389137099160337,-0.9818944290152318,-0.5710967860967835,0.06730325573243057,0.00425708331493911,0.16847460612453455,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,1.75
main__glasses__all_available,Primary dataset,Near eye,Primary,120,-0.8572781455304916,0.09255196063578816,-1.0402583435670332,-0.67429794749395,0.03890627158405607,0,0.11169083331437105,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,2.25
main__glasses__all_available,Primary dataset,Near eye,Primary,150,-0.9169983329990504,0.0824234629706211,-1.079953947052135,-0.7540427189459655,0.02106027803332423,0,0.07618027399091079,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,2.75
main__glasses__all_available,Primary dataset,Near eye,Primary,180,-0.9524012337464414,0.07426822192208032,-1.0992334981498086,-0.8055689693430742,0.01158318824220751,0,0.05646998129874286,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,3.25
main__glasses__all_available,Primary dataset,Near eye,Primary,210,-0.9601183331824432,0.06793489705999577,-1.0944292741094297,-0.8258073922554571,0.00961794769910003,0,0.04934566043419622,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,3.75
main__glasses__all_available,Primary dataset,Near eye,Primary,240,-0.9367795650094656,0.06184126320685972,-1.0590430644608806,-0.8145160655580503,0.01566991994049292,0,0.05327945036978507,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,4.25
main__glasses__all_available,Primary dataset,Near eye,Primary,270,-0.8763397194211812,0.05581408249978176,-0.9866871588366224,-0.7659922800057399,0.03294140997322559,0.00311286196772789,0.07139877749878232,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,4.75
main__glasses__all_available,Primary dataset,Near eye,Primary,300,-0.764590054128984,0.05401718916774067,-0.8713849388984863,-0.6577951693594816,0.07195307470240078,0.03446679730956192,0.11988967158591536,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,5.25
main__glasses__all_available,Primary dataset,Near eye,Primary,330,-0.5857701194726108,0.05847633368481379,-0.7013809724960811,-0.47015926644914047,0.15955528752597756,0.09889278430602474,0.23871991645024296,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,5.75
main__glasses__all_available,Primary dataset,Near eye,Primary,360,-0.3241194657918002,0.06546794888629599,-0.45355311765577194,-0.1946858139278284,0.37411154864426066,0.2519223769976541,0.5387253986959674,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,6.25
main__glasses__all_available,Primary dataset,Near eye,Primary,390,0.03323475281952986,0.0702814333363887,-0.10571541638100926,0.172184922020069,0.9795300919556674,0.6839431752096035,1.3865684864546743,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,6.75
main__glasses__all_available,Primary dataset,Near eye,Primary,420,0.46161811479330034,0.07356945716597449,0.3161673458501575,0.6070688837364432,2.7947970061103207,1.9709391860454568,3.9464006683783617,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,7.25
main__glasses__all_available,Primary dataset,Near eye,Primary,450,0.9100983673390268,0.07813467916271032,0.7556219092661769,1.0645748254118763,8.030146424515642,5.596681112045128,11.50312111280082,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,7.75
main__glasses__all_available,Primary dataset,Near eye,Primary,480,1.327204462796641,0.08393943735295242,1.1612516859520632,1.493157239641219,21.142443059452184,14.396117011992915,31.028431617980704,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,8.25
main__glasses__all_available,Primary dataset,Near eye,Primary,510,1.6615479779277935,0.0884666574464274,1.4866446437577046,1.8364513120978825,45.77203193288294,30.565118251152573,68.5200945457741,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,8.75
main__glasses__all_available,Primary dataset,Near eye,Primary,540,1.8841007236216316,0.09037179227472585,1.705430835552807,2.062770611690456,76.47741882740043,50.649391062237875,115.45017610113784,Participant-cluster-robust 95% pointwise interval at each of 48 clock-bin midpoints; not simultaneous over the day,Male,9.25
