"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",1.51457607981193,0.0933234779676401,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","(Intercept)"
"beta_mu",0.938355802827488,0.0546232011057335,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1"
"beta_mu",0.57237049859507,0.251125028852203,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site1"
"beta_mu",0.0796702585265881,0.263024320932216,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site2"
"beta_mu",-0.0744633619848339,0.217190898438243,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site3"
"beta_mu",-0.226848248197139,0.179532476974606,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site4"
"beta_mu",-0.795883404999585,0.279273275987372,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site5"
"beta_mu",0.604870231378065,0.211082453646378,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site6"
"beta_mu",-0.821601987106775,0.214669714843774,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site7"
"beta_mu",-0.419424581502899,0.386522929507062,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site8"
"beta_mu",0.162273085815299,0.0584660231880119,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","day_type1"
"beta_mu",-0.0560404318595688,0.0318100292185197,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","wake_within_10pp"
"beta_mu",-0.222778394083841,0.0559041117141096,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","wake_between_centered_10pp"
"beta_mu",0.0487856554344769,0.0441049243785904,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","wake_free_fraction_centered_10pp"
"beta_mu",0.285891645818183,0.150119392588652,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site1"
"beta_mu",-0.419035312920942,0.139105816628074,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site2"
"beta_mu",0.0214541876156605,0.113514519365077,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site3"
"beta_mu",-0.140186498692735,0.0884983832984148,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site4"
"beta_mu",-0.301247585857607,0.129011937087272,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site5"
